Character,Gender,TitleOrClass,Role
انتظار حسین,Male,Writer,Narrator
نعیم بخاری,Male,TV Host / Media,Minor
گیتی سین,Female,Writer / Intellectual,Minor
آفتاب احمد خان,Male,Sahib,Minor
میاں ایم اسلم,Male,Sahib,Minor
عسکری,Male,Critic / Writer,Support
نفیس خلیلی,Male,Writer,Minor
جگر,Male,Poet,Minor
سلیم احمد,Male,Critic / Writer,Support
ولی,Male,Poet,Minor
شاہد صاحب,Male,Sahib,Minor
دادا پٹی نذیر احمد,Male,Novelist / Elder,Minor
عبدالمجید بھٹی,Male,Journalist,Minor
ماہر القادری,Male,Poet,Minor
سلیم کی ٹولی,Unknown,Group,Minor
بوڑھی عورت (سفر والی),Female,Old Woman,Minor
حفیظ ہوشیارپوری,Male,Poet,Minor
غلام عباس,Male,Fiction Writer,Minor
اجمل,Male,Professor / Psychologist,Minor
سہیل عظیم آبادی,Male,Writer,Minor
کیفے اور بینٹ کی اینگلو انڈین لڑکی,Female,Waitress / Dancer,Minor
یوسف ظفر,Male,Poet,Minor
شیر محمد اختر,Male,Writer,Minor
اصغر بٹ,Male,Writer,Minor
مختار صدیقی,Male,Poet,Minor
قیوم نظر,Male,Poet,Support
عبداللہ ملک,Male,Journalist,Minor
علی سردار جعفری,Male,Poet / Critic,Minor
ڈاکٹر تاثیر,Male,Professor / Critic,Minor
بخاری صاحب,Male,Journalist / Sahib,Minor
ممتاز شیریں,Female,Critic / Writer,Minor
قدرت اللہ شہاب,Male,Bureaucrat / Writer,Minor
محمود ہاشمی,Male,Writer,Minor
منٹو,Male,Fiction Writer,Minor
احمد ندیم قاسمی,Male,Poet / Editor,Support
ضیا جالندھری,Male,Poet,Minor
وجیہہ الدین احمد,Male,Writer,Minor
حمید اختر,Male,Journalist / Writer,Minor
کرشن چندر,Male,Fiction Writer,Minor
مہندر ناتھ,Male,Writer,Minor
سرلا,Female,Writer / Friend,Minor
پروفیسر کرار حسین,Male,Professor,Minor
مولانا حسرت موہانی,Male,Poet / Religious Scholar,Minor
سعید بور,Male,Friend / Literary Circle,Minor
شفیق احمد,Male,Writer,Minor
فراق,Male,Poet,Minor
ریوتی سرن شرما,Male,Writer / Critic,Minor
ڈاکٹر عبادت بریلوی,Male,Professor,Minor
ہاجرہ مسرور,Female,Fiction Writer,Minor
احتشام حسین,Male,Critic / Professor,Minor
رمضان تپائی,Male,Working Class,Minor
سر سکندر حیات خان,Male,Politician,Minor
احمد بشیر,Male,Journalist / Writer,Minor
سبط حسن,Male,Marxist Intellectual,Support
حمید ہاشمی,Male,Writer,Minor
انیس ہاشمی,Male,Writer,Minor
شعیب حزیں,Male,Poet,Minor
نواب ناطق,Male,Poet / Nawab,Minor
ظفر اقبال,Male,Poet,Minor
افتخار جالب,Male,Poet,Minor
اینجلا,Female,Dancer / Cabaret,Minor
برنی صاحب,Male,Journalist,Minor
انصار,Male,Relative / Friend,Minor
خواجہ صاحب,Male,Sahib / Religious,Minor
صفدر میر,Male,Poet,Minor
بیدل جالندھری,Male,Poet,Minor
ناصر کاظمی,Male,Poet,Support
میاں بشیر احمد,Male,Writer,Minor
عبدالعلیم,Male,Writer,Minor
محبوب خزاں,Male,Poet,Minor
شاہد حمید,Male,Writer / Producer,Minor
شیخ صلاح الدین,Male,Professor / Critic,Minor
مظفر علی سید,Male,Poet / Critic,Minor
حنیف رامے,Male,Politician / Intellectual,Minor
غالب احمد,Male,Poet,Minor
احمد مشتاق,Male,Poet,Support
علیم صاحب,Male,Scholar / Sahib,Minor
اعجاز حسین بٹالوی,Male,Lawyer / Literary Organizer,Minor
بابو ہیرا,Male,Shopkeeper,Minor
سراج صاحب,Male,Professor,Support
عبداللہ بٹ,Male,Writer,Minor
شورش کاشمیری,Male,Journalist / Orator,Minor
حمید نظامی,Male,Journalist / Editor,Minor
میر خلیل الرحمن,Male,Newspaper Owner,Minor
آقا بیدار بخت,Male,Artist / Intellectual,Minor
شاکر علی,Male,Artist / Professor,Support
انور جلال ہمزہ,Male,Cartoonist / Artist,Minor
اے حمید,Male,Fiction Writer,Minor
انجم رومانی,Male,Poet,Minor
شہرت بخاری,Male,Poet,Minor
احمد راہی,Male,Poet / Lyricist,Minor
طفیل صاحب,Male,Editor / Publisher,Minor
سویرا گروپ,Unknown,Literary Group,Minor
حسن طارق,Male,Film Director,Minor
جمال عبد الناصر,Male,Statesman,Minor
سارتر,Male,Philosopher,Minor
قیوم صاحب (یونیسکو),Male,Bureaucrat / UNESCO,Minor
فیض احمد فیض,Male,Poet,Support
سید امتیاز علی تاج,Male,Playwright,Minor
مولانا غلام رسول,Male,Religious Scholar / Historian,Minor
مولانا صلاح الدین احمد,Male,Editor / Religious Scholar,Support
ظفر صمدانی,Male,Poet / Journalist,Minor
سعید محمود,Male,Writer,Minor
جسٹس کیانی,Male,Judge,Minor
جمیل الدین عالی,Male,Poet / Bureaucrat,Minor
شوکت صدیقی,Male,Novelist,Minor
آدم جی (انعام),Unknown,Award / Institution,Minor
مولانا چراغ حسن حسرت,Male,Journalist / Humorist,Minor
ڈاکٹر عاشق حسین بٹالوی,Male,Historian / Lawyer,Minor
مسز سراج,Female,Professor’s Wife,Minor
لئیق تانگہ والا,Male,Tangah Driver,Minor
جالندھری تانگہ والا,Male,Tangah Driver,Minor
بھتنا,Unknown,Supernatural Being,Minor
پچھل پیری,Unknown,Supernatural Being,Minor
اشفاق احمد,Male,Writer / Broadcaster,Support
بابے (تصوف حلقے),Unknown,Spiritual Figures,Minor
سجاد باقر رضوی,Male,Poet / Professor,Support
منیر نیازی,Male,Poet,Support
امجد الطاف,Male,Writer / Halqa Member,Minor
حبیب جالب,Male,Poet,Minor
کیرولین کائزر,Female,Poet / Translator,Minor
پال اینگل,Male,Writer / Organizer,Minor
اعجاز احمد,Male,Marxist Critic,Minor
پروفیسر سرور,Male,Professor,Minor
میر نور احمد,Male,Journalist,Minor
حکیم ریاض,Male,Hakim,Minor
مولانا عبد المجید سالک,Male,Journalist / Writer,Minor
شوکت تھانوی,Male,Humorist / Writer,Minor
عنایت اللہ,Male,Writer / Editor,Minor
حکیم حبیب اشعر,Male,Poet / Hakim,Minor
پروفیسر وزیر الحسن عابدی,Male,Professor,Minor
ڈاکٹر ذاکر حسین,Male,President / Scholar,Minor
پروفیسر حمید احمد خاں,Male,Professor,Minor
علامہ علاء الدین صدیقی,Male,Religious Scholar,Minor
تجمل حسین,Male,Writer,Minor
ملک راج آنند,Male,Novelist,Minor
ابن انشا,Male,Writer / Humorist,Minor
عبد القادر حسن,Male,Journalist,Minor
عزیز الحق,Male,Journalist / Writer,Minor
سعادت سعید,Male,Critic,Minor
لڈو,Unknown,Comic Character,Minor
منیر احمد شیخ,Male,Journalist / Writer,Minor
روشن آراء بیگم,Female,Begum / Patron,Minor
مولانا مودودی,Male,Religious Scholar,Minor
سی آر اسلم,Male,Leftist Politician,Minor
میاں محمد طفیل,Male,Religious Politician,Minor
مولانا کوثر نیازی,Male,Religious Scholar,Minor
زاہد ڈار,Male,Critic / Scholar,Minor
فخر الدین,Male,Journalist,Minor
سیزر,Unknown,Dog,Minor
فرہاد زیدی,Male,Singer / Artist,Minor
مسرت جبیں,Female,Actress / Artist,Minor
فریدہ حفیظ,Female,Actress / Artist,Minor
نصیر انور,Male,Writer,Minor
شفقت تنویر مرزا,Male,Journalist / Critic,Minor
راجہ رسالو,Male,Legendary King,Minor
جیلانی کامران,Male,Poet / Critic,Minor
نذیر ناجی,Male,Journalist,Minor
مولانا بھاشانی,Male,Politician,Minor
شیخ مجیب الرحمن,Male,Politician,Minor
سجاد ظہیر,Male,Writer / Activist,Minor
ذوالفقار علی بھٹو,Male,Politician,Minor
فرخ نگار عزیز,Female,Writer / Translator,Minor
اظہار کا ظمی,Male,Poet,Minor
حمید علوی,Male,Scholar,Minor
کمال احمد رضوی,Male,Actor / Director,Minor
بانو قدسیہ,Female,Novelist,Support
عتیق اللہ شیخ,Male,Writer,Minor
زین العابدین,Male,Writer,Minor
اے ڈی اظہر,Male,Broadcaster,Minor
ڈاکٹر باقر,Male,Doctor / Scholar,Minor
خضر تمیمی,Male,Poet,Minor
شمس,Male,Friend / Colleague,Minor
نعیم طاہر,Male,Theatre Artist,Minor
اخلاق احمد دہلوی,Male,Writer,Minor
محمد باقر,Male,Historian / Writer,Minor
محمد حسین آزاد,Male,Historian / Writer,Minor
ریاض بٹالوی,Male,Writer,Minor
عالیہ,Female,Family / Friend,Minor
خورشید شاہد,Female,Actress,Minor
میر انیس,Male,Poet (Marsia),Minor
جوزف کیمبل,Male,Scholar / Mythologist,Minor
ڈاکٹر مبشر حسن,Male,Economist / Politician,Minor
غلام محمد,Male,Politician / Governor General,Minor
شوکت عثمان,Male,Writer,Minor
خدیجہ مستور,Female,Novelist,Minor
فرہاد مظہر,Male,Poet / Activist,Minor
فریدہ اختر,Female,Writer / Intellectual,Minor
پنا قیصر,Female,Family / Intellectual Circle,Minor
شومی قیصر,Female,Family Member,Minor
شہید اللہ قیصر,Male,Journalist / Activist,Minor
استاد امانت علی خاں,Male,Ustad / Classical Singer,Minor
صادقین,Male,Painter / Calligrapher,Minor
ڈاکٹر سید عبداللہ,Male,Scholar,Minor
میر تقی میر,Male,Poet,Minor
شکور بیدل,Male,Poet,Minor
ظہور بھائی,Male,Friend / Organizer,Minor
حاتم طائی,Male,Legendary Generous Figure,Minor
حسن بانو,Female,Legendary / Folk Figure,Minor
کشور ناہید,Female,Poet,Support
غازی منجم,Male,Astrologer,Minor
امیر تیمور,Male,Historic Conqueror,Minor
شاہجہان,Male,Mughal Emperor,Minor
ہارون الرشید,Male,Caliph,Minor
مجروح سلطان پوری,Male,Poet / Lyricist,Minor
اسلم اظہر,Male,TV Administrator,Minor
ڈاکٹر اسرار احمد,Male,Religious Scholar,Minor
برتولٹ بریخت,Male,Playwright,Minor
حجاب امتیاز علی,Female,Begum / Writer,Support
جمیلہ ہاشمی,Female,Novelist,Minor
منظور الہی,Male,Writer / Journalist,Minor
نور الحسن جعفری,Male,Writer,Minor
یوسف کامران,Male,Writer,Minor
ادا جعفری,Female,Poet,Support
صلاح الدین محمود,Male,Writer / Critic,Minor
عظیم اللہ خان,Male,Freedom Fighter (Historic),Minor
مولانا ابوالکلام آزاد,Male,Religious Scholar / Politician,Minor
جنرل ضیاء الحق,Male,Military Ruler,Minor
جنرل جیلانی,Male,General,Minor
محمد خان جونیجو,Male,Prime Minister,Minor
احمد علی خان,Male,Editor,Minor
آئی اے رحمن,Male,Human Rights Activist,Minor
نثار عثمانی,Male,Journalist,Minor
حسین نقی,Male,Journalist,Minor
ٹی ایس ایلیٹ,Male,Poet,Minor
ہیما مالنی,Female,Film Actress,Minor
بے نظیر بھٹو,Female,Politician,Minor
محمد سلیم الرحمن,Male,Writer / Critic,Minor
شاد امرتسری,Male,Poet,Minor
اکبر لاہوری,Male,Poet,Minor
خان فضل الرحمن خان,Male,Politician / Bureaucrat,Minor
مبارک احمد,Male,Writer / Critic,Minor
رام لال,Male,Journalist / Writer,Minor
سارہ شگفتہ,Female,Poet,Minor
عذرا عباس,Female,Poet,Minor
سراج منیر,Male,Writer / Critic,Minor
ضیاء اسلام انصاری,Male,Writer,Minor
شارعزیز,Male,Poet,Minor
سائرہ ہاشمی,Female,Writer / Academic,Minor
انور الحسن جعفری,Male,Writer,Minor
آئن بیڈ فورڈ,Male,Scholar,Minor
مسز بیڈ فورڈ,Female,Begum / Academic Spouse,Minor
ڈاکٹر ارتضیٰ کریم,Male,Scholar,Minor
وجے ٹنڈولکر,Male,Playwright,Minor
گیتانجلی,Female,Writer / Editor,Minor
سدھیر,Male,Actor,Minor
الوک بھلہ,Male,Scholar / Critic,Minor
غلام محمد شیخ,Male,Artist,Minor
محمد عمر میمن,Male,Scholar / Translator,Minor
اصغر علی انجینئر,Male,Scholar / Activist,Minor
آغا سہیل,Male,Journalist / Writer,Minor
رضی عابدی,Male,Broadcaster / Writer,Minor
اشفاق نقوی,Male,Writer / Journalist,Minor
علی شریعتی,Male,Religious Intellectual,Minor
جوش ملیح آبادی,Male,Poet,Minor
شمع فتح علی,Female,Writer,Minor
کبیر,Male,Poet–Saint,Minor
