Character_A,Character_B,Weight,Pages
"آئن بیڈ فورڈ","انتظار حسین",1,"241"
"آئن بیڈ فورڈ","ڈاکٹر ارتضیٰ کریم",1,"241"
"آئی اے رحمن","انتظار حسین",2,"199 289"
"آئی اے رحمن","سیموئل بیکٹ",1,"289"
"آئی اے رحمن","عالیہ",1,"199"
"آئی اے رحمن","عبداللہ ملک",1,"289"
"آئی اے رحمن","منو بھائی",1,"289"
"آئی اے رحمن","کشور ناہید",1,"289"
"آصف فرخی","اصغر علی انجینئر",1,"244"
"آصف فرخی","الوک بھلہ",1,"244"
"آصف فرخی","انتظار حسین",1,"244"
"آصف فرخی","سدھیر",1,"244"
"آصف فرخی","غلام محمد",1,"244"
"آصف فرخی","غلام محمد شیخ",1,"244"
"آصف فرخی","محمد عمر میمن",1,"244"
"آصف فرخی","گیتانجلی",1,"244"
"آغا سہیل","اشفاق نقوی",1,"245"
"آغا سہیل","انتظار حسین",1,"245"
"آغا سہیل","جوش ملیح آبادی",1,"245"
"آغا سہیل","رضی عابدی",1,"245"
"آغا سہیل","علی شریعتی",1,"245"
"آغا سہیل","محمد عمر میمن",1,"245"
"آغا سہیل","میر انیس",1,"245"
"آفتاب احمد خان","اجمل",1,"20"
"آفتاب احمد خان","حفیظ ہوشیارپوری",1,"20"
"آفتاب احمد خان","سہیل عظیم آبادی",1,"20"
"آفتاب احمد خان","عسکری",2,"1 20"
"آفتاب احمد خان","علی سردار جعفری",1,"20"
"آفتاب احمد خان","غلام عباس",1,"20"
"آفتاب احمد خان","میاں ایم اسلم",1,"1"
"آقا بیدار بخت","استاد امانت علی خاں",1,"74"
"آقا بیدار بخت","انتظار حسین",1,"74"
"آقا بیدار بخت","حمید نظامی",1,"74"
"آقا بیدار بخت","حنیف رامے",1,"74"
"آقا بیدار بخت","شاکر علی",1,"74"
"آقا بیدار بخت","عبداللہ بٹ",1,"74"
"آقا بیدار بخت","میر خلیل الرحمن",1,"74"
"آقا بیدار بخت","ناصر کاظمی",1,"74"
"آقا بیدار بخت","ولی",1,"74"
"آنگ ساں سیو کائی","انتظار حسین",1,"292"
"آنگ ساں سیو کائی","اندرا گاندھی",1,"292"
