Character_A,Character_B,Weight,Pages
"ابا میاں","امی",21,"3 5 8 9 12 20 26 27 28 34 36 38 44 45 46 52 63 66 73 114 127"
"ابا میاں","اچھے",6,"26 28 38 68 70 73"
"ابا میاں","باوا",11,"3 4 6 8 9 10 33 34 63 68 73"
"ابا میاں","بخت خاں",1,"117"
"ابا میاں","بنی",7,"12 36 38 44 68 70 73"
"ابا میاں","بنیاد علی",8,"4 5 6 27 28 44 45 46"
"ابا میاں","بڑی آپا",18,"3 4 9 11 12 20 28 33 34 36 38 45 46 52 65 66 68 73"
"ابا میاں","تائی اماں",19,"4 10 11 12 20 26 27 28 33 34 36 38 44 45 46 52 63 66 73"
"ابا میاں","تحسینہ",10,"4 10 17 18 20 27 28 38 44 46"
"ابا میاں","حکیم جی",1,"44"
"ابا میاں","سمند خاں",1,"117"
"ابا میاں","شہزادی محل",3,"114 117 127"
"ابا میاں","شیخ ضیاء الحق",3,"4 5 6"
"ابا میاں","ضمیر",10,"3 17 20 26 27 28 38 65 68 70"
"ابا میاں","فرنگی گاؤ سوار",1,"114"
"ابا میاں","محمد",1,"8"
"ابا میاں","مولوی ثناء اللہ",3,"4 5 6"
"ابا میاں","میاں بشیر حسین",1,"33"
"ابا میاں","نانی اماں",1,"44"
"ابا میاں","والد ماجد",1,"127"
"ابا میاں","والدہ حضرت",7,"20 34 38 44 45 114 127"
"ابا میاں","پیر جی",3,"4 5 6"
"ابا میاں","چچا",1,"27"
"ابا میاں","گندل",1,"70"
"امی","اچھے",9,"26 28 37 38 39 40 51 73 79"
"امی","باوا",11,"3 8 9 34 50 51 63 67 73 74 79"
"امی","بنی",14,"12 36 37 38 39 40 43 44 50 51 67 73 74 79"
"امی","بنیاد علی",7,"5 27 28 44 45 46 67"
"امی","بوڑھا بڑھئی",1,"74"
"امی","بڑی آپا",27,"2 3 9 12 20 28 34 36 37 38 40 42 43 45 46 47 48 49 50 52 55 56 66 67 73 78 79"
"امی","تائی اماں",27,"12 20 25 26 27 28 34 36 38 40 42 44 45 46 47 48 49 50 52 55 56 63 66 67 73 78 79"
"امی","تحسینہ",15,"2 20 27 28 37 38 39 43 44 46 51 55 56 67 74"
"امی","حکیم جی",1,"44"
"امی","راج مزدور",3,"49 74 79"
"امی","شہزادی محل",3,"108 114 127"
"امی","شیخ ضیاء الحق",1,"5"
"امی","ضمیر",16,"3 20 26 27 28 38 39 40 43 47 50 51 55 67 74 78"
"امی","فرنگی گاؤ سوار",1,"114"
"امی","محمد",1,"8"
"امی","مولوی ثناء اللہ",1,"5"
"امی","نانی اماں",5,"43 44 47 55 78"
"امی","والد ماجد",2,"108 127"
"امی","والدہ حضرت",11,"2 20 34 38 44 45 47 105 108 114 127"
"امی","پیر جی",3,"5 78 79"
"امی","چچا",1,"27"
"امی","گندل",1,"25"
"امی","ہیرا",1,"25"
"اچھے","باوا",7,"51 62 64 68 71 73 79"
"اچھے","بنی",14,"37 38 39 40 51 53 61 62 64 68 70 72 73 79"
"اچھے","بنیاد علی",1,"28"
"اچھے","بڑی آپا",10,"28 37 38 40 64 68 71 72 73 79"
"اچھے","تائی اماں",9,"26 28 38 40 60 64 71 73 79"
"اچھے","تحسینہ",8,"28 37 38 39 51 53 64 72"
"اچھے","حکیم جی",1,"101"
"اچھے","راج مزدور",1,"79"
"اچھے","شہزادی محل",1,"100"
"اچھے","ضمیر",11,"26 28 38 39 40 51 53 61 62 68 70"
"اچھے","طوطے میاں",1,"101"
"اچھے","عدالت علی",2,"95 101"
"اچھے","غنی",1,"95"
"اچھے","فرنگی گاؤ سوار",1,"100"
"اچھے","نصیر",1,"101"
"اچھے","والدہ حضرت",1,"38"
"اچھے","پیر جی",1,"79"
"اچھے","گندل",5,"60 61 70 71 72"
"اچھے","ہیرا",3,"61 71 72"
"باوا","بنی",11,"31 35 50 51 62 64 67 68 73 74 79"
"باوا","بنیاد علی",3,"4 6 67"
"باوا","بوڑھا بڑھئی",1,"74"
"باوا","بڑی آپا",14,"3 4 9 31 33 34 50 64 67 68 71 73 77 79"
"باوا","تائی اماں",13,"4 10 31 33 34 50 63 64 67 71 73 77 79"
"باوا","تحسینہ",6,"4 10 51 64 67 74"
"باوا","راج مزدور",2,"74 79"
"باوا","شیخ ضیاء الحق",2,"4 6"
"باوا","ضمیر",8,"3 50 51 62 67 68 74 77"
"باوا","محمد",1,"8"
"باوا","منشی جی",1,"77"
"باوا","مولوی ثناء اللہ",2,"4 6"
"باوا","میاں بشیر حسین",1,"33"
"باوا","والدہ حضرت",1,"34"
"باوا","پیر جی",3,"4 6 79"
"باوا","گندل",1,"71"
"باوا","ہیرا",1,"71"
"بخت خاں","بنی",3,"82 86 87"
"بخت خاں","حکیم جی",3,"96 118 119"
"بخت خاں","دلاور خاں",1,"97"
"بخت خاں","سخت خاں",4,"83 97 98 99"
"بخت خاں","سمند خاں",4,"83 96 117 118"
"بخت خاں","شہزادی محل",2,"117 118"
"بخت خاں","صدیق",2,"118 119"
"بخت خاں","عدالت علی",2,"118 119"
"بخت خاں","غنی",2,"118 119"
"بخت خاں","فرنگی گاؤ سوار",1,"88"
"بخت خاں","والدہ حضرت",1,"119"
"بنی","بنیاد علی",2,"44 67"
