Character,Gender,TitleOrClass,Role
مشتاق علی,Male,Sahib,Support
اخلاق,Male,Narrator,Protagonist
زبیدہ,Female,Begum,Support
بو جان,Female,Household Elder,Support
والد صاحب,Male,Sahib,Minor
ابا جانی,Male,Household Elder,Minor
چچا جان,Male,Household Elder,Minor
چچی جان,Female,Household Elder,Minor
تائی اماں,Female,Household Elder,Minor
نصیبین بوا,Female,Maidservant,Minor
تعین بوا,Female,Maidservant,Minor
برکت الٰہی,Male,Sahib,Support
مولوی غلام رسول,Male,Religious Scholar,Support
مولوی سبحانی,Male,Religious Scholar,Minor
شیریں,Female,Begum,Support
ممتاز,Male,Comrade Friend,Support
ظہور,Male,Comrade,Support
کامریڈ,Male,Comrade,Support
فاروق,Male,Comrade Friend,Support
مستانہ,Male,Comrade,Support
جعفر,Male,Friend,Minor
محمدو,Male,Servant,Minor
اشتیاق علی,Male,Middle Class Man,Minor
شمس الہدیٰ,Male,Sahib,Minor
نجم الہدی,Male,Household Elder,Minor
قنبر حسن,Male,Household Elder,Minor
چھوٹی پھوپھی,Female,Household Elder,Minor
پنڈت گنگا دت مہجور,Male,Pandit Poet,Support
پنڈت سوم دت,Male,Pandit,Minor
سدانی بی,Female,Sayyida,Minor
میاں چپاتی,Male,Vendor,Minor
پھوپھی اماں,Female,Household Elder,Minor
پیر مغیث الدین,Male,Pir,Minor
صدیقی صاحب,Male,Sahib,Minor
ساجد,Male,Child,Minor
بڑی بو,Female,Household Elder,Minor
لالی,Female,Child,Minor
بڑی بی,Female,Household Elder,Minor
ننھا پوتا,Male,Child,Minor
چوکی والا,Male,Watchman,Minor
حکیم چراغ علی,Male,Hakim,Support
حکیم گلستان علی,Male,Hakim,Minor
حکیم علی شیر ریحان,Male,Hakim,Minor
مولوی ستحقاق علی,Male,Religious Scholar,Minor
دادا جانی حکیم گل زباغ علی,Male,Hakim,Minor
گھیر,Male,Labourer,Minor
سکھپال والا اجنبی,Male,Labourer,Minor
کلکٹر بہادر,Male,Collector,Minor
میم صاحب,Female,Mem Sahib,Minor
بی فاطمہ,Female,Religious Symbol,Minor
محلہ والے,Unknown,Neighbours,Minor
فیصل آباد والا اجنبی,Male,Visitor,Minor
دفتر کے کلرک,Unknown,Clerk,Minor
ہاؤسنگ فنانس افسر,Male,Officer,Minor
راج مزدور,Male,Labourer,Minor
ٹھیکیدار,Male,Contractor,Minor
ہندو ساہوکار,Male,Moneylender,Minor
کمرے کی دیوار والا پہریدار,Male,Watchman,Support
تعمیراتی بابو,Male,Engineer Overseer,Minor
پیڑ حسن,Male,Religious Scholar,Minor
خانم,Female,Madam,Minor
ارجن مہاراج,Male,Mythic Figure,Minor
کرشن مہاراج,Male,Mythic Figure,Minor
ویاس جی,Male,Mythic Figure,Minor
ہنومان,Male,Mythic Figure,Minor
سہدیو,Male,Mythic Figure,Minor
بھیم,Male,Mythic Figure,Minor
کنتا,Female,Mythic Figure,Minor
بدری,Female,Mythic Figure,Minor
نیزہ بردار جن,Male,Jinn,Minor
ناگ,Unknown,Mythic Figure,Minor
کشن لال,Male,Student,Minor
رحمت,Male,Office Peon,Minor
اشرف صاحب,Male,Cafe Manager,Support
ذکیہ احمد,Female,Bank Clerk,Support
نبیل,Male,Friend,Minor
رکشا والا,Male,Rickshaw Driver,Minor
شوکت,Male,Comrade,Minor
اندر دمن,Male,Mythic Figure,Minor
مارکنڈے رشی,Male,Mythic Figure,Minor
بدھ دیو جی,Male,Mythic Figure,Minor
سارس,Unknown,Animal,Minor
الو (ہمارت والا),Unknown,Animal,Minor
کچھوا (کہانی),Unknown,Animal,Minor
عظیم صاحب,Male,Sahib,Minor
شرافت صاحب,Male,Sahib,Support
ضمیمہ والا,Male,Newspaper Vendor,Minor
کافی ہاؤس کی لڑکیاں,Female,Visitors,Minor
وہ شخص جو تیزی سے گزرا,Male,Unknown Man,Minor
پراسرار دروازہ کھٹکھٹانے والا,Unknown,Unknown Visitor,Minor
بینک کا کلرک (کمرشل بینک),Male,Clerk,Minor
چھوٹی مارکیٹ بینک کلرک,Male,Clerk,Minor
مس احمد,Female,Clerk,Minor
پراپرٹی ڈیلر,Male,Property Dealer,Minor
کار ڈیلر,Male,Car Dealer,Minor
ٹیکسی ڈرائیور,Male,Taxi Driver,Minor
گاڑی کا گاہک,Male,Buyer,Minor
صدیقی صاحب (سٹیٹ لائف),Male,Sahib,Minor
دکان دار (پان سگریٹ والا),Male,Shopkeeper,Minor
چائے والا (فٹ پاتھ),Male,Tea Seller,Minor
اینجیلا,Female,Dancer,Minor
ناصر کاظمی,Male,Poet,Minor
دادا منصور,Male,Comrade Leader,Support
قائد اعظم,Male,Political Leader,Minor
ایوب خان,Male,Ruler,Minor
یحییٰ خان,Male,Ruler,Minor
ابن ندیم,Male,Historical Scholar,Minor
ابو جعفر,Male,Historical Figure,Minor
حارث عطار,Male,Historical Figure,Minor
ابو بکر جلابی,Male,Historical Scholar,Minor
زید بن عثمان زرگر,Male,Historical Figure,Minor
عبداللہ بن علی,Male,Historical Ruler,Minor
بلی (سر چبانے والی),Unknown,Animal,Minor
سکینہ,Female,Servant,Minor
بہشتی جی,Male,Water Carrier,Minor
بختیار صاحب,Male,Sahib,Minor
گورنر صاحب,Male,Governor,Minor
رابعہ,Female,Friend,Minor
امی شیریں,Female,Household Elder,Minor
شہزادہ (حکایت),Male,Fable Prince,Minor
گلبدن پری,Female,Fairy,Minor
مصداق علی,Male,Son,Minor
مولوی مشتاق علی,Male,Religious Scholar,Minor
