Character_A,Character_B,Weight,Pages
"ابا جانی","اخلاق",1,"74"
"ابا جانی","اشتیاق علی",1,"75"
"ابا جانی","امی شیریں",2,"66 80"
"ابا جانی","بو جان",2,"67 68"
"ابا جانی","حکیم چراغ علی",4,"11 74 75 169"
"ابا جانی","دادا جانی حکیم گل زباغ علی",3,"71 74 263"
"ابا جانی","دادا منصور",4,"18 71 74 263"
"ابا جانی","رحمت",1,"11"
"ابا جانی","زبیدہ",1,"68"
"ابا جانی","شوکت",1,"18"
"ابا جانی","قنبر حسن",1,"69"
"ابا جانی","مشتاق علی",5,"11 18 68 74 169"
"ابا جانی","میاں چپاتی",3,"66 67 68"
"ابا جانی","میم صاحب",1,"74"
"ابا جانی","نجم الہدی",1,"75"
"ابا جانی","پنڈت سوم دت",2,"69 70"
"ابا جانی","پنڈت گنگا دت مہجور",3,"18 69 70"
"ابا جانی","پھوپھی اماں",3,"65 66 68"
"ابا جانی","چھوٹی پھوپھی",2,"66 68"
"ابا جانی","کلکٹر بہادر",2,"67 74"
"اخلاق","اشرف صاحب",2,"140 151"
"اخلاق","امی شیریں",1,"218"
"اخلاق","بختیار صاحب",1,"236"
"اخلاق","برکت الٰہی",1,"10"
"اخلاق","بو جان",9,"3 10 82 97 184 226 227 229 239"
"اخلاق","بڑی بو",1,"28"
"اخلاق","تائی اماں",5,"221 226 227 228 239"
"اخلاق","حکیم چراغ علی",1,"74"
"اخلاق","دادا جانی حکیم گل زباغ علی",1,"74"
"اخلاق","دادا منصور",2,"74 147"
"اخلاق","ذکیہ احمد",1,"158"
"اخلاق","رابعہ",1,"218"
"اخلاق","رحمت",2,"104 156"
"اخلاق","زبیدہ",18,"50 59 81 82 83 88 97 175 184 221 222 226 227 228 229 239 251 276"
"اخلاق","ساجد",2,"95 97"
"اخلاق","شرافت صاحب",2,"157 158"
"اخلاق","شیریں",12,"156 218 221 222 223 224 226 227 228 229 239 251"
"اخلاق","صدیقی صاحب",6,"83 84 85 86 87 88"
"اخلاق","ضمیمہ والا",1,"175"
"اخلاق","ظہور",1,"179"
"اخلاق","عظیم صاحب",1,"140"
"اخلاق","فاروق",3,"142 147 179"
"اخلاق","مشتاق علی",3,"28 74 82"
"اخلاق","ممتاز",4,"103 104 142 179"
"اخلاق","مولوی غلام رسول",1,"184"
"اخلاق","میم صاحب",1,"74"
"اخلاق","نصیبین بوا",1,"59"
"اخلاق","ٹھیکیدار",1,"236"
"اخلاق","پراپرٹی ڈیلر",1,"236"
"اخلاق","کامریڈ",4,"141 142 147 179"
