Character,Gender,TitleOrClass,Role
اسٹورٹ کیمبل,Male,سراغ رساں/صاحب,Protagonist
جان سکیٹ,Male,کاریگر/عام آدمی,Support
چارلی سکیٹ,Female,غریب لڑکی,Protagonist
مسز سکیٹ,Female,گھر والی,Minor
مسز ہیکسٹ,Female,گھر والی/ماں,Support
دینی فرڈ,Female,صاحب زادی/لڑکی,Protagonist
مسٹر پاسٹ,Male,رئیس/سردار,Support
راڈرک پاسٹ,Male,صاحب زادہ,Support
پادری لانگڈن ٹریسنگھم,Male,پادری,Support
سر جارج ٹریسنگھم,Male,سر/اشرافیہ,Support
پادری جوزف مینڈیبل,Male,پادری اعظم,Support
نواب ڈی۔ گورن,Male,نواب,Antagonist
ایلائیس کرائی,Female,میڈم/بد معاش,Antagonist
جسفر لومکس,Male,بد معاش/جعلی نوٹ ساز,Antagonist
بغیر ٹانگوں والا یہودی مچھلی فروش,Male,دکاندار/یہودی,Support
اسمتھ,Male,گرجے کا ملازم,Support
گلنسر,Male,بوڑھا خانساماں,Support
ٹونگس,Male,ملازم,Support
گاسٹن,Male,ڈرائیور/ملازم,Support
نواب کے جعلی سپاہی (جوڑا),Male,بد معاش سپاہی,Support
نواب کا سنہرا بالوں والا ملازم,Male,ملازم,Support
اسسٹنٹ پولیس کمشنر میک ٹیگرٹ,Male,افسر پولیس,Support
کونسٹیبل اسکوائری,Male,سپاہی پولیس,Support
کانسٹبل سیمسن,Male,سپاہی پولیس,Support
سپاہی لارنس,Male,سپاہی پولیس,Support
ڈاکٹر میک کان,Male,ڈاکٹر,Support
نرس ریڈ فرن,Female,نرس,Support
ڈبلن کونٹ,Male,گواہ/صاحب,Support
قلعہ کلور کا پہرہ دار,Male,پہرہ دار,Support
نواب کے خفیہ چوکیدار (جوڑا),Male,چوکیدار/پہرہ دار,Support
گشت سپاہی (کائیٹس لین),Male,سپاہی,Minor
بوڑھا فرانسیسی باورچی,Male,باورچی,Support
بوڑھا گلنیٹیرا,Male,بوڑھا گماشتہ/تعاون کار,Support
غلہ گودام کا چوکیدار,Male,چوکیدار,Minor
ہارسٹ لاک کا لڑکا,Male,نوکر لڑکا,Minor
دیہاتی رہبر,Male,دیہاتی/رہبر,Minor
مہندی بالوں والا مزدور,Male,مزدور,Minor
چارلی کا استاد,Male,استاد,Minor
گرجے کے چوکیدار,Male,چوکیدار,Minor
کوچوان (حادثہ کی رات والا),Male,کوچوان,Minor
نامعلوم دبلا لڑکا قبر پر,Male,نامعلوم,Minor
