Character_A,Character_B,Weight,Pages
"اسسٹنٹ پولیس کمشنر میک ٹیگرٹ","اسٹورٹ کیمبل",1,"268"
"اسمتھ","اسٹورٹ کیمبل",3,"44 75 284"
"اسمتھ","دینی فرڈ",3,"44 53 75"
"اسمتھ","راڈرک پاسٹ",2,"44 75"
"اسمتھ","سپاہی لارنس",1,"44"
"اسمتھ","مسٹر پاسٹ",2,"44 75"
"اسمتھ","نواب ڈی۔ گورن",4,"53 56 58 284"
"اسمتھ","پادری لانگڈن ٹریسنگھم",5,"44 53 56 58 75"
"اسمتھ","چارلی سکیٹ",1,"284"
"اسٹورٹ کیمبل","ایلائیس کرائی",5,"169 176 234 283 289"
"اسٹورٹ کیمبل","بغیر ٹانگوں والا یہودی مچھلی فروش",9,"198 200 204 212 214 222 260 274 275"
"اسٹورٹ کیمبل","جان سکیٹ",3,"135 266 269"
"اسٹورٹ کیمبل","جسفر لومکس",18,"121 123 139 159 161 162 173 175 176 177 178 212 233 240 250 266 269 277"
"اسٹورٹ کیمبل","دینی فرڈ",49,"44 48 50 52 60 71 73 74 75 81 82 83 93 97 98 99 115 121 123 124 127 129 132 135 137 138 139 148 150 152 158 159 160 162 163 165 166 168 169 170 173 174 179 194 216 240 278 282 289"
"اسٹورٹ کیمبل","راڈرک پاسٹ",23,"44 47 49 61 63 75 76 77 78 79 83 99 121 129 130 135 137 138 139 143 152 174 240"
"اسٹورٹ کیمبل","سپاہی لارنس",2,"44 272"
"اسٹورٹ کیمبل","قلعہ کلور کا پہرہ دار",1,"179"
"اسٹورٹ کیمبل","مسٹر پاسٹ",13,"44 49 75 116 118 174 178 193 194 222 223 240 282"
"اسٹورٹ کیمبل","نرس ریڈ فرن",46,"122 123 125 127 129 138 142 143 144 145 146 147 148 149 150 152 160 162 163 165 166 169 170 174 183 191 193 194 204 205 207 221 223 235 236 237 238 239 260 271 273 274 275 276 282 289"
"اسٹورٹ کیمبل","نواب ڈی۔ گورن",75,"61 63 77 79 82 83 85 90 92 101 105 111 114 116 117 121 123 127 135 144 155 158 159 162 166 168 169 173 177 178 179 184 185 186 187 200 201 202 203 204 205 211 212 214 215 216 217 218 219 221 222 223 233 234 235 236 237 238 239 250 270 273 274 275 276 277 278 280 283 284 289 291 293 294 297"
"اسٹورٹ کیمبل","نواب کے خفیہ چوکیدار (جوڑا)",1,"179"
"اسٹورٹ کیمبل","پادری جوزف مینڈیبل",7,"81 99 104 113 114 144 282"
"اسٹورٹ کیمبل","پادری لانگڈن ٹریسنگھم",32,"44 46 47 60 63 73 75 76 79 81 92 93 95 96 97 98 99 113 114 115 116 123 127 128 132 148 149 150 166 168 276 282"
"اسٹورٹ کیمبل","چارلی سکیٹ",9,"121 130 135 138 139 240 282 284 289"
"اسٹورٹ کیمبل","گاسٹن",1,"297"
"ایلائیس کرائی","جسفر لومکس",3,"176 247 249"
"ایلائیس کرائی","دینی فرڈ",3,"169 289 299"
"ایلائیس کرائی","قلعہ کلور کا پہرہ دار",1,"244"
"ایلائیس کرائی","نرس ریڈ فرن",2,"169 289"
"ایلائیس کرائی","نواب ڈی۔ گورن",14,"88 89 169 210 234 244 245 247 249 255 281 283 289 299"
"ایلائیس کرائی","ٹونگس",1,"210"
"ایلائیس کرائی","چارلی سکیٹ",2,"289 299"
"ایلائیس کرائی","گاسٹن",3,"281 298 299"
"بغیر ٹانگوں والا یہودی مچھلی فروش","جسفر لومکس",1,"212"
"بغیر ٹانگوں والا یہودی مچھلی فروش","دینی فرڈ",1,"224"
"بغیر ٹانگوں والا یہودی مچھلی فروش","مسٹر پاسٹ",1,"222"
"بغیر ٹانگوں والا یہودی مچھلی فروش","نرس ریڈ فرن",5,"204 213 260 274 275"
"بغیر ٹانگوں والا یہودی مچھلی فروش","نواب ڈی۔ گورن",9,"200 204 212 213 214 222 224 274 275"
"بوڑھا فرانسیسی باورچی","جسفر لومکس",1,"241"
"بوڑھا فرانسیسی باورچی","چارلی سکیٹ",1,"241"
