Character,Gender,TitleOrClass,Role
خورشید مرزا,Male,Nawab,Support
اختری بیگم,Female,Begum,Protagonist
خورشید بیگم,Female,Begum,Support
علی جان,Male,Sahib,Support
میاں جان,Male,Subedar,Support
نادری بیگم,Female,Begum,Support
جعفری بیگم,Female,Begum,Support
ماما اصیلیں,Female,Maidservant,Minor
حکیم سید جعفر علی,Male,Hakim,Support
حسین علی,Male,Servant,Minor
سپاہی,Male,Police,Minor
امام علی,Male,Servant,Minor
مہری,Female,Maidservant,Minor
کریمین,Female,Maidservant,Minor
رحیمین,Female,Maidservant,Minor
مدار بخش,Male,Darban,Minor
حکیم حقیر علی,Male,Hakim,Minor
بڑا حکیم,Male,Hakim,Minor
سول سرجن,Male,Doctor,Support
ڈاکٹر عنایت علی,Male,Doctor,Support
نرس,Female,Nurse,Minor
حکیم محضر علی,Male,Hakim,Minor
سید صاحب فقیر,Male,Faqir,Minor
نواب مرزا مصور,Male,Nawab,Minor
نواب مرزا کی بیوی,Female,Begum,Minor
خالہ جان,Female,Household Elder,Minor
مقصود علی,Male,Sahib,Minor
یوسف خاں,Male,Sahib,Minor
یوسف بیگ,Male,Sahib,Minor
فیضو,Male,HouseOwner,Minor
منصوری ہوٹل دار,Male,HotelKeeper,Minor
ہوٹل ملازم,Male,Servant,Minor
پولیس افسر,Male,PoliceOfficer,Minor
میر کاظم حسین زردوز,Male,Artisan,Minor
زینب بیگم,Female,Begum,Support
ہرمزی,Female,Teacher,Support
سید محسن علی,Male,Sahib,Support
بوٹن,Female,VillageGirl,Support
قادر بخش,Male,Coachman,Minor
نظیرن,Female,BazaarGirl,Minor
الہ بخش کنجڑا,Male,Greengrocer,Minor
بغیر قطعی گر کی لڑکی,Female,CraftsmansDaughter,Minor
منہار کی لڑکی,Female,CraftsmansDaughter,Minor
چوڑی والی,Female,Hawker,Minor
بڑھن,Male,Child,Minor
منن,Female,Child,Minor
مرزائی بیگم,Female,Begum,Support
شیخ احمد علی,Male,Lawyer,Support
مراد علی,Male,Munshi,Antagonist
شیخ محمد علی,Male,Landholder,Minor
مہاجن,Male,Moneylender,Minor
مینجر صاحب,Male,Manager,Minor
راجہ صاحب,Male,Raja,Minor
رانی صاحبہ,Female,Rani,Minor
رحیم بخش,Male,Broker,Antagonist
شرفو,Female,Procuress,Antagonist
سیٹھ موسیٰ بھائی,Male,Seth,Minor
شہید ثالث,Male,Saint,Minor
حسن خاں,Male,Soldier,Minor
محمد خاں,Male,Soldier,Minor
منصور الدولہ بہادر,Male,Noble,Minor
نواب گوہر مرزا,Male,Nawab,Antagonist
شہزادی,Female,Tawaif,Antagonist
بوا حسینی,Female,Servant,Minor
چٹھی نویس,Female,Scribe,Minor
داروغہ صاحب (نواب گوہر مرزا کے),Male,Darogha,Minor
میر صاحب (مصاحب),Male,Companion,Minor
خان صاحب (مصاحب),Male,Companion,Minor
شیخ صاحب (مصاحب),Male,Companion,Minor
حیدر بیگ خان,Male,Landowner,Minor
علی مرزا,Male,Addict,Minor
چنی بیگم,Female,Tawaif,Minor
بڑی بی,Female,Household Elder,Minor
بڑے حضور,Male,Nawab,Minor
محب,Male,Servant,Minor
مغلانی,Female,Maidservant,Minor
عالی خاں,Male,Innkeeper,Minor
