Character_A,Character_B,Weight,Pages
"باغبان","قیس (مجنون)",1,"129"
"باغبان","لیلی",2,"129 141"
"بیگم (والدہ لیلی)","دایہ",2,"4 5"
"بیگم (والدہ لیلی)","زہرہ دومنی",4,"41 57 58 59"
"بیگم (والدہ لیلی)","عبدالعزیز",5,"5 57 72 109 122"
"بیگم (والدہ لیلی)","عبداللہ",3,"4 5 57"
"بیگم (والدہ لیلی)","قیس (مجنون)",6,"58 59 109 123 126 138"
"بیگم (والدہ لیلی)","لیلی",8,"41 57 72 109 122 123 126 138"
"بیگم (والدہ لیلی)","محل دار",2,"4 5"
"بیگم (والدہ لیلی)","مولوی عشق الدین",1,"59"
"بیگم (والدہ لیلی)","نوفل سلطان روم",1,"72"
"بیگم (والدہ لیلی)","وزیر نوفل",1,"57"
"جرار خان","خون خوار خان",1,"22"
"جرار خان","طرار خان",1,"22"
"جرار خان","مولوی عشق الدین",1,"22"
"جوان اسیر","ساقی",1,"115"
"جوان اسیر","طرار خان",1,"116"
"جوان اسیر","قیس (مجنون)",1,"116"
"جوان اسیر","لیلی",2,"115 116"
"جوان اسیر","پیر زن",1,"116"
"خون خوار خان","خیلا",2,"89 90"
"خون خوار خان","طرار خان",9,"21 22 23 89 90 92 100 111 113"
"خون خوار خان","مولوی عشق الدین",4,"21 22 23 24"
"خیلا","زہرہ دومنی",3,"26 84 85"
"خیلا","طرار خان",11,"43 53 54 56 82 84 85 86 88 89 90"
"خیلا","عبدالعزیز",1,"56"
"خیلا","عبداللہ",1,"56"
"خیلا","قیس (مجنون)",4,"43 54 56 82"
"خیلا","لیلی",4,"43 53 54 56"
"خیلا","مولوی عشق الدین",4,"26 43 53 54"
"دایہ","عبدالعزیز",1,"5"
"دایہ","عبداللہ",2,"4 5"
"دایہ","قیس (مجنون)",1,"6"
"دایہ","محل دار",3,"4 5 6"
"دایہ","کاہن",1,"6"
"زہرہ دومنی","طرار خان",4,"28 84 85 87"
"زہرہ دومنی","عبدالعزیز",2,"27 57"
"زہرہ دومنی","عبداللہ",1,"57"
"زہرہ دومنی","قیس (مجنون)",3,"27 58 59"
"زہرہ دومنی","لیلی",3,"27 41 57"
"زہرہ دومنی","مولوی عشق الدین",4,"26 27 28 59"
"زہرہ دومنی","وزیر نوفل",1,"57"
"ساقی","قیس (مجنون)",3,"64 65 134"
"ساقی","لیلی",5,"11 13 64 115 134"
"ساقی","نوفل سلطان روم",2,"64 65"
"ساقی","وزیر نوفل",1,"64"
"طرار خان","عبدالعزیز",1,"56"
"طرار خان","عبداللہ",5,"19 46 47 48 56"
"طرار خان","قیس (مجنون)",9,"43 46 47 48 54 56 82 116 118"
"طرار خان","لیلی",8,"43 48 51 53 54 56 116 118"
"طرار خان","مولوی عشق الدین",10,"21 22 23 25 28 43 47 51 53 54"
"طرار خان","پیر زن",1,"116"
"طرار خان","کاہن",1,"19"
"طرار خان","کلوار می فروش",1,"83"
"عبدالعزیز","عبداللہ",14,"5 33 37 56 57 60 61 67 68 71 73 74 101 108"
"عبدالعزیز","قیس (مجنون)",11,"27 37 56 60 61 66 67 71 74 101 109"
"عبدالعزیز","لیلی",13,"27 56 57 60 61 66 71 72 101 108 109 122 125"
"عبدالعزیز","محل دار",1,"5"
"عبدالعزیز","مولوی عشق الدین",2,"27 37"
"عبدالعزیز","نوفل سلطان روم",5,"61 66 67 68 72"
"عبدالعزیز","وزیر نوفل",3,"57 61 68"
"عبدالعزیز","پیر زن",1,"101"
"عبدالعزیز","چوب دار",1,"66"
"عبداللہ","قیس (مجنون)",21,"35 36 37 38 46 47 48 49 50 56 60 61 67 71 74 75 77 101 105 106 107"
"عبداللہ","لیلی",11,"48 56 57 60 61 71 75 101 106 107 108"
"عبداللہ","محل دار",2,"4 5"
"عبداللہ","مولوی عشق الدین",4,"36 37 38 47"
"عبداللہ","نوفل سلطان روم",3,"61 67 68"
"عبداللہ","وزیر نوفل",3,"57 61 68"
"عبداللہ","پیر زن",1,"101"
"عبداللہ","کاہن",2,"3 19"
"قیس (مجنون)","لیلی",49,"27 30 32 39 42 43 48 54 55 56 60 61 62 63 64 66 70 71 75 76 78 91 96 101 102 106 107 109 110 116 117 118 119 121 123 124 126 127 128 129 130 131 133 134 135 136 137 138 139"
"قیس (مجنون)","محل دار",1,"6"
"قیس (مجنون)","مولوی عشق الدین",10,"27 34 36 37 38 39 43 47 54 59"
"قیس (مجنون)","نوفل سلطان روم",13,"61 62 63 64 65 66 67 69 70 79 91 94 96"
"قیس (مجنون)","وزیر نوفل",5,"61 62 63 64 69"
"قیس (مجنون)","پیر زن",2,"101 116"
"قیس (مجنون)","چوب دار",1,"66"
"قیس (مجنون)","کاہن",1,"6"
"لیلی","مولوی عشق الدین",7,"27 39 40 43 51 53 54"
"لیلی","نوفل سلطان روم",10,"61 62 63 64 66 70 72 91 95 96"
"لیلی","وزیر نوفل",6,"57 61 62 63 64 93"
"لیلی","پیر زن",2,"101 116"
"لیلی","چوب دار",1,"66"
"محل دار","کاہن",1,"6"
"نوفل سلطان روم","وزیر نوفل",6,"61 62 63 64 68 69"
"نوفل سلطان روم","چوب دار",1,"66"
