Character_A,Character_B,Weight,Pages
"باقر (بزرگ خط نویس)","حسین الدین",1,"157"
"باقر (بزرگ خط نویس)","حسین الدین کی والدہ",1,"157"
"باقر (بزرگ خط نویس)","رسوا",1,"182"
"باقر (بزرگ خط نویس)","رقیہ بیگم",3,"87 89 99"
"باقر (بزرگ خط نویس)","سکینہ بیگم (فدا حسین کی بیوی)",2,"87 99"
"باقر (بزرگ خط نویس)","شیخ قربان علی",1,"41"
"باقر (بزرگ خط نویس)","فردی میاں",2,"41 129"
"باقر (بزرگ خط نویس)","مرزا باقر حسین",19,"11 41 87 88 89 90 99 113 114 115 129 130 141 154 156 157 169 182 186"
"باقر (بزرگ خط نویس)","مرزا حمید حسین",1,"41"
"باقر (بزرگ خط نویس)","مرزا عابد حسین",13,"11 41 87 89 90 99 113 130 141 156 157 182 186"
"باقر (بزرگ خط نویس)","مرزا فدا حسین",3,"90 99 113"
"باقر (بزرگ خط نویس)","مولوی صلاح الدین",1,"169"
"باقر (بزرگ خط نویس)","مولوی ظہور الدین",1,"156"
"باقر (بزرگ خط نویس)","مہکولال",1,"41"
"باقر (بزرگ خط نویس)","نادر",2,"89 90"
"باقر (بزرگ خط نویس)","نور سیمی",1,"157"
"بلدیو مستری","رسوا",1,"174"
"بلدیو مستری","مادھو",6,"3 5 6 9 39 178"
"بلدیو مستری","مرزا عابد حسین",8,"3 5 6 21 24 27 39 174"
"تصدق حسین","مرزا عابد حسین",1,"42"
"تصدق حسین","وحشت",1,"42"
"حسین الدین","حسین الدین کی والدہ",1,"157"
"حسین الدین","مرزا باقر حسین",1,"157"
"حسین الدین","مرزا عابد حسین",1,"157"
"حسین الدین","نور سیمی",1,"157"
"حسین الدین کی والدہ","مرزا باقر حسین",1,"157"
"حسین الدین کی والدہ","مرزا عابد حسین",1,"157"
"حسین الدین کی والدہ","نور سیمی",1,"157"
"رام دین ٹھیکیدار","شیو بہاری ٹھیکیدار",5,"54 55 56 57 58"
"رام دین ٹھیکیدار","مرزا عابد حسین",5,"54 55 56 57 58"
"رام دین ٹھیکیدار","مگا",1,"58"
"رام دین ٹھیکیدار","کئی چمار",1,"57"
"رسوا","شیورتن",2,"121 139"
"رسوا","فردی میاں",2,"121 139"
"رسوا","مرزا باقر حسین",1,"182"
"رسوا","مرزا عابد حسین",6,"121 139 144 168 174 182"
"رسوا","مہادیو پرشاد",1,"144"
"رسوا","ولایت علی خاں",2,"121 139"
"رقیہ بیگم","سکینہ",3,"67 68 69"
"رقیہ بیگم","سکینہ بیگم (فدا حسین کی بیوی)",10,"67 68 69 70 81 85 86 87 95 99"
"رقیہ بیگم","مرزا باقر حسین",3,"87 89 99"
"رقیہ بیگم","مرزا عابد حسین",22,"7 17 67 68 69 70 72 80 81 84 85 86 87 89 91 93 94 95 97 98 99 100"
"رقیہ بیگم","مرزا فدا حسین",16,"67 68 70 72 80 81 85 86 91 93 94 95 97 98 99 100"
"رقیہ بیگم","منشی جی",1,"100"
