Character,Gender,TitleOrClass,Role
امراؤ جان,Female,Tawaif,Protagonist
مرزا رسوا,Male,Sahib,Narrator
منشی احمد حسن,Male,Munshi,Support
آغا صاحب,Male,Sahib,Minor
خان صاحب,Male,Sahib,Minor
شیخ صاحب,Male,Sheikh,Minor
پنڈت جی,Male,Pandit,Minor
نواب صاحب (مشاعرہ),Male,Nawab,Minor
مطہر احق,Male,Poet,Minor
مہری,Female,Servant,Minor
بسم اللہ جان,Female,Tawaif,Support
خورشید جان,Female,Tawaif,Support
امیر بان,Female,Tawaif,Minor
خانم جان,Female,Madam,Support
بوا حسینی,Female,Household Elder,Support
کریم,Male,Kidnapper,Antagonist
کریم کی ساس,Female,Householder,Minor
کریم کی جوری,Female,Householder,Minor
رام دئی,Female,Captive Girl,Minor
پیر بخش,Male,Kidnapper,Antagonist
دلاور خان,Male,Dacoit,Antagonist
بیگا جان,Female,Tawaif,Support
استاد جی,Male,Ustad,Support
خلیفہ جی,Male,Musician,Minor
مولوی صاحب,Male,Maulvi,Support
میر صاحب,Male,Poet,Minor
ابا (امراؤ جان کے والد),Male,Guard,Support
اماں,Female,Mother,Support
چھوٹا بھائی,Male,Child,Minor
پھوپھی,Female,Relative,Minor
پھوپھا,Male,Zamindar,Minor
امراؤ کا منگیتر,Male,Groom,Minor
کریمین,Female,Neighbour,Minor
کریمن کا دولہا,Male,Groom,Minor
بیگم بہو صاحب,Female,Begum,Minor
سلطان جہاں بیگم,Female,Begum,Minor
گوہر مرزا,Male,Poet,Support
بنو,Female,Tawaif,Support
نواب سلطان علی خان,Male,Nawab,Support
بند ڈومنی,Female,Tawaif,Minor
علی بخش,Male,Servant,Minor
نواب جعفر علی خان,Male,Nawab,Support
بیگم جعفر علی خان,Female,Begum,Minor
نواب جعفر علی خان کی والدہ,Female,Begum,Minor
نواب ملکہ کشور,Female,Begum,Minor
جہاں پناہ,Male,King,Minor
مرزا برجیس قدر,Male,Prince,Minor
مرزا اسکندر حشمت,Male,Prince,Minor
سید قطب الدین,Male,Noble,Minor
نواب چھین صاحب,Male,Nawab,Support
نواب عمدة الخاقان بیگم,Female,Begum,Minor
بڑے نواب صاحب,Male,Nawab,Minor
منصف الدولہ,Male,Noble,Minor
میاں حسنو,Male,Servant,Minor
نواب فخر النساء بیگم,Female,Begum,Minor
نواب حسن علی خان,Male,Nawab,Minor
نواب سرفراز محل,Female,Begum,Minor
نواب فخر النساء کی ماما,Female,Servant,Minor
دلبر حسین,Male,Musician,Minor
دلبر جان,Female,Tawaif,Minor
مرزا علی رضا بیگ,Male,Noble,Minor
شاہ صاحب,Male,Saint,Minor
میر مچھلی صاحب,Male,Poet,Minor
حکیم صاحب (نخاس),Male,Nakhkas,Antagonist
دلارام,Female,Tawaif,Minor
نواب راشد علی,Male,Nawab,Support
نواب بنّے خان,Male,Nawab,Support
شمشیر خان,Male,Soldier,Minor
محدوم بخش,Male,Servant,Minor
نواب سلطان صاحب,Male,Nawab,Support
نواب سلطان کا چھوٹا بھائی,Male,Nawab,Minor
پیارے صاحب,Male,Noble,Minor
امیر جان,Female,Tawaif,Support
پنامل جوہری,Male,Jeweller,Minor
چھنامل,Male,Merchant,Minor
نواب ملکہ عالم,Female,Begum,Minor
لالہ گوہر پرشاد,Male,Poet,Minor
امام بخش ساقی,Male,Poet,Minor
نواب چھین صاحب کی والدہ,Female,Household Elder,Minor
نصین,Female,Servant,Minor
پیارن,Female,Servant,Minor
راجا شیودھیان سنگھ,Male,Raja,Support
بیبا جان,Female,Tawaif,Minor
حسین باندھی,Female,Maid,Minor
حسین علی صاحب,Male,Officer,Minor
مکا پاسی,Male,Guide,Minor
ستارہ بھٹیارا,Male,Innkeeper,Minor
سائیں (فیض علی کا نوکر),Male,Servant,Minor
فیض علی,Male,Rebel,Support
فضل علی,Male,Relative,Minor
اکبر علی خاں,Male,Landlord,Support
اکبر علی خاں کی بیوی,Female,Begum,Support
بڑے خان صاحب,Male,Household Elder,Minor
مدن کی ماں,Female,Neighbour,Minor
بوا امیرن,Female,Servant,Minor
آبادی,Female,Tawaif,Minor
حسنا,Female,Tawaif,Minor
منے,Male,Child,Minor
میاں سعادت,Male,Relative,Minor
میاں محمد بخش,Male,Servant,Minor
میاں امیر,Male,Servant,Minor
میاں ارشاد علی,Male,Clerk,Minor
حسین خاں,Male,Soldier,Minor
نواب محمود علی خاں,Male,Nawab,Minor
نواب محمد تقی خاں,Male,Nawab,Support
بیگم محمد تقی خاں (کانپور والی),Female,Begum,Support
نواب محمد تقی خاں کا صاحب زادہ,Male,Nawab,Minor
سید حسن خاں,Male,Noble,Minor
نواب عمدة النساء بیگم,Female,Begum,Minor
واجد علی,Male,Nawab,Minor
سلار بخش,Male,Servant,Minor
تھانے دار صاحب,Male,Police,Minor
فقیر (تکیہ والا),Male,Fakir,Minor
مغلانی,Female,Tawaif,Minor
عاشق حسین,Male,Gentleman,Minor
تفضل حسین,Male,Gentleman,Minor
امجد علی,Male,Gentleman,Minor
