Character_A,Character_B,Weight,Pages
"آبادی","استاد جی",1,"161"
"آبادی","اماں",3,"162 164 179"
"آبادی","امراؤ جان",5,"161 162 163 178 179"
"آبادی","اکبر علی خاں کی بیوی",1,"164"
"آبادی","بوا حسینی",1,"161"
"آبادی","حسنا",1,"163"
"آبادی","حسین علی صاحب",1,"164"
"آبادی","مرزا رسوا",7,"161 162 163 164 178 179 185"
"آبادی","منے",1,"164"
"آبادی","میاں امیر",1,"164"
"آبادی","میاں سعادت",1,"164"
"آبادی","میاں محمد بخش",1,"164"
"آبادی","نواب صاحب (مشاعرہ)",2,"164 185"
"آبادی","نواب فخر النساء کی ماما",1,"185"
"آبادی","نواب چھین صاحب کی والدہ",1,"162"
"آبادی","گوہر مرزا",1,"185"
"آغا صاحب","استاد جی",2,"10 12"
"آغا صاحب","امراؤ جان",7,"7 8 9 10 12 14 16"
"آغا صاحب","خان صاحب",5,"8 9 10 14 16"
"آغا صاحب","شیخ صاحب",1,"8"
"آغا صاحب","مرزا رسوا",7,"7 8 9 10 12 14 16"
"آغا صاحب","منشی احمد حسن",4,"7 12 14 16"
"آغا صاحب","میاں امیر",1,"12"
"آغا صاحب","نواب صاحب (مشاعرہ)",4,"7 8 9 10"
"آغا صاحب","پنڈت جی",2,"7 16"
"ابا (امراؤ جان کے والد)","اماں",10,"26 27 33 34 35 36 37 156 157 172"
"ابا (امراؤ جان کے والد)","امراؤ جان",1,"26"
"ابا (امراؤ جان کے والد)","امراؤ کا منگیتر",2,"34 35"
"ابا (امراؤ جان کے والد)","امیر بان",1,"27"
"ابا (امراؤ جان کے والد)","اکبر علی خاں کی بیوی",3,"26 35 172"
"ابا (امراؤ جان کے والد)","بسم اللہ جان",1,"27"
"ابا (امراؤ جان کے والد)","بوا حسینی",2,"26 27"
"ابا (امراؤ جان کے والد)","خانم جان",3,"26 27 156"
"ابا (امراؤ جان کے والد)","خورشید جان",2,"27 172"
"ابا (امراؤ جان کے والد)","دلاور خان",2,"31 37"
"ابا (امراؤ جان کے والد)","مرزا رسوا",11,"26 27 31 33 34 35 36 37 156 157 172"
"ابا (امراؤ جان کے والد)","میاں امیر",1,"27"
"ابا (امراؤ جان کے والد)","میر صاحب",1,"156"
