Character,Gender,TitleOrClass,Role
حکیم صاحب,Male,حکیم,Support
بیوی حکیم صاحب,Female,بیوی حکیم,Minor
کلثوم بیگم,Female,بیگم,Support
میر صاحب,Male,صاحب,Minor
داروغہ صاحب,Male,داروغہ,Support
میاں نبی بخش,Male,خادم,Support
کریم خاں,Male,خادم,Support
محلدار,Female,خادمہ,Minor
بیگم صاحبہ,Female,بیگم,Support
چھوٹے نواب,Male,نواب,Protagonist
نواب مختار الدولہ,Male,نواب,Support
بی مہری,Female,خادمہ,Support
پھلکی والا,Male,دکاندار,Minor
لڑکا (پھلکی والے کا شاگرد),Male,شاگرد,Minor
میاں حسنو,Male,دکاندار,Minor
بی مغلانی,Female,خادمہ,Minor
بی مغلائی,Female,رشتہ دار,Minor
غلام علی,Male,نوکر,Minor
سبحان خاں,Male,استاد موسیقی,Minor
بزن بیگ خاں,Male,رئیس,Minor
مرشد,Male,مرشد روحانی,Minor
چمن,Male,خلیفہ/مصاحب,Support
مولوی صاحب,Male,مولوی,Minor
میاں امجد,Male,رشتہ دار,Support
بی اما من,Female,دایہ/خادمہ,Minor
مرزا صاحب,Male,مرزا,Minor
تمباکو والا,Male,دکاندار,Minor
چائے والا,Male,دکاندار,Minor
رجب کنجڑا,Male,سبزی فروش,Minor
فیضو گندھی,Male,دکاندار,Minor
حسنہ,Female,نوکرانی,Minor
مسعود,Male,ملازم,Minor
فولاد,Male,رشتہ دار,Minor
حبشی نوکر,Male,نوکر,Minor
چھوٹی انا,Female,دایہ,Support
مجد بخش,Male,رشتہ دار,Minor
خورشید,Female,توايف,Support
شیدی مقصود,Male,نوکر,Minor
کرامت علی شاہ,Male,فقیر/عامل,Antagonist
سبز قبا (پری),Female,پری,Support
بڑی بی (پری کے مکان والی),Female,بوڑھی خاتون,Minor
سیاہ فام بزرگ,Male,فقیر,Minor
چھٹی نویس,Female,نویس/محرم,Support
انائی,Female,خادمہ,Minor
دیوان جی,Male,دیوان,Support
داروغہ (نیا),Male,داروغہ,Support
بڑی انا,Female,بزرگ رشتہ دار,Support
عمدہ خانم,Female,خانم/مالک مکان,Support
مرزا قربان علی,Male,مرزا,Minor
میر کاظم علی,Male,دوست,Support
گھنام جوگی,Male,جوگی/جادوگر,Antagonist
عبد الحفر,Male,افسر/منشی,Minor
نشو بیگم,Female,بیگم,Minor
واجد,Male,رشتہ دار/ملازم,Minor
منشی جی,Male,منشی,Minor
میاں فقر,Male,دوست,Minor
چھٹن,Male,دوست/ملازم,Minor
انسپکٹر صاحب,Male,انسپکٹر پولیس,Support
چھوٹے خان گندھی,Male,رئیس/مہاجن,Minor
فردو,Female,خادمہ,Minor
راجہ اندور,Male,راجہ,Minor
تان سین,Male,درباری گویّا,Minor
مولف اوراق,Male,مصنف/راوی,Narrator
مظہر,Male,سالا حکیم صاحب,Minor
حوالدار,Male,حوالدار پولیس,Minor
نریمانی,Male,برقنداز,Minor
کرم خان,Male,برقنداز,Minor
چیت سنگھ,Male,سپاہی,Minor
تھانیدار صاحب,Male,تھانیدار,Support
حسن علی,Male,گواہ/آدمی,Minor
شہزادہ صاحب,Male,شہزادہ,Minor
کنیز,Female,کنیز,Minor
زینت,Female,ماما,Minor
خلیا ساس,Female,خالہ ساس,Minor
تعلقدار صاحب,Male,تعلقدار,Minor
سلطانہ,Female,توايف,Minor
جگن,Male,نوکر,Minor
