Character,Gender,TitleOrClass,Role
سورداس,Male,چمار بھگت,Protagonist
مٹھو,Male,گاؤں کا لڑکا,Minor
گھیسو,Male,شریر لڑکا,Minor
بجرنگی,Male,اہیر کسان,Support
جمنی,Female,گاؤں کی عورت,Support
جگدھر,Male,خوانچہ فروش,Minor
بھیرو,Male,تاڑی فروش,Minor
بھیرو کی ماں,Female,بوڑھی ماں,Minor
سو بھاگی,Female,گاؤں کی چمار عورت,Support
سجاگی,Female,گاؤں کی عورت,Minor
گنیش گاڑی بان,Male,گاڑی بان,Minor
نا یک رام,Male,پنڈت / مکھیا,Antagonist
دیاگر,Male,مندر کا پجاری,Support
ٹھاکر دین,Male,ٹھاکر زمیندار,Minor
چودھری کھال خریدار,Male,کھالوں کا چودھری,Antagonist
چماروں کے چودھری,Male,چماروں کا سردار,Support
جان سیوک,Male,مسٹر / صنعت کار,Protagonist
مسز جان سیوک,Female,مسز / گھر کی بزرگ خاتون,Support
پر بھو سیوک,Male,تعلیم یافتہ نوجوان عیسائی,Support
صوفیہ سیوک,Female,تعلیم یافتہ عیسائی لڑکی,Protagonist
ایشور سیوک,Male,عیسائی بزرگ,Support
ڈاکٹر گنگولی,Male,ڈاکٹر,Support
اندو,Female,راجکماری,Support
رانی جانھوی,Female,رانی,Support
کنور بھرت سنگھ,Male,کنور / زمیندار,Support
ونے سنگھ,Male,کنور,Support
مس سہراب جی,Female,مس / استانی,Minor
راجہ مہندر کمار سنگھ,Male,راجہ,Support
مسٹر کلارک,Male,ضلع کلکٹر / صاحب بہادر,Antagonist
گودام کے صاحب,Male,گودام مالک,Minor
اندھے فقیر,Male,فقیر,Support
طاہر علی,Male,منشی / ایجنٹ,Support
کلثوم,Female,گھر والی,Minor
زینب,Female,بڑی سوتیلی ماں,Minor
رقیہ,Female,چھوٹی سوتیلی ماں,Minor
ماہر علی,Male,طالب علم,Minor
ظاہر علی,Male,طالب علم,Minor
جابر علی,Male,سوتیلا لڑکا,Minor
صابر علی,Male,سوتیلا لڑکا,Minor
نسیمہ,Female,لڑکی,Minor
سید رضا علی,Male,داروغہ پولیس,Antagonist
پسناہری,Male,سوداگر / خیر خواہ,Minor
جھکڑ سائیں,Male,فقیر سائیں,Minor
چنکی کے محرر,Male,محرر,Minor
سیوا سمیتی کے رضاکار,Unknown,رضاکار گروپ,Minor
مندر کا پجاری,Male,پجاری,Minor
ریورنڈ (عیسائی مُلا),Male,پادری,Minor
اتم (ڈاکیہ),Male,ڈاکیہ,Minor
بیر پال سنگھ,Male,ڈکیت سردار,Minor
مہاراج اندروت,Male,مہاراج / حکیم,Support
بینگن سنگھ,Male,کوچوان / ڈرائیور,Minor
کمشنر صاحب,Male,کمشنر,Antagonist
اخبار کا مدیر,Male,مدیر / ایڈیٹر,Support
پولیس سپرنٹنڈنٹ,Male,پولیس افسر,Antagonist
عیسائی بیرسٹر,Male,بیرسٹر,Minor
مسٹر جان برڈ,Male,مسٹر / کارخانہ دار,Minor
پروفیسر چارلس تیبین,Male,پروفیسر,Minor
مسٹر نیل منی,Male,مسٹر / یونین لیڈر,Minor
لارڈ بشپ,Male,بشپ,Minor
ڈپٹی صاحب,Male,ڈپٹی کلکٹر,Minor
سردار نیل کنٹھ سنگھ,Male,دیوان,Minor
ریزیڈنٹ صاحب,Male,ریزیڈنٹ / پولیٹیکل ایجنٹ,Antagonist
مہاراجہ صاحب (ریاست),Male,مہاراجہ,Minor
علاقہ دار,Male,علاقہ دار افسر,Minor
آبکاری کے داروغہ,Male,آبکاری داروغہ,Antagonist
محاسب,Male,محاسب / اکاؤنٹنٹ,Minor
پرن ناتھ,Male,بابو / منیم,Minor
سول سارجنٹ,Male,سول سارجنٹ,Minor
لاٹ صاحب,Male,گورنر جنرل,Antagonist
