Character_A,Character_B,Weight,Pages
"الاجا","بساطی",1,"11"
"الاجا","جالپا",2,"11 60"
"الاجا","رماناتھ",1,"60"
"الاجا","مانگی",1,"11"
"الاجا","منشی دین دیال",1,"11"
"امر داس","رتن دیوی",1,"104"
"امر داس","رماناتھ",1,"104"
"امر داس","رمیش بابو",1,"104"
"امر داس","مانک داس",1,"104"
"امر داس","گوپی ناتھ",1,"104"
"انسپکٹر","بڑھیا (دیتی دین کی بیوی)",1,"264"
"انسپکٹر","جالپا",3,"311 312 359"
"انسپکٹر","حج صاحب",2,"307 370"
"انسپکٹر","دیتی دین",2,"273 311"
"انسپکٹر","رتن دیوی",2,"105 312"
"انسپکٹر","رماناتھ",13,"105 264 271 273 307 308 310 311 355 357 358 359 370"
"انسپکٹر","رمیش بابو",1,"105"
"انسپکٹر","زہرہ",1,"370"
"انسپکٹر","قیدی",1,"311"
"انسپکٹر","مانک داس",1,"105"
"انسپکٹر","مسلمان سپاہی",1,"273"
"انسپکٹر","ونیش",1,"357"
"انسپکٹر","پہرے والا",2,"273 310"
"انسپکٹر","چوکیدار",1,"311"
"انسپکٹر","ڈپٹی سپرنٹنڈنٹ",5,"271 310 311 357 370"
"انسپکٹر","گوپی ناتھ",1,"105"
"بساطی","جالپا",3,"11 13 21"
"بساطی","رتن دیوی",1,"119"
"بساطی","رماناتھ",1,"119"
"بساطی","مانگی",3,"11 13 21"
"بساطی","منشی دین دیال",2,"11 21"
"بسنتی","جالپا",2,"3 5"
"بسنتی","جاگیشری",1,"5"
"بسنتی","دیا ناتھ",1,"37"
"بسنتی","رادھا",2,"3 5"
"بسنتی","رماناتھ",1,"37"
"بسنتی","شہزادی",1,"5"
"بشمر","جالپا",1,"33"
"بشمر","دیا ناتھ",1,"33"
"بشمر","رماناتھ",1,"33"
"بشمر","گوپی ناتھ",1,"33"
"بنتی","جالپا",2,"6 68"
"بنتی","رادھا",1,"6"
"بنتی","رماناتھ",1,"68"
"بنتی","شہزادی",1,"6"
"بنتی","مانگی",1,"6"
"بنتی","چرن داس",1,"68"
"بڑھیا (دیتی دین کی بیوی)","بید جی",1,"209"
"بڑھیا (دیتی دین کی بیوی)","جالپا",19,"199 212 215 231 259 282 298 318 319 324 327 328 330 332 340 351 353 375 379"
"بڑھیا (دیتی دین کی بیوی)","داروغہ",1,"263"
"بڑھیا (دیتی دین کی بیوی)","دیا ناتھ",1,"381"
"بڑھیا (دیتی دین کی بیوی)","دیتی دین",28,"171 181 190 199 200 205 206 209 210 212 247 248 262 263 268 282 295 296 298 318 319 324 327 328 329 340 351 381"
"بڑھیا (دیتی دین کی بیوی)","رتن دیوی",3,"181 231 259"
"بڑھیا (دیتی دین کی بیوی)","رماناتھ",31,"171 173 181 190 192 199 200 205 206 207 208 212 215 220 231 247 248 262 264 268 318 319 324 327 329 330 332 353 373 375 381"
"بڑھیا (دیتی دین کی بیوی)","رمیش بابو",1,"215"
"بڑھیا (دیتی دین کی بیوی)","زہرہ",3,"373 375 379"
"بڑھیا (دیتی دین کی بیوی)","قیدی",1,"259"
"بڑھیا (دیتی دین کی بیوی)","ماسی (ونیش)",1,"373"
"بڑھیا (دیتی دین کی بیوی)","منیم",1,"181"
"بڑھیا (دیتی دین کی بیوی)","ونیش",3,"327 328 373"
"بڑھیا (دیتی دین کی بیوی)","پنڈت اندر بھوشن",1,"190"
"بڑھیا (دیتی دین کی بیوی)","چوکیدار",1,"248"
"بڑھیا (دیتی دین کی بیوی)","کہار",1,"231"
"بڑھیا (دیتی دین کی بیوی)","گوپی ناتھ",3,"282 298 381"
"بید جی","دیتی دین",1,"209"
"بیوی (ونیش)","جالپا",1,"378"
"بیوی (ونیش)","رماناتھ",1,"378"
"بیوی (ونیش)","زہرہ",1,"378"
"بیوی (ونیش)","ونیش",1,"378"
"جالپا","جاگیشری",14,"5 12 41 54 62 65 92 121 148 191 243 246 257 389"
"جالپا","جنگلی",2,"286 287"
"جالپا","جوہری (رتن کا)",1,"41"
"جالپا","حج صاحب",4,"322 323 365 372"
"جالپا","خزانچی صاحب",1,"107"
"جالپا","دیا ناتھ",11,"10 12 33 39 49 92 166 191 198 257 398"
"جالپا","دیتی دین",40,"175 198 199 211 212 213 216 282 283 285 286 287 288 289 290 298 300 311 313 316 317 318 319 322 323 324 327 328 338 339 340 346 351 364 365 366 367 383 389 394"
"جالپا","رادھا",4,"3 4 5 6"
