Character,Gender,TitleOrClass,Role
ہوری رام,Male,کسان / مہتو گھرانہ,Protagonist
دھنیا,Female,گھر والی / کسان عورت,Protagonist
گوبر,Male,کسان لڑکا,Support
سونا,Female,Villager / Commoner,Minor
روپا,Female,Villager / Commoner,Minor
بھولا,Male,Villager / Commoner,Minor
جھونیا,Female,دلت / گاؤں کی لڑکی,Support
جھیا,Female,Villager / Commoner,Minor
جیلی,Female,Villager / Commoner,Minor
رائے اگر یال سنگھ,Male,رائے صاحب / زمیندار,Antagonist
کارندہ,Male,Villager / Commoner,Minor
دانا دین پنڈت,Male,پنڈت (برہمن),Antagonist
منگرو شاہ,Male,Villager / Commoner,Antagonist
سیٹھائی,Male,سیٹھ / سرمایہ دار,Minor
سیٹھانی,Female,سیٹھ / سرمایہ دار,Minor
بیر شاہ,Male,Villager / Commoner,Minor
ہیرا مہتو,Male,مہتو (کسان),Support
نینی,Female,Villager / Commoner,Support
چودھری,Male,چودھری / گاؤں کا رئیس,Minor
کامتا مہتو,Male,مہتو (کسان),Minor
جنگی مہتو,Male,مہتو (کسان),Minor
سوکھا مہتو,Male,مہتو (کسان),Minor
پیادہ,Male,Villager / Commoner,Minor
چپراسی,Male,Villager / Commoner,Minor
دلار,Unknown,Villager / Commoner,Minor
رادھا جی,Female,Villager / Commoner,Minor
شری جانکی,Female,Villager / Commoner,Minor
سوبھا مہتو,Male,مہتو (کسان),Support
لالہ پشیری,Male,لالہ (بنیے/تاجر طبقہ),Support
جھنگری سنگھ,Male,راجپوت / سنگھ,Support
گینڈو بابو,Male,بابو / کلرک طبقہ,Antagonist
پنڈت دودھ والا,Male,پنڈت (برہمن),Minor
پنڈت اونکار ناتھ,Male,پنڈت (برہمن),Support
بی مہتا,Male,پروفیسر / متوسط طبقہ,Support
مسٹر کھنا,Female,مسٹر / صاحب,Antagonist
کامنی کھنا,Female,Villager / Commoner,Support
مالتی,Unknown,ڈاکٹر / شہری تعلیم یافتہ,Support
سر لکھنا,Female,Villager / Commoner,Minor
پیشام بہاری نیا,Male,وکیل / متوسط طبقہ,Support
کانجی,Male,Villager / Commoner,Minor
مرزا خورشید,Male,مرزا,Minor
سر دیتا,Male,Villager / Commoner,Minor
مسٹر اینڈ,Male,مسٹر / صاحب,Minor
نشوینی کھنا,Female,Villager / Commoner,Minor
بدھ,Unknown,Villager / Commoner,Minor
افلاطون,Unknown,Villager / Commoner,Minor
مسٹر شیخا,Male,مسٹر / صاحب,Minor
منا,Male,Villager / Commoner,Minor
لکڑ ہارا,Male,لکڑ ہارا,Minor
پہاڑی لڑکی,Female,دیہاتی لڑکی,Minor
خان افغان,Male,خان / پٹھان,Support
سوامی جی,Male,سوامی / مذہبی پیشوا,Minor
راحت صاحب,Male,Villager / Commoner,Minor
پیشوری لالہ,Male,لالہ (بنیے/تاجر طبقہ),Minor
داروغہ جی,Male,Villager / Commoner,Minor
گنڈا سنگھ,Male,راجپوت / سنگھ,Minor
لالہ بیوری,Male,لالہ (بنیے/تاجر طبقہ),Minor
مانا دین,Male,Villager / Commoner,Minor
نوری,Unknown,Villager / Commoner,Minor
بشر کول,Male,Villager / Commoner,Minor
سروج,Male,Villager / Commoner,Minor
دردا,Unknown,Villager / Commoner,Minor
دادا جی,Unknown,Villager / Commoner,Minor
مالی,Unknown,مالی,Minor
گوبندی دیوی,Female,دیوی / مائی (عورت),Support
لیڈی ہکو,Female,لیڈی / اشرافیہ,Minor
سیتیا مائی گائے,Female,دیوی / مائی (عورت),Minor
کودکی,Female,گاؤں کی بچی,Minor
کودکی کی ماں,Female,گاؤں کی بچی,Minor
رانی چندا,Female,رانی / اشرافیہ,Minor
مسٹر سٹنا,Male,مسٹر / صاحب,Minor
زیبادو,Female,Villager / Commoner,Minor
دھیان سنگھ,Male,راجپوت / سنگھ,Minor
بھیشم,Male,Villager / Commoner,Minor
ڈاکٹر ناگ,Male,ڈاکٹر,Minor
مسٹر ڈاڈ,Male,مسٹر / صاحب,Minor
دید راج نیلکنہ شاستری,Male,Villager / Commoner,Minor
گردھر,Male,Villager / Commoner,Minor
الہ دین,Male,Villager / Commoner,Minor
بجنگھی,Unknown,Villager / Commoner,Minor
ڈاکٹر سیٹھ,Male,سیٹھ / سرمایہ دار,Minor
پروفیسر بھاگا,Male,پروفیسر,Minor
گومتی,Female,Villager / Commoner,Minor
پنڈت نوکھے رام,Male,پنڈت (برہمن),Minor
میلیا چارن,Female,Villager / Commoner,Minor
مھنٹیا,Male,Villager / Commoner,Minor
بھاگن,Female,Villager / Commoner,Minor
بھورے,Male,Villager / Commoner,Minor
بھوانی دان,Male,Villager / Commoner,Minor
راجہ سورج پرتاب سنگھ,Male,راجپوت / سنگھ,Antagonist
کنور صاحب,Male,شہزادہ / کنور,Minor
گورنر صاحب,Male,گورنر / نوآبادی حکام,Antagonist
لیڈی ولسن,Female,لیڈی / اشرافیہ,Minor
سلیا,Female,چمارن / مزدور طبقہ,Support
دھنا,Unknown,Villager / Commoner,Minor
ہر کھو,Unknown,Villager / Commoner,Minor
نیا کی ماں,Female,Villager / Commoner,Minor
گوری رام مہتو,Male,مہتو (کسان),Minor
متھرا,Male,Villager / Commoner,Minor
نہرا,Female,Villager / Commoner,Minor
بتیا,Female,Villager / Commoner,Minor
نوبیا,Female,Villager / Commoner,Minor
چوہیا,Female,Villager / Commoner,Minor
للو,Male,Villager / Commoner,Minor
سنگر داس ساہ,Male,Villager / Commoner,Minor
ٹھکرائن,Female,ٹھکرائن,Minor
مرزا امرزاجی,Male,مرزا,Minor
منگل,Male,Villager / Commoner,Minor
امین,Male,Villager / Commoner,Minor
مالک مکان,Male,مالک مکان,Minor
حاکم ضلع,Male,حاکم ضلع / افسر,Minor
میناکشی,Female,Villager / Commoner,Minor
جوگ بجے سنگھ,Male,راجپوت / سنگھ,Minor
سلطانہ,Female,Villager / Commoner,Minor
آتا دین,Male,Villager / Commoner,Minor
ٹھیکہ دار,Male,ٹھیکہ دار,Minor
رام سیوک مہتو,Male,مہتو (کسان),Support
رامو,Male,Villager / Commoner,Minor
بھنیری,Male,Villager / Commoner,Minor
