Character_A,Character_B,Weight,Pages
"بانکی","رماناتھ",1,"1"
"بانکی","مالکی",1,"1"
"باگیشری","جالپا",11,"8 9 43 71 73 74 96 156 158 204 205"
"باگیشری","دیاناتھ",6,"5 8 15 16 17 43"
"باگیشری","رتن",3,"96 204 205"
"باگیشری","رماناتھ",9,"5 9 17 43 73 74 96 156 158"
"باگیشری","رمیش بابو",2,"96 156"
"باگیشری","منشی دین دیال",5,"5 8 15 16 17"
"باگیشری","منی بھوشن",1,"16"
"باگیشری","وکیل پنڈت بھوشن",1,"96"
"بساطی","جالپا",2,"11 13"
"بساطی","رتن",1,"85"
"بساطی","رماناتھ",2,"85 334"
"بساطی","مانکی",1,"13"
"بساطی","منشی دین دیال",1,"11"
"بسنتی","بنتی",1,"4"
"بسنتی","جالپا",2,"4 146"
"بسنتی","شہزادی",2,"4 146"
"بسنتی","مانکی",1,"4"
"بسنتی","منشی دین دیال",1,"146"
"بنتی","جالپا",4,"2 3 4 33"
"بنتی","دیاناتھ",1,"33"
"بنتی","رادھا",2,"2 3"
"بنتی","رماناتھ",1,"33"
"بنتی","شہزادی",3,"2 3 4"
"بنتی","مانکی",1,"4"
"بڑھیا","جالپا",11,"160 162 165 198 201 253 260 280 293 294 296"
"بڑھیا","جج صاحب",1,"280"
"بڑھیا","دیاناتھ",1,"160"
"بڑھیا","دیبی دین",17,"130 132 162 165 171 195 196 197 201 207 234 239 240 253 260 280 294"
"بڑھیا","رتن",4,"162 171 198 201"
"بڑھیا","رماناتھ",22,"130 132 160 162 165 171 191 193 194 195 196 198 201 207 208 234 253 260 280 293 294 296"
"بڑھیا","رمیش بابو",1,"165"
"بڑھیا","شہر",2,"160 201"
"بڑھیا","منی بھوشن",1,"179"
"بڑھیا","و نیش کی ماں",1,"294"
"بڑھیا","وکیل پنڈت بھوشن",1,"179"
"بڑھیا","ٹھیل / ٹیل",1,"293"
"بڑھیا","گولی",1,"296"
"بڑھیا","گوپی ناتھ",1,"253"
"جالپا","جج صاحب",3,"272 280 281"
"جالپا","جنگلی (آم باغ والا)",2,"241 259"
"جالپا","دیاناتھ",22,"7 8 10 12 18 20 32 33 34 35 43 49 69 144 145 153 159 160 181 190 219 332"
"جالپا","دیبی دین",36,"140 147 152 159 162 163 165 201 202 203 229 241 242 243 245 246 247 252 253 255 258 259 260 268 269 270 272 273 276 280 281 289 294 297 298 332"
"جالپا","رادھا",3,"2 3 117"
"جالپا","رتن",57,"66 67 68 69 70 72 83 86 88 93 96 97 98 100 101 102 104 105 111 113 117 125 140 141 142 143 144 145 149 150 152 157 162 181 182 183 185 190 198 199 201 202 203 204 205 206 215 228 229 230 232 262 276 324 325 332 333"
"جالپا","رماناتھ",140,"7 9 10 12 18 20 21 22 28 29 31 32 33 34 36 37 38 39 43 44 45 49 50 52 53 54 55 56 57 61 62 63 64 65 66 67 70 72 73 74 76 77 78 79 81 83 86 88 93 96 97 98 99 100 101 102 103 104 105 106 108 111 113 117 121 123 124 125 135 136 137 138 139 140 143 145 147 150 151 155 156 157 158 159 160 162 165 185 190 198 201 202 203 206 209 219 228 229 230 232 241 242 243 245 246 247 250 252 253 255 258 259 260 268 270 271 275 276 280 281 285 288 289 290 291 292 293 294 296 297 299 300 322 323 324 325 327 328 332 333"
"جالپا","رمیش بابو",15,"22 64 72 86 88 96 138 139 153 155 156 159 165 228 229"
"جالپا","زہرہ",11,"288 289 290 292 300 322 323 324 325 332 333"
"جالپا","سیٹھ جی (جشن جنم اشٹمی والے)",2,"53 106"
"جالپا","شمبھر",1,"88"
"جالپا","شہر",16,"18 54 62 65 88 125 157 160 163 185 199 201 230 243 258 290"
"جالپا","شہزادی",5,"2 3 4 31 146"
"جالپا","مانکی",2,"4 13"
"جالپا","منشی دین دیال",8,"8 11 30 36 146 147 159 202"
"جالپا","منی بھوشن",4,"62 203 228 230"
"جالپا","مہراج (نوکر وکیل کا)",3,"97 98 190"
"جالپا","مہری (نوکرانی)",1,"137"
"جالپا","و نیش کی ماں",1,"294"
"جالپا","وکیل پنڈت بھوشن",13,"65 66 67 68 69 72 96 144 181 185 190 215 328"
"جالپا","وید جی",1,"333"
"جالپا","ٹھیل / ٹیل",1,"293"
"جالپا","چرنداس",2,"76 77"
"جالپا","کبیراج",3,"185 190 215"
"جالپا","گنگو صراف",4,"64 97 98 99"
"جالپا","گولی",7,"88 98 157 230 246 269 296"
"جالپا","گوپی ناتھ",8,"12 163 199 226 229 253 255 256"
"جالپا","ہیم صاحب",1,"105"
"جج صاحب","دیبی دین",4,"244 272 280 281"
"جج صاحب","رماناتھ",3,"244 280 281"
"جنگلی (آم باغ والا)","دیبی دین",2,"241 259"
"جنگلی (آم باغ والا)","رماناتھ",2,"241 259"
"خزانچی صاحب","رتن",2,"92 109"
"خزانچی صاحب","رماناتھ",2,"92 109"
"خزانچی صاحب","رمیش بابو",1,"109"
"خزانچی صاحب","وکیل پنڈت بھوشن",1,"109"
"دیاناتھ","دیبی دین",3,"159 331 332"
"دیاناتھ","رتن",8,"69 91 120 144 145 181 190 332"
"دیاناتھ","رماناتھ",29,"5 7 10 12 17 18 20 32 33 34 40 41 43 46 48 49 60 75 91 110 120 128 145 159 160 190 219 331 332"
"دیاناتھ","رمیش بابو",7,"23 40 41 91 110 153 159"
"دیاناتھ","زہرہ",1,"332"
"دیاناتھ","سیٹھ جی (جشن جنم اشٹمی والے)",1,"120"
"دیاناتھ","شہر",3,"18 120 160"
"دیاناتھ","لالہ دینی رام",1,"75"
"دیاناتھ","منشی جی (دفتر کے بڑے منشی، ریٹائرڈ)",1,"40"
"دیاناتھ","منشی دین دیال",7,"5 8 14 15 16 17 159"
"دیاناتھ","منی بھوشن",1,"16"
"دیاناتھ","مہراج (نوکر وکیل کا)",2,"48 190"
"دیاناتھ","نم جی",1,"46"
"دیاناتھ","وکیل پنڈت بھوشن",5,"69 144 181 190 331"
"دیاناتھ","چرنداس",1,"75"
"دیاناتھ","کبیراج",1,"190"
"دیاناتھ","گنگو صراف",2,"46 48"
"دیاناتھ","گولی",1,"110"
"دیاناتھ","گوپی ناتھ",1,"12"
"دیبی دین","رتن",10,"140 152 162 171 201 202 203 229 276 332"
"دیبی دین","رماناتھ",61,"129 130 132 140 147 159 161 162 164 165 166 168 169 170 171 173 175 176 177 178 195 196 201 202 203 207 212 220 221 223 225 229 234 235 241 242 243 244 245 246 247 251 252 253 254 255 257 258 259 260 268 270 276 280 281 289 294 297 330 331 332"
"دیبی دین","رمیش بابو",3,"159 165 229"
"دیبی دین","زہرہ",2,"289 332"
"دیبی دین","سیٹھ جی (جشن جنم اشٹمی والے)",2,"175 176"
"دیبی دین","سیٹھ کروڑی مل",1,"176"
