Character,Gender,TitleOrClass,Role
سباما,Female,مکان دارنی / بزرگ,Support
پرتاپ چند,Male,سوامی/بابو,Protagonist
منشی سنجیون لال,Male,منشی,Support
سوشیلا,Female,برہمن عورت,Minor
برج رانی,Female,شاعرہ / رانی,Protagonist
میری,Female,بوڑھی خادمہ,Support
ڈاکٹر صاحب,Male,ڈاکٹر,Minor
منشی سالگرام,Male,منشی,Minor
پنڈت موٹے رام شاستری,Male,پنڈت,Support
کلکٹر صاحب,Male,کلکٹر,Minor
مہر اجن,Male,مہراجن,Support
اشٹ بھی دیوی,Female,دیوی,Minor
سوامی پرمانند جی,Male,سوامی,Minor
گنگا جی,Female,دریا/دیوی,Minor
ہیتال پھوپی,Female,رشتہ دار,Minor
رادھا چرن,Male,بابو/زمیندار,Support
کملا چرن,Male,بابو,Protagonist
کملا,Female,سہلی,Support
امادنی,Female,نوکرانی,Support
جانکی کنور,Female,کنور,Support
پریم وتی,Female,ساس,Support
شیاما چرن,Male,ڈپٹی صاحب,Support
سیوتی,Female,سہلی,Support
چندرا,Female,بہو,Support
رانی,Female,رانی,Support
رکمنی,Female,عورت,Support
سیتا,Female,عورت,Support
رام دئی,Female,دیہاتی عورت,Minor
چندا کنور,Female,کنور,Support
مادھوی,Female,برہمن لڑکی,Support
میراجن,Female,نائن,Minor
گلبیا,Female,نائن,Minor
جمنی,Female,مہارن,Minor
کلثوم کی ماں,Female,دیہاتی عورت,Minor
نواب منے خاں,Male,نواب,Minor
آغا شیر علی,Male,آغا,Minor
کلونت رائے,Male,رائے,Minor
شیام,Male,نامعلوم,Minor
شری وشواناتھ جی,Male,دیوتا/مذہبی شخصیت,Minor
سعید,Male,مسلمان دوست,Support
حمید خاں,Male,مسلمان دوست,Support
مجید,Male,مسلمان دوست,Support
رام سیوک,Male,دیہاتی,Minor
چندو لال,Male,لعل,Minor
سپرنٹنڈنٹ صاحب,Male,افسر,Minor
ردھیا,Female,پیغام رساں,Minor
مہری,Female,نوکرانی,Minor
کوچبان,Male,کوچبان,Minor
رادھا,Female,اہیر لڑکی,Minor
تلسا,Female,دیہاتی عورت,Minor
مؤنی,Female,گائے,Minor
کاشی بھر,Male,دیہاتی,Minor
دہلو رائے,Male,اہیر/دیہاتی,Minor
اہیر,Male,دیہاتی طبقہ,Minor
اہیرن,Female,دیہاتی عورت,Minor
مہراج,Male,دیہاتی/بھنگ بنانے والا,Minor
رام دین پانڈے,Male,پانڈے جی,Antagonist
منشی جگدمبا پرشاد,Male,منشی,Minor
پٹواری صاحب,Male,پٹواری,Minor
دیہاتی عورتیں,Female,دیہاتی,Minor
جوگی بابا,Male,جوگی,Minor
مولوی صاحب (درخت والا),Male,بھوت مولوی,Minor
لالہ صاحب (بھوت والا),Male,بھوت,Minor
ہولی ماتا,Female,دیوی,Minor
دھوبی لوگ,Unknown,دھوبی,Minor
بالا جی,Male,مہاتما/سوامی,Protagonist
راجہ دھرم سنگھ,Male,راجہ,Support
رانی دھرم سنگھ,Female,رانی,Support
بھیا,Male,مقرر/ساتھی,Support
دارانگر کی رانی صاحبہ,Female,رانی,Support
راجہ نولکھا,Male,راجہ,Minor
مہارانی نولکھا,Female,مہارانی,Minor
ٹھاکر صاحب,Male,ٹھاکر,Minor
پران ناتھ,Male,بابو,Support
سیوتی کا بچہ,Unknown,بچہ,Minor
اہیر لوگ,Unknown,برادری,Minor
ظالم خاں,Male,قاتل,Antagonist
تھانیدار صاحب,Male,تھانیدار,Antagonist
نمبردار,Male,نمبردار,Minor
مہاجن,Male,مہاجن,Minor
سیٹھ (باغیچہ),Male,سیٹھ,Minor
مالی,Male,مالی,Minor
سرجو دئی,Female,سرجودئی,Support
انگریز افسر,Male,افسر,Minor
کانسٹیبل,Male,کانسٹیبل,Minor
گارڈ,Male,گارڈ,Minor
سہانا,Female,عورت,Minor
پنڈت بدلو شاستری,Male,پنڈت,Minor
سیٹھ اتم چند,Male,سیٹھ,Minor
لالہ مکھن لال,Male,لالہ,Minor
پنڈے اور پراگوال,Unknown,پجاری طبقہ,Minor
