Character_A,Character_B,Weight,Pages
"آغا شیر علی","سیوتی",1,"39"
"آغا شیر علی","میری",1,"39"
"آغا شیر علی","نواب منے خاں",1,"39"
"آغا شیر علی","چندرا",1,"39"
"آغا شیر علی","کملا",1,"39"
"آغا شیر علی","کملا چرن",1,"39"
"امادنی","برج رانی",1,"24"
"امادنی","بھیا",1,"26"
"امادنی","جانکی کنور",1,"24"
"امادنی","رام دئی",1,"28"
"امادنی","رکمنی",2,"24 28"
"امادنی","سیتا",2,"24 28"
"امادنی","سیوتی",3,"24 26 28"
"امادنی","شیاما چرن",1,"24"
"امادنی","میری",2,"24 26"
"امادنی","ٹھاکر صاحب",1,"26"
"امادنی","پرتاپ چند",1,"24"
"امادنی","چندا کنور",2,"24 28"
"امادنی","چندرا",2,"26 28"
"امادنی","کملا",3,"24 26 28"
"انگریز افسر","مالی",1,"135"
"انگریز افسر","کانسٹیبل",1,"135"
"انگریز افسر","کملا",1,"135"
"انگریز افسر","گارڈ",1,"135"
"اہیر","اہیرن",1,"117"
"اہیر","بالا جی",2,"170 172"
"اہیر","برج رانی",4,"88 138 170 172"
"اہیر","تلسا",2,"88 117"
"اہیر","دارانگر کی رانی صاحبہ",1,"170"
"اہیر","راجہ نولکھا",1,"170"
"اہیر","رادھا",2,"88 117"
"اہیر","رانی",1,"170"
"اہیر","رکمنی",2,"170 172"
"اہیر","سیوتی",2,"170 172"
"اہیر","شیاما چرن",1,"138"
"اہیر","ظالم خاں",1,"138"
"اہیر","مادھوی",2,"88 172"
"اہیر","منشی جگدمبا پرشاد",1,"170"
"اہیر","منشی سالگرام",1,"170"
"اہیر","منشی سنجیون لال",1,"170"
"اہیر","ٹھاکر صاحب",1,"172"
"اہیر","پرتاپ چند",1,"88"
"اہیر","پریم وتی",1,"138"
"اہیر","چندرا",1,"138"
"اہیر","ڈاکٹر صاحب",1,"170"
"اہیر","کاشی بھر",1,"138"
"اہیر","گارڈ",1,"138"
"اہیرن","تلسا",1,"117"
"اہیرن","رادھا",1,"117"
"بالا جی","برج رانی",18,"157 162 167 168 169 170 172 178 179 182 191 193 194 196 198 199 205 206"
"بالا جی","دارانگر کی رانی صاحبہ",1,"170"
"بالا جی","راجہ دھرم سنگھ",3,"189 194 205"
"بالا جی","راجہ نولکھا",1,"170"
"بالا جی","رادھا",1,"193"
"بالا جی","رادھا چرن",1,"193"
"بالا جی","رانی",9,"162 167 168 169 170 178 196 205 206"
"بالا جی","رانی دھرم سنگھ",3,"169 205 206"
"بالا جی","رکمنی",4,"167 169 170 172"
"بالا جی","سباما",10,"148 178 182 191 194 195 198 199 205 206"
"بالا جی","سہانا",3,"168 182 205"
"بالا جی","سیتا",2,"167 169"
"بالا جی","سیوتی",5,"169 170 172 191 205"
"بالا جی","سیٹھ (باغیچہ)",1,"200"
"بالا جی","سیٹھ اتم چند",1,"200"
"بالا جی","لالہ مکھن لال",1,"200"
"بالا جی","مادھوی",20,"162 168 172 178 179 182 183 184 185 186 191 193 194 196 198 199 205 206 207 208"
"بالا جی","منشی جگدمبا پرشاد",1,"170"
"بالا جی","منشی سالگرام",1,"170"
"بالا جی","منشی سنجیون لال",2,"157 170"
"بالا جی","مہراج",1,"148"
"بالا جی","مہری",1,"193"
"بالا جی","میری",9,"147 148 150 185 186 196 198 199 206"
"بالا جی","ٹھاکر صاحب",1,"172"
"بالا جی","پران ناتھ",1,"191"
"بالا جی","پرتاپ چند",9,"147 148 150 157 163 178 179 198 199"
"بالا جی","پنڈت بدلو شاستری",2,"200 201"
"بالا جی","پنڈے اور پراگوال",3,"200 201 203"
"بالا جی","چندا کنور",1,"169"
"بالا جی","چندرا",5,"168 193 194 199 205"
"بالا جی","ڈاکٹر صاحب",1,"170"
"بالا جی","کملا",1,"178"
"برج رانی","بھیا",6,"6 83 98 126 136 161"
"برج رانی","تلسا",5,"69 88 103 122 127"
"برج رانی","تھانیدار صاحب",1,"137"
"برج رانی","جانکی کنور",1,"24"
"برج رانی","حمید خاں",3,"50 69 74"
"برج رانی","دارانگر کی رانی صاحبہ",1,"170"
"برج رانی","دھوبی لوگ",1,"104"
"برج رانی","دہلو رائے",1,"107"
"برج رانی","راجہ دھرم سنگھ",3,"161 194 205"
"برج رانی","راجہ نولکھا",1,"170"
"برج رانی","رادھا",10,"40 88 97 103 107 121 124 144 159 193"
"برج رانی","رادھا چرن",7,"40 97 121 124 144 159 193"
"برج رانی","رام دین پانڈے",1,"137"
"برج رانی","رام سیوک",2,"50 60"
"برج رانی","رانی",40,"1 5 7 22 31 35 36 47 49 57 63 66 68 70 79 81 82 83 95 96 97 121 133 137 144 152 160 162 167 168 169 170 173 175 178 181 187 196 205 206"
"برج رانی","رانی دھرم سنگھ",3,"169 205 206"
"برج رانی","ردھیا",5,"9 43 65 66 67"
"برج رانی","رکمنی",5,"24 167 169 170 172"
"برج رانی","سباما",38,"1 2 5 6 7 8 12 20 22 35 41 42 43 44 47 48 49 53 56 57 58 60 63 64 67 121 158 159 177 178 181 182 191 194 198 199 205 206"
"برج رانی","سرجو دئی",1,"133"
"برج رانی","سعید",3,"50 60 69"
"برج رانی","سوشیلا",20,"1 6 12 20 22 31 35 41 42 44 45 46 53 54 55 56 57 58 120 124"
"برج رانی","سہانا",5,"22 65 168 182 205"
"برج رانی","سیتا",3,"24 167 169"
