Character_A,Character_B,Weight,Pages
"آساجی چارن","او مادے دیوی",7,"24 25 26 27 28 29 43"
"آساجی چارن","ایشور داس چارن",5,"24 25 27 28 29"
"آساجی چارن","بھاریلی دیوی",1,"43"
"آساجی چارن","بھاگا سنتری",1,"43"
"آساجی چارن","بیرم جی میڑتے",2,"27 29"
"آساجی چارن","راؤ مالدیوجی",5,"24 27 28 29 43"
"آساجی چارن","شیر شاہ سوری",2,"28 29"
"آساجی چارن","مل او دے سنگھ",1,"43"
"آساجی چارن","چند رسین",2,"27 43"
"آساجی چارن","ہمایوں بادشاہ",2,"28 29"
"او مادے دیوی","اکبر رام",2,"7 12"
"او مادے دیوی","ایشور داس چارن",16,"20 21 22 23 24 25 27 28 29 31 33 34 35 36 38 39"
"او مادے دیوی","بھاریلی دیوی",14,"1 2 4 5 6 12 13 14 15 21 35 37 38 43"
"او مادے دیوی","بھاگا سنتری",3,"38 43 55"
"او مادے دیوی","بیرم جی میڑتے",3,"27 29 50"
"او مادے دیوی","جیت مالوت",2,"41 42"
"او مادے دیوی","خواص خان",2,"49 50"
"او مادے دیوی","دیوان اعظم",2,"6 21"
"او مادے دیوی","راؤ مالدیوجی",38,"1 2 3 4 5 6 7 8 9 10 12 14 15 16 18 20 21 22 23 24 27 28 29 31 34 35 36 37 38 39 42 43 49 51 53 54 55 56"
"او مادے دیوی","رانی اندر",1,"9"
"او مادے دیوی","رانی راج بھائی",1,"9"
"او مادے دیوی","رانی سروپ دئی",6,"7 8 9 22 42 54"
"او مادے دیوی","رانی لا پھل دئی",1,"7"
"او مادے دیوی","رانی لاچھو دئی",5,"9 10 53 55 56"
"او مادے دیوی","رانی لاڈا",1,"9"
"او مادے دیوی","رانی نورنگ دئی",1,"10"
"او مادے دیوی","رانی پارتی",1,"9"
"او مادے دیوی","رانی پرماجی",1,"6"
"او مادے دیوی","رانی ہیر اوئی",1,"9"
"او مادے دیوی","راول جیسا میر",12,"2 3 4 5 6 13 14 15 16 23 31 33"
"او مادے دیوی","راگھو جی جوتشی",5,"4 5 6 13 14"
"او مادے دیوی","شیر شاہ سوری",7,"21 22 23 28 29 49 51"
"او مادے دیوی","مار رام",9,"7 12 14 21 41 42 53 54 55"
"او مادے دیوی","مل او دے سنگھ",3,"42 43 53"
"او مادے دیوی","وزیر اعظم",1,"6"
"او مادے دیوی","چند رسین",3,"27 43 55"
