Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"آساجی چارن","او مادے دیوی",20,"22 23 24 25 26 27 28 29 40 41 42 43","24:20 24:21 24:22 24:23 24:24 25:24 25:25 26:25 26:26 27:26 27:27 28:27 28:28 29:28 29:29 43:38 43:39 43:41 43:42 43:43"
"آساجی چارن","ایشور داس چارن",16,"22 23 24 25 26 27 28 29 40 41","24:20 24:21 24:22 24:23 24:24 25:24 25:25 26:25 26:27 27:27 28:27 28:28 29:28 29:29 43:38 43:39"
"آساجی چارن","بھاریلی دیوی",3,"22 40 43","24:21 43:38 43:43"
"آساجی چارن","بھاگا سنتری",2,"40 43","43:38 43:43"
"آساجی چارن","بیرم جی میڑتے",9,"25 26 27 28 29 41 45","24:27 25:27 26:27 27:27 28:27 28:29 29:29 43:40 43:48"
"آساجی چارن","جیت مالوت",2,"42","43:41 43:42"
"آساجی چارن","دیوان اعظم",1,"22","24:21"
"آساجی چارن","راؤ مالدیوجی",19,"21 22 23 24 26 27 28 29 40 41 42 43","24:19 24:20 24:21 24:22 24:23 24:24 25:24 25:27 26:27 27:27 28:27 28:28 29:28 29:29 43:38 43:39 43:40 43:42 43:43"
"آساجی چارن","رانی سروپ دئی",2,"23 42","24:22 43:42"
"آساجی چارن","راول جیسا میر",6,"23 28 29 30 44","24:23 26:31 27:31 28:31 29:31 43:45"
"آساجی چارن","شیر شاہ سوری",11,"22 23 26 27 28 29 41","24:21 24:22 24:23 24:28 25:28 26:28 27:28 28:28 29:28 29:29 43:40"
"آساجی چارن","مار رام",6,"22 29 30 42","24:21 27:32 28:32 29:32 43:41 43:42"
"آساجی چارن","مل او دے سنگھ",2,"42 43","43:42 43:43"
"آساجی چارن","چند رسین",6,"25 26 27 43","24:27 25:27 26:27 27:27 28:27 43:43"
"آساجی چارن","چندر رجوتی",1,"21","24:19"
"آساجی چارن","ہمایوں بادشاہ",10,"22 23 26 27 28 29","24:21 24:22 24:23 24:28 25:28 26:28 27:28 28:28 29:28 29:29"
"او مادے دیوی","اکبر رام",12,"4 5 6 7 10 11 12","2:7 3:7 4:7 5:7 6:7 7:7 8:7 8:12 9:12 10:12 12:12 13:12"
"او مادے دیوی","ایشور داس چارن",37,"17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40","15:20 16:20 18:20 20:20 21:20 21:21 22:21 22:22 23:22 23:23 24:23 24:24 25:24 25:25 26:25 26:27 27:27 28:27 28:28 29:28 29:29 31:29 31:31 33:31 33:33 34:33 34:34 35:34 35:35 36:35 36:36 37:36 37:38 38:38 39:38 39:39 41:39"
"او مادے دیوی","بھاریلی دیوی",42,"1 2 3 4 5 6 9 10 11 12 13 14 15 18 19 20 21 33 34 35 36 37 38 41 42 43","1:1 2:1 2:2 3:2 3:4 4:4 5:4 5:5 6:5 6:6 7:6 7:12 8:12 9:12 10:12 12:12 13:12 13:13 14:13 14:14 15:14 15:15 16:15 16:21 18:21 20:21 21:21 22:21 31:35 33:35 34:35 35:35 36:35 36:37 37:37 38:37 38:38 39:38 39:43 41:43 42:43 43:43"
"او مادے دیوی","بھاگا سنتری",17,"35 36 37 38 41 42 43 52 53 54 55","33:38 34:38 35:38 36:38 37:38 38:38 39:38 39:43 41:43 42:43 43:43 50:55 51:55 53:55 54:55 55:55 56:55"
"او مادے دیوی","بیرم جی میڑتے",24,"24 25 26 27 28 29 30 31 32 37 38 39 40 45 48 49 50","22:27 23:27 24:27 25:27 26:27 27:27 28:27 28:29 29:29 31:29 31:30 31:32 33:32 35:40 36:40 37:40 38:40 39:40 41:40 43:48 49:48 49:50 50:50 51:50"
"او مادے دیوی","جیت مالوت",8,"38 39 40 41 42","36:41 37:41 38:41 39:41 41:41 42:41 42:42 43:42"
"او مادے دیوی","خواص خان",4,"49 50","49:49 50:49 50:50 51:50"
"او مادے دیوی","دیوان اعظم",12,"3 4 5 6 18 19 20 21","1:6 2:6 3:6 4:6 5:6 6:6 7:6 16:21 18:21 20:21 21:21 22:21"
