Character_A,Character_B,Weight,Pages
"آتما رام","مہادیو سنا",7,"72 86 93 94 95 96 99"
"استغاثہ کا بیرسٹر","بھان کنور",1,"142"
"استغاثہ کا بیرسٹر","لال صاحب",1,"142"
"استغاثہ کا بیرسٹر","منشی جی",1,"142"
"امبا","راؤ کیوی چند",1,"35"
"امبا","راجکماری پر بھا",5,"31 33 35 36 39"
"امبا","راجہ ہری چند",3,"35 36 39"
"امبا","ہری",4,"31 33 35 39"
"اوجھا","بھان کنور",1,"141"
"اوجھا","سیٹھ جی",1,"141"
"اوجھا","لال صاحب",1,"141"
"اوجھا","منشی ست نرائن لال",1,"141"
"اوجھا","منشی چھکن لال",1,"141"
"اوجھا","مولوی صاحب",1,"141"
"بنگالی بابو","رانی برہل",1,"111"
"بنگالی بابو","شعلہ حسن",1,"116"
"بنگالی بابو","لالہ سائیں داس",6,"89 113 114 115 116 122"
"بنگالی بابو","کنور جگدیش سنگھ",1,"122"
"بنگالی بابو","کنور سجن سنگھ",1,"122"
"بھان کنور","سیٹھ جی",2,"132 141"
"بھان کنور","شعلہ حسن",1,"152"
"بھان کنور","لال صاحب",13,"126 128 129 130 132 140 141 142 144 149 152 153 160"
"بھان کنور","لالہ صاحب",1,"130"
"بھان کنور","ماں منشی ست نرائن لال",1,"140"
"بھان کنور","مخالف فریق کا وکیل",1,"143"
"بھان کنور","منشی جی",12,"127 128 129 130 140 142 144 149 152 155 157 160"
"بھان کنور","منشی ست نرائن لال",8,"126 129 140 141 144 152 153 160"
"بھان کنور","منشی چھکن لال",3,"130 132 141"
"بھان کنور","مولوی صاحب",1,"141"
"بھان کنور","پنڈت بھرو گودت مصر",1,"127"
"بھان کنور","پنڈت دیودت",3,"127 128 144"
"جج صاحب","لال صاحب",1,"145"
"جج صاحب","منشی جی",1,"145"
"جج صاحب","منشی ست نرائن لال",1,"145"
"درگا","زندہ جاوید شنکر",1,"62"
"درگا","شعلہ حسن",1,"61"
"درگا","پریم شنکر",2,"62 63"
"درگا","ڈاکٹر عرفان علی",5,"61 62 63 75 79"
"راؤ کیوی چند","راجکماری پر بھا",2,"35 37"
"راؤ کیوی چند","راجہ ہری چند",1,"35"
"راؤ کیوی چند","ہری",1,"35"
"راجکماری پر بھا","راجہ ہری چند",9,"22 23 24 25 34 35 36 38 39"
"راجکماری پر بھا","مہادیو سنا",1,"82"
"راجکماری پر بھا","پنڈت دیودت",1,"82"
"راجکماری پر بھا","ہری",9,"22 23 24 25 31 33 35 38 39"
"راجہ ہری چند","رانی برہل",1,"119"
"راجہ ہری چند","ساوتری",2,"134 138"
"راجہ ہری چند","شیو داس",1,"106"
"راجہ ہری چند","لال صاحب",1,"123"
"راجہ ہری چند","لالہ سائیں داس",2,"118 119"
"راجہ ہری چند","ماتا جی",2,"134 138"
"راجہ ہری چند","مسٹر جیکب",1,"106"
"راجہ ہری چند","مہا راجہ شبلو رام پور",1,"48"
"راجہ ہری چند","کنور جگدیش سنگھ",7,"48 106 118 119 123 134 138"
"راجہ ہری چند","کنور سجن سنگھ",5,"48 106 123 134 138"
"راجہ ہری چند","گومتی",1,"138"
"راجہ ہری چند","ہری",7,"22 23 24 25 35 38 39"
"رانی برہل","لالہ سائیں داس",4,"90 100 117 119"
