Character,Gender,TitleOrClass,Role
پاروشنی,Female,Basti Woman,Protagonist
ڈھرو,Male,Old Herdsman,Support
پکلی,Female,Potter Woman,Support
گیرو,Male,Young Man / Worker,Support
پنڈو,Male,Boy,Support
شکرا,Male,Boy,Support
پندرو,Male,Antelope (Non-human),Minor
ماتی,Female,Matriarch,Support
جھوریا,Male,Young Worker,Support
سلما,Unknown,Symbolic Plant,Minor
گاگری,Female,Bird-Catcher,Support
کو اسی,Female,Basti Woman,Support
چیوا,Male,Wise Man / Seer,Support
سمرو,Male,Carver / Craftsman,Narrator
ورچن,Male,Young Hunter / Traveller,Support
گھاگرا,Female,Ancestor Figure,Minor
موتی,Male,Baby/Infant (Non-central),Minor
ہنگا,Male,Boy (Deceased),Minor
ناند,Male,Baby (Deceased),Minor
بڑی میٹا,Female,Goddess / Sacred Figure,Minor
پورن,Male,Outsider Traveller,Support
ماسا,Male,Elder / Wanderer,Support
ڈور کا,Male,Worker / Companion,Support
ناگری,Female,Bird,Minor
وانگو,Male,Boy,Support
چیدا,Male,Boy,Support
یم کے کتے,Unknown,Mythic Creature,Minor
یم,Male,Mythic Deity,Minor
مہامیا,Female,Goddess,Minor
بھٹے کا مالک,Male,Landowner/Overseer,Minor
مینا,Female,Symbolic Name,Minor
مور,Unknown,Animal (Peacock),Minor
زیبو,Unknown,Animal (Bull),Minor
شوا,Male,Deity,Minor
لنگم,Unknown,Sacred Symbol,Minor
مالسا,Unknown,Wild Animal,Minor
بھکشو,Male,Ascetic / Symbolic Elder,Minor
چندرو,Male,Boy,Support
میاگری,Female,Elder Woman,Minor
مائی,Female,Elder Woman,Minor
کومی,Female,Basti Woman,Support
گجرو,Male,Young Man,Support
کولا,Male,Young Man,Support
گوگا,Male,Young Man,Support
بوٹی,Male,Basti Man (Distinctive),Support
کاری,Male,Basti Man,Support
جبو,Male,Boy / Helper,Support
چولی,Female,Basti Woman,Support
ہری,Male,Basti Man,Support
چمرو,Male,Basti Man,Support
گلامو,Male,Elder,Minor
سرسوتی,Female,Goddess,Minor
مندرا,Male,Boy / Helper,Support
چکلی,Female,Bird,Minor
ہمر و,Male,Basti Man,Support
میل,Male,Outsider Guard/Worker,Minor
