Character,Gender,TitleOrClass,Role
محمد علی ڈاکیا,Male,ڈاکیا (Postman),Protagonist
راوی (نامعلوم مرد),Male,جولاہا / راوی (Weaver-Narrator),Narrator
بے نام لڑکی (ندھی / نڈھی),Female,جواں لڑکی (Daughter),Protagonist
شکاری,Male,شکاری باپ (Father-Hunter),Antagonist
ماں (ندھی کی ماں),Female,ماں (Mother),Support
بنجر شخص,Male,شہری مرد (Barren Man),Support
منگیتر,Male,منگیتر (Fiancé Abroad),Minor
بادشاہی رمز والی شاعرہ (مردہ شاعرہ),Female,شاعرہ (Poet),Support
ماسٹر راتھر,Male,استاد / ماسٹر,Minor
پوسٹ ماسٹر (فنا و بقا کا پوسٹ ماسٹر),Male,پوسٹ ماسٹر (Metaphysical Clerk),Minor
بدخشانی گھوڑا,Unknown,گھوڑا (Animal),Minor
چمڑے کی بیلٹ,Unknown,چمڑے کی بیلٹ (Object),Narrator
شکاری کی بندوق (بیکال),Unknown,بندوق (Hunting Gun),Narrator
ماچس کی تیلی (بیان کرنے والی),Unknown,ماچس کی تیلی (Matchstick),Narrator
نورے ماچھی,Male,ماچھی (Fisherman),Minor
دینا تیلی,Male,تیلی (Oilman Caste),Minor
بھاتاں ماچن,Female,ماچن / تندور والی عورت,Minor
قوال (برنے کے پیڑ کے نیچے والی منڈلی),Male,قوال (Qawwal),Minor
شمس الدین,Male,محنت کش دوست (Migrant Worker),Support
سرگودھا والی دبلی لڑکی,Female,Hostel Girl,Minor
لیہ والی روم میٹ,Female,Hostel Girl,Minor
شمس الدین کی ماں,Female,دیہاتی ماں,Minor
پاکستانی عیسائی باباجی,Male,مزدور / بزرگ مسیحی,Minor
فرانسسکو,Male,اطالوی سیاح,Minor
امریکی سیاح (گٹار والا),Male,امریکی سیاح / موسیقار,Minor
امریکی لڑکی (زخمی چھاتیاں),Female,امریکی سیاح,Minor
جرمن سیاح (وہسکی والا),Male,جرمن سیاح,Minor
جرمن سیاح (مردہ),Male,جرمن سیاح,Minor
