Character,Gender,TitleOrClass,Role
راوی,Male,Student-Traveler,Protagonist
جیپسی,Female,Gypsy/Free-Spirit,Protagonist
جون چیپ مین,Female,Working-Class Woman,Support
اولڈ جیری,Male,Working-Class Elder,Support
فلپ,Male,Hairdresser,Support
ویلیری,Female,Hairdresser Assistant,Support
جین,Female,Hairdresser Assistant,Support
دیگری,Female,Hairdresser Assistant,Support
بوڑھا انگریز بچہ,Male,Child,Minor
موٹا ہیری,Male,Pube-Keeper/Working-Class,Support
وہسکی,Unknown,Pet Dog,Minor
بہت سے دیگر انگریز (one-time characters),Unknown,Various,Minor
ڈاکٹر پیٹر,Male,Doctor,Support
اگا تھا,Female,Swiss Woman,Support
روتھ,Female,Swiss Girl,Support
جنیوا اسٹیشن ٹکٹ چیکر,Male,Station Staff,Minor
دفتر والی ادھیڑ عمر خاتون,Female,Office Staff,Minor
ٹورسٹ آفس میڈموزیل,Female,Tourist Office Staff,Minor
روتھ کا جنیوا دوست,Male,Student,Minor
روتھ کی لینڈ لیڈی,Female,Landlady,Minor
کروگر,Male,Swiss Local,Minor
نک,Male,Traveller,Minor
نیل,Male,Traveller,Minor
سلمان (ڈچ دوست),Male,Dutch Tourist,Minor
سویان,Male,Dutch Tourist,Minor
ہالینڈ کی لڑکی (لوزان سٹور),Female,Shop Worker,Minor
پیٹ بون,Male,Singer (Reference),Minor
لارڈ بائرن,Male,Poet (Reference),Minor
شیاں کا قیدی,Male,Historical Figure,Minor
ارنست,Male,Truck Driver,Support
انٹر لاکن ویٹریس لڑکی,Female,Waitress,Minor
انٹر لاکن کیشیئر لڑکی,Female,Cashier,Minor
سینٹ مارلیس ویٹریس,Female,Waitress,Minor
ریستوران کا باورچی (انٹر لاکن),Male,Chef,Minor
رابرٹ ٹیلر,Male,Actor (Reference),Minor
پرنسپل جارج,Male,Principal,Support
مسز پرنسپل,Female,Household Elder,Minor
کیرل,Female,Schoolgirl,Support
آڈری,Female,Schoolgirl,Support
وانگ,Male,Student (Chinese),Minor
افریقی طالب علم,Male,Student,Minor
ہندوستانی طالب علم,Male,Student,Minor
سوڈانی طالب علم,Male,Student,Minor
دیگر پاکستانی طالب علم (کالج),Male,Students,Minor
اطالوی منگیتر,Male,Fiancé/Shareholder,Minor
نئی لینڈ لیڈی (ساؤتھ اینڈ),Female,Landlady,Support
والد صاحب,Male,Middle-Class Father,Support
ماں,Female,Household Mother,Support
بہن بھائی,Unknown,Siblings,Support
رشتے دار خاتون,Female,Relative,Minor
انیلا,Female,Child/Relative,Minor
چھوٹا بھائی,Male,Sibling,Support
جمال,Male,Friend-Officer,Support
سویڈش دوست,Male,Friend/Tourist,Minor
جیسی کا اطالوی شوہر,Male,Farmer/Settler (Africa),Minor
افریقی ملازمین (فارم),Unknown,Farm Workers,Minor
برن والا پاکستانی دوست,Male,Friend,Minor
ہوسٹل کا بوڑھا منیجر,Male,Hostel Manager,Minor
ہوسٹل کے بوڑھے مکین,Male,Elder Residents,Minor
ہوسٹل کی صفائی والی عورت,Female,Cleaner,Minor
جیسی کی فرم کا بوڑھا چوکیدار,Male,Watchman,Minor
جیسی کی فرم کی چوکیدار کی بیوی,Female,Watchman's Wife,Minor
جیسی کی فرم کی بیٹی,Female,Watchman's Daughter,Minor
سیمون,Female,Younger Sister,Support
رخسانہ,Female,Cat (Pet),Minor
نوجوان نرس (رخسانہ),Female,Nurse,Minor
جیپسی کا بھائی,Male,Cottage Owner,Minor
ایرانی وزیر اعظم,Male,VIP (Reference),Minor
مشرق وسطیٰ کا شہزادہ,Male,Prince/Elite,Minor
چچی (ساڑھی باندھنے والی),Female,Relative,Minor
جانی,Male,Business Partner,Minor
جیپسی کے والد,Male,Businessman/Partner,Minor
