Character_A,Character_B,Weight,Pages
"آڈری","بہن بھائی",1,"181"
"آڈری","جیپسی",2,"184 199"
"آڈری","راوی",6,"181 182 183 184 198 199"
"آڈری","ماں",1,"181"
"آڈری","پرنسپل جارج",4,"182 183 198 199"
"آڈری","کیرل",6,"181 182 183 184 198 199"
"اولڈ جیری","جون چیپ مین",3,"16 17 191"
"اولڈ جیری","جین",1,"18"
"اولڈ جیری","جیپسی",1,"191"
"اولڈ جیری","راوی",6,"1 14 16 17 18 191"
"اگا تھا","راوی",5,"46 47 48 49 52"
"اگا تھا","روتھ",1,"52"
"بہن بھائی","جیپسی",2,"224 225"
"بہن بھائی","راوی",6,"159 181 187 215 224 225"
"بہن بھائی","سیمون",1,"224"
"بہن بھائی","ماں",3,"159 181 215"
"بہن بھائی","کیرل",1,"181"
"جمال","راوی",3,"188 189 190"
"جمال","ماں",1,"188"
"جمال","والد صاحب",1,"190"
"جون چیپ مین","جیپسی",2,"191 195"
"جون چیپ مین","راوی",7,"4 15 16 17 191 193 195"
"جون چیپ مین","نئی لینڈ لیڈی (ساؤتھ اینڈ)",1,"195"
"جین","دیگری",2,"33 37"
"جین","راوی",19,"18 20 21 22 23 24 25 26 27 28 29 31 33 35 37 38 39 86 146"
"جین","فلپ",14,"20 21 22 23 24 25 26 27 31 33 35 37 38 39"
"جین","ویلیری",3,"20 23 27"
"جیپسی","راوی",65,"19 141 142 143 147 148 149 151 152 153 154 155 156 157 158 161 162 164 165 167 170 171 172 173 175 176 177 184 186 191 192 195 196 199 200 201 202 205 206 208 209 210 211 212 213 214 216 218 219 220 222 223 224 225 226 227 228 230 231 232 233 234 235 236 237"
"جیپسی","سیمون",1,"224"
"جیپسی","ماں",3,"167 177 209"
"جیپسی","نئی لینڈ لیڈی (ساؤتھ اینڈ)",1,"195"
"جیپسی","والد صاحب",1,"186"
"جیپسی","پرنسپل جارج",2,"196 199"
"جیپسی","کیرل",3,"184 199 206"
"دیگری","راوی",3,"12 33 37"
"دیگری","فلپ",3,"12 33 37"
"راوی","روتھ",23,"52 60 61 62 63 64 65 66 68 69 70 72 73 74 75 78 79 80 91 93 95 96 97"
"راوی","سیمون",2,"203 224"
"راوی","فلپ",18,"12 20 21 22 23 24 25 26 27 31 32 33 34 35 36 37 38 39"
"راوی","ماں",8,"72 159 167 177 181 188 209 215"
"راوی","نئی لینڈ لیڈی (ساؤتھ اینڈ)",1,"195"
"راوی","والد صاحب",4,"77 103 186 190"
"راوی","ویلیری",4,"20 23 27 34"
"راوی","پرنسپل جارج",6,"182 183 196 197 198 199"
"راوی","ڈاکٹر پیٹر",13,"41 42 43 44 58 59 61 69 70 72 79 91 194"
"راوی","کیرل",7,"181 182 183 184 198 199 206"
"روتھ","ماں",1,"72"
"روتھ","ڈاکٹر پیٹر",6,"61 69 70 72 79 91"
"فلپ","ویلیری",4,"20 23 27 34"
"ماں","ڈاکٹر پیٹر",1,"72"
"ماں","کیرل",1,"181"
"پرنسپل جارج","کیرل",4,"182 183 198 199"
