Character_A,Character_B,Weight,Pages
"امام بخش","امیر بخش",1,"26"
"امام بخش","بخت جہان",5,"24 25 28 29 53"
"امام بخش","بہشت بی بی",2,"25 51"
"امام بخش","حافظ جی",1,"32"
"امام بخش","حیات بی بی",4,"25 29 51 53"
"امام بخش","روشن بخش",3,"25 29 32"
"امام بخش","شیداں پاؤنڈوں والی",3,"24 51 53"
"امام بخش","صغرا بی بی",8,"24 25 26 28 29 32 51 53"
"امام بخش","محمد جہان نمبردار",2,"25 26"
"امام بخش","نور بیگم",1,"29"
"امیر بخش","بخت جہان",6,"4 15 16 46 50 69"
"امیر بخش","بھاگ بھری",1,"4"
"امیر بخش","بہشت بی بی",1,"23"
"امیر بخش","رابعہ بی بی",3,"81 84 86"
"امیر بخش","روشن بخش",3,"16 85 86"
"امیر بخش","زینب بیگم",3,"8 15 16"
"امیر بخش","شیداں پاؤنڈوں والی",1,"8"
"امیر بخش","صغرا بی بی",2,"23 26"
"امیر بخش","لبناں سنگھ",1,"46"
"امیر بخش","محمد جہان نمبردار",3,"15 26 46"
"امیر بخش","محکم دین",3,"81 84 86"
"امیر بخش","نور بیگم",3,"8 15 16"
"امیر بخش","چھیمو",1,"50"
"امیر بخش","کنیز فاطمہ",1,"69"
"اچو شیخ","بخت جہان",3,"9 39 93"
"اچو شیخ","بہشت بی بی",1,"93"
"اچو شیخ","زینب بیگم",1,"9"
"اچو شیخ","صاحباں",3,"21 38 39"
"اچو شیخ","محمد جہان نمبردار",1,"9"
"اچو شیخ","نور بیگم",1,"9"
"اچو شیخ","کنیز فاطمہ",2,"9 21"
"بخت جہان","بھاگ بھری",6,"3 4 60 61 74 78"
"بخت جہان","بہشت بی بی",7,"1 25 27 66 91 92 93"
"بخت جہان","جسونت سنگھ",2,"1 3"
"بخت جہان","حافظ جی",6,"7 60 70 74 75 76"
"بخت جہان","حیات بی بی",3,"25 29 53"
"بخت جہان","روشن بخش",8,"11 13 16 25 29 31 61 77"
"بخت جہان","زینب بیگم",5,"2 7 9 15 16"
"بخت جہان","سکھ دیپ سنگھ",1,"1"
"بخت جہان","شیداں پاؤنڈوں والی",2,"24 53"
"بخت جہان","صاحباں",8,"6 10 19 20 31 35 37 39"
"بخت جہان","صغرا بی بی",8,"10 24 25 27 28 29 53 91"
"بخت جہان","عزیز جہان",2,"27 56"
"بخت جہان","غلام محمد",3,"5 61 78"
"بخت جہان","لبناں سنگھ",7,"45 46 47 48 61 77 79"
"بخت جہان","محمد جہان نمبردار",21,"7 9 11 15 17 19 20 25 27 35 45 46 48 56 66 68 70 80 90 91 92"
"بخت جہان","نور بیگم",13,"2 5 9 13 14 15 16 17 18 19 27 29 49"
"بخت جہان","چھیمو",3,"50 52 60"
"بخت جہان","کنیز فاطمہ",25,"2 3 5 7 9 10 11 19 20 35 37 47 48 49 60 61 69 70 71 73 74 76 77 78 79"
"بخت جہان","گوبند سنگھ",5,"2 5 61 75 78"
"بھاگ بھری","جسونت سنگھ",1,"3"
"بھاگ بھری","حافظ جی",2,"60 74"
"بھاگ بھری","روشن بخش",1,"61"
"بھاگ بھری","غلام محمد",2,"61 78"
"بھاگ بھری","لبناں سنگھ",1,"61"
"بھاگ بھری","چھیمو",1,"60"
"بھاگ بھری","کنیز فاطمہ",5,"3 60 61 74 78"
"بھاگ بھری","گوبند سنگھ",2,"61 78"
"بہشت بی بی","جسونت سنگھ",1,"1"
"بہشت بی بی","حافظ جی",1,"64"
"بہشت بی بی","حیات بی بی",2,"25 51"
"بہشت بی بی","روشن بخش",1,"25"
"بہشت بی بی","سکھ دیپ سنگھ",1,"1"
"بہشت بی بی","شیداں پاؤنڈوں والی",1,"51"
"بہشت بی بی","صغرا بی بی",6,"23 25 27 40 51 91"
"بہشت بی بی","عزیز جہان",1,"27"
"بہشت بی بی","محمد جہان نمبردار",7,"25 27 40 64 66 91 92"
"بہشت بی بی","نور بیگم",2,"27 40"
"بہشت بی بی","کنیز فاطمہ",1,"64"
"جسونت سنگھ","سکھ دیپ سنگھ",1,"1"
"جسونت سنگھ","کنیز فاطمہ",1,"3"
"حافظ جی","روشن بخش",2,"32 34"
"حافظ جی","زینب بیگم",1,"7"
"حافظ جی","صاحباں",3,"12 33 34"
"حافظ جی","صغرا بی بی",3,"30 32 54"
"حافظ جی","محمد جہان نمبردار",5,"7 30 64 65 70"
"حافظ جی","نور بیگم",1,"30"
"حافظ جی","پیر بخش",1,"12"
"حافظ جی","چھیمو",1,"60"
"حافظ جی","کنیز فاطمہ",8,"7 12 33 60 64 70 74 76"
"حافظ جی","گوبند سنگھ",1,"75"
"حیات بی بی","روشن بخش",2,"25 29"
"حیات بی بی","شیداں پاؤنڈوں والی",2,"51 53"
"حیات بی بی","صغرا بی بی",4,"25 29 51 53"
"حیات بی بی","محمد جہان نمبردار",1,"25"
"حیات بی بی","نور بیگم",1,"29"
"رابعہ بی بی","روشن بخش",2,"86 96"
"رابعہ بی بی","محکم دین",4,"81 84 86 96"
"روشن بخش","زینب بیگم",1,"16"
"روشن بخش","صاحباں",2,"31 34"
"روشن بخش","صغرا بی بی",3,"25 29 32"
"روشن بخش","غلام محمد",1,"61"
"روشن بخش","لبناں سنگھ",2,"61 77"
