Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"امام بخش","امیر بخش",9,"19 20 23 25 26 27 48 50","24:15 24:16 24:23 24:26 25:26 26:26 28:26 51:46 51:50"
"امام بخش","اچو شیخ",4,"22 33 35","24:21 28:38 29:38 32:38"
"امام بخش","بخت جہان",30,"19 20 21 22 24 25 26 27 28 29 30 31 33 46 47 48 49 50 51 52 53","24:14 24:15 24:16 24:17 24:18 24:19 24:20 24:24 25:24 25:25 26:25 26:27 28:27 28:28 29:28 29:29 32:29 32:31 32:35 51:42 51:44 51:45 51:46 51:47 51:48 51:49 51:50 51:52 53:52 53:53"
"امام بخش","بھاگ بھری",2,"55 56","51:60 53:60"
"امام بخش","بہشت بی بی",9,"23 24 25 26 27 36 51 52","24:23 24:25 25:25 26:25 26:27 28:27 32:40 51:51 53:51"
"امام بخش","حافظ جی",9,"27 28 29 31 32 52 53","24:30 25:30 26:30 28:30 29:30 32:30 32:32 51:54 53:54"
"امام بخش","حیات بی بی",10,"24 25 27 28 29 30 51 52 53","24:25 25:25 26:25 26:29 28:29 29:29 32:29 51:51 53:51 53:53"
"امام بخش","روشن بخش",12,"20 24 25 27 28 29 30 31 32 56 57","24:16 24:25 25:25 26:25 26:29 28:29 29:29 32:29 32:31 32:32 51:61 53:61"
"امام بخش","زینب بیگم",2,"19 20","24:15 24:16"
"امام بخش","شیداں پاؤنڈوں والی",5,"24 51 52 53","24:24 25:24 51:51 53:51 53:53"
"امام بخش","صاحباں",10,"21 22 27 28 29 30 31 32","24:19 24:20 24:21 24:31 25:31 26:31 28:31 29:31 32:31 32:33"
"امام بخش","صغرا بی بی",18,"23 24 25 26 27 28 29 30 31 32 51 52 53","24:22 24:23 24:24 25:24 25:25 26:25 26:26 28:26 28:27 28:28 29:28 29:29 32:29 32:30 32:32 51:51 53:51 53:53"
"امام بخش","عزیز جہان",6,"25 26 27 53 54","24:27 25:27 26:27 28:27 51:56 53:56"
"امام بخش","غلام محمد",2,"56 57","51:61 53:61"
"امام بخش","لبناں سنگھ",6,"48 49 56 57","51:45 51:46 51:47 51:48 51:61 53:61"
"امام بخش","محمد جہان نمبردار",19,"19 20 21 22 24 25 26 27 29 31 33 48 49 53 54","24:15 24:17 24:19 24:20 24:25 25:25 26:25 26:26 28:26 28:27 28:30 29:30 32:30 32:35 51:45 51:46 51:48 51:56 53:56"
"امام بخش","نور بیگم",16,"19 20 21 25 26 27 28 29 30 31 36 50","24:14 24:15 24:16 24:17 24:18 24:19 24:27 25:27 26:27 28:27 28:29 29:29 32:29 32:30 32:40 51:49"
"امام بخش","چھیمو",4,"50 51 52 56","51:50 51:52 53:52 53:60"
"امام بخش","کنیز فاطمہ",14,"21 22 28 29 30 31 32 49 50 55 56","24:19 24:20 24:21 24:33 25:33 26:33 28:33 29:33 32:33 51:47 51:48 51:49 51:60 53:60"
"امام بخش","گوبند سنگھ",2,"56 57","51:61 53:61"
"امیر بخش","اچو شیخ",14,"6 8 12 18 22 42 88 89 90 94","4:9 8:9 15:9 15:21 16:21 23:21 46:38 46:39 83:93 84:93 85:93 86:93 87:93 95:93"
"امیر بخش","بخت جہان",65,"2 3 4 6 7 8 12 13 14 15 16 19 20 21 23 25 26 41 42 44 45 46 48 49 50 64 65 67 68 69 76 77 78 79 80 85 86 87 88 92 93 94","4:1 4:2 4:3 4:4 8:4 8:5 8:6 8:7 8:9 15:9 15:10 15:11 15:13 15:14 15:15 16:15 16:16 23:16 23:17 23:18 23:19 23:20 23:24 26:24 26:25 26:27 46:37 46:39 46:42 46:44 46:45 46:46 50:46 50:47 50:48 50:49 50:50 69:60 69:61 69:62 69:66 69:68 69:69 81:71 81:72 81:73 81:74 81:75 81:76 81:77 81:78 81:79 81:80 81:90 82:90 83:90 84:90 85:90 86:90 87:90 95:90 95:91 95:92 95:93 95:94"
