Character,Gender,TitleOrClass,Role
تیمور,Male,Sahib,Protagonist
مورت خان,Female,Begum,Protagonist
بابا,Male,Naukar,Support
کریم,Male,Naukar,Support
مریم,Female,Naukar,Minor
ڈاگ (کتے کا کردار),Unknown,Animal,Minor
جیلانی صاحب,Male,Sahib,Minor
اکبر صاحب,Male,Sahib,Minor
اظہر صاحب (تعزیتی مہمان),Male,Sahib,Minor
صورت خان,Female,Begum,Support
شخص (نامعلوم مہمان/افسر),Unknown,Guest,Minor
رکشہ والا,Male,Laborer,Minor
منیجر,Male,Office Manager,Support
عمران (انشورنس دفتر),Male,Clerk,Support
زبیر,Male,Clerk,Minor
چپراسی,Male,Naukar,Minor
دکاندار,Male,Shopkeeper,Minor
بچی (کھڑکی پر),Female,Child,Minor
کمال الدین ساتی,Male,Sahib,Minor
آغا داؤد,Male,Sahib,Support
نسرین حیات,Female,Begum,Support
میاں ریاض,Male,Sahib,Support
قاضی (پی اے تیمور),Male,Clerk,Support
نایاب صاحب,Male,Sahib,Minor
اسد,Male,Business Associate,Minor
جرمن وفد کا سربراہ,Unknown,Foreign Official,Minor
جاپانی وفد,Unknown,Group,Minor
اشفاق,Male,Naukar,Support
کیٹی قاسم,Female,Student,Protagonist
مراد بابا,Male,Watchman,Support
قاسم,Male,Rich Father,Support
صالح,Male,Shepherd,Support
خانم,Female,Nomad Woman,Support
ثریا,Female,Nomad Girl,Support
خان زمان,Male,Nomad Elder,Support
گل شیر,Male,Village Elder,Support
پیر خان,Male,Peer/Faqeer,Support
جیپ ڈرائیور (صحرا),Male,Driver,Minor
حسن بانو,Female,Village Girl,Protagonist
جہان شیر,Male,Father,Support
حسن بانو کا باپ,Male,Father,Support
حسن بانو کے بھائی,Male,Sibling,Minor
صابر,Male,Student,Protagonist
غلام مصطفی,Male,Police Officer,Support
صابر کی ماں,Female,Housewife,Support
عائشہ,Female,Love Interest,Support
نرگس بیٹی,Female,Child,Minor
کمال (صابر کا دوست),Male,Friend,Support
میر صاحب,Male,Officer,Minor
نوجوان امیدوار,Male,Job Seeker,Minor
کافی بار کا ویٹر,Male,Service Worker,Minor
کافی بار کا مالک,Male,Shopkeeper,Minor
اظہر (صابر کا پرانا دوست),Male,Friend,Support
شیخ فضل محمد,Male,Landlord,Minor
شیخ فضل محمد کا بیٹا,Male,Landlord Heir,Minor
سگریٹ فروش,Male,Vendor,Minor
روشن دین,Male,Laborer,Protagonist
مراد (روشن کا بیٹا),Male,Son,Support
فاطمہ (پڑوسن),Female,Neighbour,Support
شریف,Male,Neighbour,Support
چاچا حلوائی,Male,Shopkeeper,Support
را بیاں,Female,Village Woman,Support
ملک جی,Male,Village Elder,Minor
ڈاکیہ,Male,Postman,Minor
ثروت,Female,Housewife,Support
نوکر (مراد کے گھر),Male,Naukar,Minor
پرنسپل صاحبہ,Female,Principal,Minor
بیگم آفتاب,Female,Begum,Minor
فضل خان,Male,Lower Middle Class,Support
مریم فضل خان,Female,Housewife,Protagonist
عارف,Male,Student,Protagonist
آنٹی (جلال کی),Female,Aunt,Support
جلال,Male,Child,Support
انور,Male,Friend,Minor
شاہد (اکیڈمی دوست),Male,Friend,Minor
آفتاب (اکیڈمی دوست),Male,Friend,Minor
فیض,Male,Laborer,Support
جنتے,Female,Housewife,Support
زبیدہ,Female,Village Girl,Protagonist
نذرا,Female,Village Girl,Support
مہربان,Male,Uncle,Support
چاچا شیرا,Male,Uncle,Minor
امام دین,Male,Religious Worker,Minor
مولوی صاحب (گاؤں),Male,Cleric,Minor
نمبر دار,Male,Village Head,Minor
ڈاکٹر کرملی,Male,Doctor,Minor
فرید,Male,Young Man,Protagonist
فرید کی ماں,Female,Mother,Support
فرید کا بھائی,Male,Brother,Support
خورشید,Female,Bhabi,Support
فرید کا باپ,Male,Father,Minor
حکیم احمد دین,Male,Hakeem,Minor
تحصیل ہسپتال کا ڈاکٹر,Male,Doctor,Minor
سویرا شہریار,Female,Young Woman,Protagonist
شہریار,Male,Feudal Landlord,Antagonist
سویرا کی ماں,Female,Housewife,Support
جمیلہ,Female,Relative,Support
کلثوم,Female,Relative,Support
طاہرہ,Female,Relative,Support
بلقیس,Female,Friend,Minor
بلقیس کی ماں,Female,Mother,Minor
ملازم (شہریار کی حویلی),Male,Naukar,Minor
ڈاکٹر ناصر,Male,Doctor,Support
سینئر ڈاکٹر (حادثہ),Male,Doctor,Minor
نرس (ہسپتال),Female,Nurse,Minor
