Character_A,Character_B,Weight,Pages
"آغا داؤد","بابا",1,"20"
"آغا داؤد","تیمور",3,"20 31 33"
"آغا داؤد","ثروت",1,"20"
"آغا داؤد","صورت خان",1,"20"
"آغا داؤد","عمران (انشورنس دفتر)",2,"20 31"
"آغا داؤد","کمال (صابر کا دوست)",1,"33"
"آنٹی (جلال کی)","تیمور",1,"136"
"آنٹی (جلال کی)","ثروت",2,"137 138"
"آنٹی (جلال کی)","جلال",4,"135 136 137 138"
"آنٹی (جلال کی)","روشن دین",1,"135"
"آنٹی (جلال کی)","صابر کی ماں",1,"136"
"آنٹی (جلال کی)","غلام مصطفی",2,"136 137"
"آنٹی (جلال کی)","فرید کی ماں",1,"136"
"آنٹی (جلال کی)","مراد (روشن کا بیٹا)",4,"135 136 137 138"
"اشفاق","بابا",2,"27 51"
"اشفاق","تیمور",1,"51"
"اشفاق","قاسم",2,"27 51"
"اشفاق","مراد (روشن کا بیٹا)",2,"27 51"
"اشفاق","مراد بابا",1,"51"
"اشفاق","کیٹی قاسم",2,"27 51"
"اظہر (صابر کا پرانا دوست)","بابا",1,"95"
"اظہر (صابر کا پرانا دوست)","تیمور",3,"8 13 94"
"اظہر (صابر کا پرانا دوست)","صابر",3,"94 95 96"
"اظہر (صابر کا پرانا دوست)","صورت خان",1,"13"
"اظہر (صابر کا پرانا دوست)","غلام مصطفی",1,"96"
"اظہر (صابر کا پرانا دوست)","مورت خان",1,"8"
"اظہر (صابر کا پرانا دوست)","کمال (صابر کا دوست)",3,"94 95 96"
"بابا","تیمور",15,"1 2 20 24 28 29 44 46 51 53 54 57 58 59 90"
"بابا","ثروت",1,"20"
"بابا","ثریا",3,"24 54 56"
"بابا","جہان شیر",2,"60 71"
"بابا","حسن بانو",4,"50 60 71 74"
"بابا","حسن بانو کے بھائی",1,"71"
"بابا","خان زمان",7,"24 44 54 56 57 58 59"
"بابا","خانم",3,"24 54 56"
"بابا","را بیاں",1,"122"
"بابا","روشن دین",2,"122 175"
"بابا","زبیدہ",1,"175"
"بابا","سویرا شہریار",1,"197"
"بابا","صابر",3,"89 90 95"
"بابا","صابر کی ماں",3,"56 71 197"
"بابا","صالح",4,"24 53 54 56"
"بابا","صورت خان",3,"20 26 197"
"بابا","عارف",1,"175"
"بابا","عمران (انشورنس دفتر)",1,"20"
"بابا","غلام مصطفی",4,"24 71 175 197"
"بابا","فرید",1,"197"
"بابا","فرید کی ماں",3,"56 71 197"
"بابا","فضل خان",1,"89"
"بابا","قاسم",8,"1 24 27 29 46 51 53 59"
"بابا","قاضی (پی اے تیمور)",4,"24 29 44 46"
"بابا","مراد (روشن کا بیٹا)",14,"24 26 27 28 29 44 51 53 54 56 57 58 59 122"
"بابا","مراد بابا",9,"24 26 28 29 44 51 54 57 59"
"بابا","مریم فضل خان",1,"175"
"بابا","پیر خان",1,"44"
"بابا","چاچا حلوائی",1,"122"
"بابا","کمال (صابر کا دوست)",2,"53 95"
"بابا","کیٹی قاسم",16,"24 26 27 28 29 44 46 50 51 53 54 56 57 58 59 74"
"بابا","گل شیر",6,"24 46 50 60 71 74"
"تیمور","ثروت",1,"20"
"تیمور","ثریا",2,"24 54"
"تیمور","جلال",1,"136"
"تیمور","جمیلہ",1,"181"
"تیمور","جنتے",2,"154 156"
"تیمور","حسن بانو",1,"75"
"تیمور","خان زمان",9,"24 41 42 43 44 54 57 58 59"
"تیمور","خانم",2,"24 54"
"تیمور","روشن دین",2,"116 156"
"تیمور","زبیدہ",2,"154 156"
"تیمور","سویرا شہریار",6,"181 183 189 190 199 206"
"تیمور","شہریار",2,"199 206"
"تیمور","صابر",5,"65 70 72 90 94"
"تیمور","صابر کی ماں",4,"62 136 156 194"
"تیمور","صالح",3,"24 53 54"
"تیمور","صورت خان",13,"3 5 6 11 13 17 20 21 34 35 37 181 190"
"تیمور","عائشہ",1,"70"
"تیمور","عمران (انشورنس دفتر)",5,"12 17 20 31 34"
"تیمور","غلام مصطفی",7,"24 62 65 136 154 156 199"
"تیمور","فرید",9,"181 183 189 190 193 194 199 206 209"
"تیمور","فرید کی ماں",7,"62 136 156 189 190 194 206"
"تیمور","فضل خان",2,"154 156"
"تیمور","فیض",1,"156"
"تیمور","قاسم",13,"1 6 16 24 29 32 40 41 46 47 51 53 59"
"تیمور","قاضی (پی اے تیمور)",11,"24 29 30 32 41 43 44 46 47 48 49"
"تیمور","مراد (روشن کا بیٹا)",14,"24 28 29 41 43 44 48 51 53 54 57 58 59 136"
"تیمور","مراد بابا",8,"24 28 29 44 51 54 57 59"
"تیمور","مریم فضل خان",2,"5 156"
"تیمور","منیجر",3,"12 17 18"
"تیمور","مورت خان",23,"3 4 5 6 7 8 9 10 11 14 15 16 17 18 22 23 34 35 36 37 38 39 209"
"تیمور","مہربان",1,"156"
"تیمور","میاں ریاض",2,"34 36"
"تیمور","نذرا",1,"156"
"تیمور","نرگس بیٹی",1,"62"
"تیمور","نسرین حیات",1,"38"
"تیمور","پیر خان",4,"44 47 48 49"
"تیمور","کریم",5,"4 5 6 14 16"
"تیمور","کمال (صابر کا دوست)",6,"19 33 53 70 72 94"
"تیمور","کیٹی قاسم",20,"24 28 29 32 40 41 42 43 44 46 47 49 51 53 54 57 58 59 75 76"
"تیمور","گل شیر",4,"24 46 49 75"
"ثروت","جلال",2,"137 138"
"ثروت","را بیاں",3,"123 124 139"
"ثروت","روشن دین",8,"123 124 125 126 127 128 129 139"
"ثروت","صورت خان",1,"20"
"ثروت","عمران (انشورنس دفتر)",1,"20"
"ثروت","غلام مصطفی",2,"137 139"
"ثروت","مراد (روشن کا بیٹا)",9,"123 124 125 126 127 129 137 138 139"
"ثروت","چاچا حلوائی",4,"123 124 127 139"
"ثریا","خان زمان",4,"24 54 55 56"
"ثریا","خانم",4,"24 54 55 56"
"ثریا","صابر",1,"63"
"ثریا","صابر کی ماں",2,"56 63"
"ثریا","صالح",4,"24 54 55 56"
"ثریا","صورت خان",1,"63"
"ثریا","عائشہ",1,"63"
"ثریا","غلام مصطفی",2,"24 63"
"ثریا","فرید کی ماں",2,"56 63"
"ثریا","قاسم",1,"24"
"ثریا","قاضی (پی اے تیمور)",1,"24"
"ثریا","مراد (روشن کا بیٹا)",4,"24 54 55 56"
"ثریا","مراد بابا",2,"24 54"
"ثریا","کیٹی قاسم",4,"24 54 55 56"
"ثریا","گل شیر",1,"24"
"جلال","روشن دین",2,"134 135"
"جلال","صابر کی ماں",1,"136"
"جلال","غلام مصطفی",2,"136 137"
"جلال","فرید کی ماں",1,"136"
"جلال","مراد (روشن کا بیٹا)",5,"134 135 136 137 138"
"جلال","چاچا حلوائی",1,"134"
"جمیلہ","سویرا شہریار",2,"181 198"
"جمیلہ","صورت خان",1,"181"
"جمیلہ","طاہرہ",1,"198"
"جمیلہ","غلام مصطفی",1,"198"
"جمیلہ","فرید",1,"181"
"جمیلہ","کلثوم",1,"198"
"جنتے","را بیاں",2,"112 131"
"جنتے","روشن دین",14,"112 131 147 149 150 152 153 156 158 160 162 177 178 179"
"جنتے","زبیدہ",16,"143 146 147 149 151 152 153 154 156 157 158 160 162 177 178 179"
"جنتے","صابر کی ماں",3,"150 156 178"
"جنتے","عارف",16,"143 146 147 148 149 150 151 152 153 157 158 160 162 177 178 179"
"جنتے","غلام مصطفی",8,"143 148 150 151 154 156 178 179"
"جنتے","فرید کی ماں",6,"150 151 152 156 160 178"
"جنتے","فضل خان",10,"147 150 153 154 156 158 162 177 178 179"
"جنتے","فیض",8,"147 153 156 158 162 177 178 179"
"جنتے","مراد (روشن کا بیٹا)",2,"112 131"
"جنتے","مریم فضل خان",17,"143 146 147 148 149 150 151 152 153 156 157 158 160 162 177 178 179"
"جنتے","مہربان",4,"149 156 157 179"
"جنتے","نذرا",3,"156 157 158"
"جنتے","چاچا حلوائی",1,"131"
"جہان شیر","حسن بانو",3,"60 71 73"
"جہان شیر","حسن بانو کا باپ",1,"73"
"جہان شیر","حسن بانو کے بھائی",1,"71"
"جہان شیر","صابر کی ماں",2,"71 73"
"جہان شیر","غلام مصطفی",2,"71 73"
"جہان شیر","فرید کی ماں",2,"71 73"
"جہان شیر","گل شیر",3,"60 71 73"
"حسن بانو","حسن بانو کا باپ",2,"25 73"
"حسن بانو","حسن بانو کے بھائی",2,"25 71"
"حسن بانو","صابر کی ماں",2,"71 73"
"حسن بانو","غلام مصطفی",3,"25 71 73"
"حسن بانو","فرید کی ماں",2,"71 73"
"حسن بانو","پیر خان",1,"25"
"حسن بانو","کیٹی قاسم",3,"50 74 75"
"حسن بانو","گل شیر",8,"25 50 52 60 71 73 74 75"
"حسن بانو کا باپ","حسن بانو کے بھائی",1,"25"
"حسن بانو کا باپ","صابر کی ماں",1,"73"
"حسن بانو کا باپ","غلام مصطفی",2,"25 73"
"حسن بانو کا باپ","فرید کی ماں",1,"73"
"حسن بانو کا باپ","پیر خان",1,"25"
"حسن بانو کا باپ","گل شیر",2,"25 73"
"حسن بانو کے بھائی","صابر کی ماں",1,"71"
"حسن بانو کے بھائی","غلام مصطفی",2,"25 71"
"حسن بانو کے بھائی","فرید کی ماں",1,"71"
"حسن بانو کے بھائی","پیر خان",1,"25"
"حسن بانو کے بھائی","گل شیر",2,"25 71"
"خان زمان","خانم",4,"24 54 55 56"
"خان زمان","صابر کی ماں",1,"56"
"خان زمان","صالح",4,"24 54 55 56"
"خان زمان","غلام مصطفی",1,"24"
"خان زمان","فرید کی ماں",1,"56"
"خان زمان","قاسم",4,"24 41 45 59"
"خان زمان","قاضی (پی اے تیمور)",4,"24 41 43 44"
"خان زمان","مراد (روشن کا بیٹا)",10,"24 41 43 44 54 55 56 57 58 59"
"خان زمان","مراد بابا",5,"24 44 54 57 59"
"خان زمان","پیر خان",1,"44"
"خان زمان","کیٹی قاسم",12,"24 41 42 43 44 45 54 55 56 57 58 59"
"خان زمان","گل شیر",2,"24 45"
"خانم","صابر کی ماں",1,"56"
"خانم","صالح",4,"24 54 55 56"
"خانم","غلام مصطفی",1,"24"
"خانم","فرید کی ماں",1,"56"
"خانم","قاسم",1,"24"
"خانم","قاضی (پی اے تیمور)",1,"24"
