Character,Gender,TitleOrClass,Role
ہاشم میر,Male,Sahib,Protagonist
مرتضیٰ بیگ,Male,Sahib,Protagonist
گل شیر ولی,Male,Pakhtun,Support
عبدالوہاب ال غاندی,Male,Arab Fighter,Support
اللہ بخش,Male,Commoner,Support
ابو طالب چی چی,Male,Chechen Fighter,Support
عبدالحمید جان واکر سلمان الفارسی,Male,American Convert,Protagonist
کرنل ارتضی بیگ,Male,Military Officer,Minor
گلو خان,Male,Barber,Minor
نفیسہ خاتون,Female,Household Elder,Minor
ہاشم کے والد,Male,Father,Minor
ہاشم کی والدہ,Female,Mother,Minor
ہاشم کی بہن,Female,Family Member,Minor
ال منصور,Male,Militant Commander,Minor
بریڈ فورڈ مسجد کے مولوی صاحب,Male,Moulvi,Minor
افغانی مجاہد مقرر,Male,Preacher,Minor
چوہدری قائم دین,Male,Chaudhry,Minor
بونا,Male,Unknown,Minor
مدرسے کے بڑے مولوی صاحب,Male,Moulvi,Minor
مولوی صوفی,Male,Moulvi,Minor
گل شیر کے والد,Male,Father,Minor
جانی کے والد,Male,Father,Minor
فرمان اللہ,Male,Child,Minor
راہول,Male,Unknown,Minor
مایا,Female,Unknown,Minor
کفتھ کا,Male,Unknown,Minor
چوہدری ثناء اللہ,Male,Chaudhry,Minor
زینب,Female,Unknown,Minor
جینیفر,Female,Unknown,Minor
امام شامل,Male,Historical Figure,Minor
رشید دوستم,Male,General,Antagonist
بلخ کا آتش پرست بوڑھا,Male,Religious Ascetic,Minor
ریڈ کراس کے کارکن,Unknown,Relief Worker,Minor
