Character_A,Character_B,Weight,Pages
"ابو طالب چی چی","اللہ بخش",18,"10 17 18 24 25 29 88 93 144 149 152 162 165 174 179 183 190 200"
"ابو طالب چی چی","عبدالحمید جان واکر سلمان الفارسی",17,"17 22 25 29 37 73 88 93 94 144 147 148 150 173 196 200 209"
"ابو طالب چی چی","عبدالوہاب ال غاندی",10,"64 66 88 165 173 174 179 187 190 196"
"ابو طالب چی چی","مرتضیٰ بیگ",22,"10 14 17 24 25 29 66 67 73 88 93 94 144 145 148 150 162 173 196 199 205 209"
"ابو طالب چی چی","مولوی صوفی",1,"124"
"ابو طالب چی چی","نفیسہ خاتون",5,"62 75 77 94 152"
"ابو طالب چی چی","گل شیر ولی",15,"10 17 22 37 66 73 93 145 160 187 193 196 199 205 209"
"ابو طالب چی چی","ہاشم میر",17,"10 17 22 23 29 66 67 73 88 144 165 174 183 196 199 205 209"
"ابو طالب چی چی","ہاشم کی والدہ",2,"67 93"
"ال منصور","عبدالحمید جان واکر سلمان الفارسی",1,"85"
"ال منصور","ہاشم میر",3,"82 83 85"
"ال منصور","ہاشم کے والد",1,"82"
"اللہ بخش","عبدالحمید جان واکر سلمان الفارسی",24,"12 17 20 25 29 32 51 65 70 86 87 88 89 90 92 93 100 111 144 146 161 170 182 200"
"اللہ بخش","عبدالوہاب ال غاندی",13,"15 65 88 165 174 175 178 179 182 184 185 190 208"
"اللہ بخش","مدرسے کے بڑے مولوی صاحب",1,"114"
"اللہ بخش","مرتضیٰ بیگ",22,"5 10 11 15 17 24 25 29 32 51 65 70 86 87 88 90 93 144 146 161 162 182"
"اللہ بخش","نفیسہ خاتون",1,"152"
"اللہ بخش","گل شیر ولی",11,"10 17 35 70 90 93 170 175 182 184 195"
"اللہ بخش","ہاشم میر",18,"10 12 17 29 32 35 70 88 90 100 111 144 161 165 174 175 182 183"
"اللہ بخش","ہاشم کی والدہ",2,"93 111"
"اللہ بخش","ہاشم کے والد",1,"100"
"جانی کے والد","عبدالحمید جان واکر سلمان الفارسی",5,"106 107 108 110 112"
"رشید دوستم","ہاشم میر",1,"194"
"عبدالحمید جان واکر سلمان الفارسی","عبدالوہاب ال غاندی",7,"16 65 68 88 173 182 196"
"عبدالحمید جان واکر سلمان الفارسی","مرتضیٰ بیگ",41,"17 25 27 28 29 30 32 33 34 36 51 65 68 70 73 86 87 88 90 91 93 94 95 134 142 143 144 146 148 150 161 171 173 182 188 189 196 197 198 204 209"
"عبدالحمید جان واکر سلمان الفارسی","نفیسہ خاتون",1,"94"
"عبدالحمید جان واکر سلمان الفارسی","گل شیر ولی",23,"2 13 17 21 22 36 37 38 68 70 73 90 93 135 170 182 188 189 191 196 198 204 209"
"عبدالحمید جان واکر سلمان الفارسی","ہاشم میر",31,"2 8 12 13 17 21 22 26 27 28 29 32 36 68 70 73 85 88 90 95 100 111 144 161 182 188 189 196 198 204 209"
"عبدالحمید جان واکر سلمان الفارسی","ہاشم کی والدہ",3,"93 111 143"
"عبدالحمید جان واکر سلمان الفارسی","ہاشم کے والد",2,"100 143"
"عبدالوہاب ال غاندی","مرتضیٰ بیگ",10,"15 65 66 68 69 88 167 173 182 196"
"عبدالوہاب ال غاندی","گل شیر ولی",8,"66 68 167 175 182 184 187 196"
"عبدالوہاب ال غاندی","ہاشم میر",9,"4 66 68 88 165 174 175 182 196"
"مرتضیٰ بیگ","نفیسہ خاتون",1,"94"
"مرتضیٰ بیگ","کرنل ارتضی بیگ",2,"41 45"
"مرتضیٰ بیگ","گل شیر ولی",22,"10 17 36 66 68 70 73 80 90 93 145 166 167 182 188 189 196 198 199 204 205 209"
"مرتضیٰ بیگ","گلو خان",3,"48 49 50"
"مرتضیٰ بیگ","ہاشم میر",29,"10 17 27 28 29 32 36 66 67 68 70 72 73 88 90 95 96 144 161 176 182 188 189 196 198 199 204 205 209"
"مرتضیٰ بیگ","ہاشم کی والدہ",3,"67 93 143"
"مرتضیٰ بیگ","ہاشم کے والد",1,"143"
"گل شیر ولی","گل شیر کے والد",2,"121 139"
"گل شیر ولی","ہاشم میر",23,"2 10 13 17 21 22 35 36 66 68 70 73 90 175 182 188 189 196 198 199 204 205 209"
"گل شیر ولی","ہاشم کی والدہ",1,"93"
"ہاشم میر","ہاشم کی والدہ",2,"67 111"
"ہاشم میر","ہاشم کے والد",2,"82 100"
"ہاشم کی بہن","ہاشم کی والدہ",2,"97 99"
"ہاشم کی بہن","ہاشم کے والد",1,"99"
"ہاشم کی والدہ","ہاشم کے والد",2,"99 143"
