Character_A,Character_B,Weight,Pages
"اجمل","فہیم",1,"346"
"اللہ لوک (پیر)","بابا (سلطانہ کے والد)",1,"251"
"اللہ لوک (پیر)","جلال",1,"254"
"اللہ لوک (پیر)","خاور",14,"67 136 144 187 237 238 239 240 251 253 254 256 271 288"
"اللہ لوک (پیر)","خاور کے والد",1,"240"
"اللہ لوک (پیر)","داؤد",1,"315"
"اللہ لوک (پیر)","سرور",3,"144 166 211"
"اللہ لوک (پیر)","شاہ صاحب",1,"251"
"اللہ لوک (پیر)","طاہرہ",1,"67"
"اللہ لوک (پیر)","عابدہ سومرو",1,"265"
"اللہ لوک (پیر)","عباس برمانی",1,"211"
"اللہ لوک (پیر)","فہیم",5,"41 144 166 187 211"
"اللہ لوک (پیر)","ماسٹر رحمت علی",3,"240 251 254"
"اللہ لوک (پیر)","ماماں جعفر",4,"41 166 187 211"
"اللہ لوک (پیر)","پو آجی",8,"237 238 239 240 251 253 254 256"
"اللہ لوک (پیر)","ڈاکٹر سلطانہ شاہ",1,"315"
"اللہ لوک (پیر)","ڈاکٹر ہاشم",1,"288"
"اول نمبر چاچی","خاور",5,"224 225 228 229 234"
"اول نمبر چاچی","خاور کے والد",2,"228 229"
"اول نمبر چاچی","سرور",1,"225"
"اول نمبر چاچی","شاہ صاحب",1,"228"
"اول نمبر چاچی","ماسٹر رحمت علی",6,"224 225 227 228 229 234"
"اول نمبر چاچی","پو آجی",2,"224 227"
"اول نمبر چاچی","چاچی نمبر دو",1,"224"
"ایرانی ٹیکسی ڈرائیور","خاور",2,"287 334"
"ایرانی ٹیکسی ڈرائیور","سرور",1,"334"
"ایرانی ٹیکسی ڈرائیور","فہیم",1,"334"
"ایرانی ٹیکسی ڈرائیور","ماماں جعفر",1,"334"
"ایرانی ٹیکسی ڈرائیور","ڈاکٹر سلطانہ شاہ",1,"287"
"ایرانی ٹیکسی ڈرائیور","ڈاکٹر ہاشم",1,"334"
"بابا (سلطانہ کے والد)","بابا طفیل بخش",4,"301 302 316 317"
"بابا (سلطانہ کے والد)","بڑے سومرو سائیں",2,"164 172"
"بابا (سلطانہ کے والد)","خاور",11,"163 164 170 172 191 204 251 280 291 316 317"
"بابا (سلطانہ کے والد)","خدا بخش",7,"162 163 164 170 172 191 204"
"بابا (سلطانہ کے والد)","داؤد",2,"316 317"
"بابا (سلطانہ کے والد)","شاہ صاحب",1,"251"
"بابا (سلطانہ کے والد)","شاہانہ",3,"270 272 280"
"بابا (سلطانہ کے والد)","شہلا آفریدی",1,"191"
"بابا (سلطانہ کے والد)","ظفر",3,"270 272 280"
"بابا (سلطانہ کے والد)","عابدہ سومرو",3,"172 191 204"
"بابا (سلطانہ کے والد)","عابدہ سومرو کی بیٹی",1,"204"
"بابا (سلطانہ کے والد)","قادر",1,"215"
"بابا (سلطانہ کے والد)","ماسٹر رحمت علی",1,"251"
"بابا (سلطانہ کے والد)","ماموں فقیر اللہ",2,"270 272"
"بابا (سلطانہ کے والد)","پو آجی",1,"251"
"بابا (سلطانہ کے والد)","پکھی",1,"163"
"بابا (سلطانہ کے والد)","ڈاکٹر سلطانہ شاہ",2,"272 291"
"بابا طفیل بخش","خاور",2,"316 317"
"بابا طفیل بخش","داؤد",2,"316 317"
"بابا طفیل بخش","ڈاکٹر سلطانہ شاہ",1,"319"
"بشیر","جلال",1,"184"
"بشیر","خاور",6,"43 66 95 108 152 182"
"بشیر","شریفاں خاتون",2,"183 189"
"بشیر","طاہرہ",1,"66"
"بشیر","عابدہ سومرو",2,"183 189"
"بشیر","فہیم",1,"189"
"بشیر","ماماں جعفر",1,"189"
"بشیر","پاگل خانہ",2,"125 183"
"بشیر","ڈاکٹر طاہر",1,"66"
"بڑے سومرو سائیں","خاور",2,"164 172"
"بڑے سومرو سائیں","خدا بخش",2,"164 172"
"بڑے سومرو سائیں","عابدہ سومرو",1,"172"
"ثانیہ","جلال",1,"44"
"ثانیہ","خاور",1,"44"
"ثانیہ","عائشہ",1,"44"
"ثانیہ","عثمانیہ",1,"44"
"جلال","خاور",2,"44 254"
"جلال","عائشہ",1,"44"
"جلال","عثمانیہ",1,"44"
"جلال","ماسٹر رحمت علی",1,"254"
"جلال","پو آجی",1,"254"
"خاور","خاور کے والد",4,"228 229 240 255"
"خاور","خدا بخش",9,"163 164 168 170 172 186 191 193 204"
"خاور","داؤد",2,"316 317"
"خاور","سرور",40,"3 12 21 25 29 30 35 39 40 53 55 129 132 140 141 142 144 145 151 154 158 159 200 209 210 225 231 246 250 257 289 305 320 324 330 331 332 334 338 339"
"خاور","سکینہ بانو",2,"69 70"
"خاور","شاہ صاحب",2,"228 251"
"خاور","شاہانہ",3,"178 280 340"
"خاور","شہلا آفریدی",4,"191 193 309 326"
"خاور","طاہرہ",4,"66 67 69 70"
"خاور","ظفر",1,"280"
"خاور","عائشہ",1,"44"
"خاور","عابدہ سومرو",27,"126 150 160 167 172 174 179 186 191 193 194 203 204 214 218 261 264 274 276 277 278 290 308 309 326 332 341"
"خاور","عابدہ سومرو کی بیٹی",2,"179 204"
"خاور","عباس برمانی",8,"29 40 51 53 59 231 321 339"
"خاور","عثمانیہ",1,"44"
"خاور","عطا اللہ",2,"141 347"
"خاور","غلافی آنکھیں",6,"128 135 186 274 277 341"
"خاور","غلام محمد شمر",1,"200"
"خاور","فہیم",28,"13 30 51 53 55 141 142 144 158 187 199 200 210 231 246 249 250 305 320 324 330 331 334 335 338 339 347 348"
"خاور","قادر",3,"154 214 218"
"خاور","قیصر",1,"261"
"خاور","ماسٹر رحمت علی",10,"200 224 225 228 229 230 234 240 251 254"
"خاور","ماماں جعفر",37,"12 21 28 29 30 35 39 53 55 59 75 129 132 141 142 145 151 158 165 187 199 200 209 210 231 243 246 249 250 258 320 324 330 334 336 338 339"
"خاور","مامن ماسا",2,"75 339"
"خاور","مرزا صاحب",3,"109 114 168"
"خاور","نامعلوم عورت (خاور کی مداح)",1,"111"
"خاور","نجمہ گیلانی",2,"69 70"
"خاور","پاگل خانہ",2,"276 326"
"خاور","پو آجی",17,"221 224 230 232 235 236 237 238 239 240 251 253 254 255 256 257 258"
"خاور","پکھی",19,"12 28 29 75 90 129 142 154 158 163 210 231 252 258 306 324 330 335 339"
"خاور","چاچی نمبر دو",1,"224"
"خاور","ڈاکٹر سلطانہ شاہ",13,"250 264 274 287 290 291 304 305 306 311 314 332 348"
"خاور","ڈاکٹر طاہر",2,"66 70"
"خاور","ڈاکٹر ہاشم",5,"288 304 305 311 334"
"خاور","کواچی",1,"233"
"خاور کے والد","شاہ صاحب",2,"222 228"
"خاور کے والد","ماسٹر رحمت علی",4,"222 228 229 240"
"خاور کے والد","پو آجی",3,"222 240 255"
"خدا بخش","شہلا آفریدی",2,"191 193"
"خدا بخش","عابدہ سومرو",5,"172 186 191 193 204"
"خدا بخش","عابدہ سومرو کی بیٹی",1,"204"
"خدا بخش","غلافی آنکھیں",1,"186"
"خدا بخش","مرزا صاحب",1,"168"
"خدا بخش","پکھی",1,"163"
"داؤد","ڈاکٹر سلطانہ شاہ",2,"315 318"
"سرور","عابدہ سومرو",5,"161 177 192 329 332"
"سرور","عباس برمانی",12,"1 15 19 29 33 36 40 53 54 211 231 339"
"سرور","عطا اللہ",4,"141 156 157 220"
"سرور","غلافی آنکھیں",4,"71 130 157 177"
"سرور","غلام محمد شمر",2,"192 200"
"سرور","فہیم",34,"30 32 53 54 55 56 71 141 142 143 144 148 156 157 158 166 192 200 210 211 231 246 250 305 307 320 322 323 324 330 331 334 338 339"
"سرور","قادر",2,"15 154"
"سرور","ماسٹر رحمت علی",3,"192 200 225"
"سرور","ماماں جعفر",54,"12 21 22 24 26 27 29 30 32 33 35 38 39 53 54 55 56 58 73 129 130 132 141 142 143 145 151 153 156 157 158 166 177 200 208 209 210 211 212 220 231 242 246 250 307 320 323 324 329 330 334 337 338 339"
"سرور","مامن ماسا",1,"339"
"سرور","مرزا صاحب",1,"130"
"سرور","پاگل خانہ",1,"71"
"سرور","پو آجی",1,"257"
