Character,Gender,TitleOrClass,Role
خاور,Male,Intellectual/Media Professional,Protagonist
فہیم,Male,Schoolteacher/Boatman,Support
سرور,Male,Boatman (Mahan),Support
ماماں جعفر,Male,Boatman (Elder),Support
پکھی,Female,River Woman/Boat Crew,Support
عباس برمانی,Male,Folk Singer/Sufi,Support
ڈاکٹر طاہر,Male,Doctor,Support
انڈس کوئین,Unknown,Boat/Ship,Minor
سندھ سائیں,Male,River Deity,Minor
خواجہ خضر,Male,Mythic Saint,Minor
پاپا ہیمنگوے,Male,Writer/Father Figure,Minor
بشیر,Male,Domestic Servant,Support
ثانیہ,Female,Daughter,Minor
عائشہ,Female,Daughter,Minor
عثمانیہ,Female,Daughter,Minor
جلال,Male,Relative/Friend,Minor
مرزا صاحب,Male,Family Friend,Support
فرید,Male,Friend,Minor
مسز آفریدی,Female,Begum/Neighbour,Support
پاگل خانہ,Unknown,Institution,Minor
ساون,Unknown,Season/Time Symbol,Minor
طاہرہ,Female,Maid/Household Help,Support
سکینہ بانو,Female,Household Elder,Support
نجمہ گیلانی,Female,TV Producer/Colleague,Support
میڈیکل سپرنٹنڈنٹ,Male,Hospital Administrator,Minor
وارڈ بوائے,Male,Hospital Attendant,Minor
پریس فوٹو گرافر,Male,Press Photographer,Minor
سکندر اعظم,Male,Historical Conqueror,Minor
دلورائے,Female,Legendary Queen,Minor
مامن ماسا,Male,Maternal Uncle,Minor
باغوں بلا,Unknown,Symbolic Entity,Minor
سرسوتی,Female,Mythic Goddess,Minor
ام کلثوم,Female,Singer,Minor
مدھو بالا,Female,Film Actress,Minor
نامعلوم عورت (خاور کی مداح),Female,Fan Woman,Minor
عطا اللہ,Male,Hunter/Schoolteacher,Support
عابدہ سومرو,Female,Feudal Lady,Antagonist
غلافی آنکھیں,Female,Mysterious Woman/Lover,Support
خدا بخش,Male,Servant/Chauffeur,Support
بابا سائیں (عابدہ کے والد),Male,Feudal Elder,Minor
بڑے سومرو سائیں,Male,Feudal Lord,Minor
شہلا آفریدی,Female,Colleague,Minor
شریفاں خاتون,Female,Household Help,Minor
عابدہ سومرو کی بیٹی,Female,Child,Minor
ڈاکٹر اینڈریو کینیڈی,Male,Psychiatrist,Minor
سرمد منصور,Male,Media Personality,Minor
اڈولف ہٹلر,Male,Dictator,Minor
غلام محمد شمر,Male,Barber,Minor
ہیڈ ماسٹر,Male,School Headmaster,Minor
انسپکٹر صاحب,Male,Police Inspector,Minor
قادر,Male,Domestic Servant/Boy,Minor
ماسٹر رحمت علی,Male,Schoolteacher,Support
اول نمبر چاچی,Female,Paternal Aunt,Minor
چاچی نمبر دو,Female,Paternal Aunt,Minor
خاور کے والد,Male,Father,Support
شاہ صاحب,Male,Spiritual Guide,Support
پو آجی,Female,Paternal Aunt (Elder),Support
چتکبرا بولی,Unknown,Dog,Minor
اللہ لوک (پیر),Male,Saint/Pir,Minor
میاں محمد بخش,Male,Sufi Poet,Minor
حضرت عیسیٰ,Male,Religious Figure,Minor
کواچی,Male,Friend,Minor
ڈاکٹر سلطانہ شاہ,Female,Doctor/Psychiatrist,Support
ظفر,Male,Friend/Colleague,Support
شاہانہ,Female,Friend,Minor
بابا (سلطانہ کے والد),Male,Teacher/Father,Minor
سلطانہ کی ماں,Female,Mother,Minor
ماموں فقیر اللہ,Male,Maternal Uncle/Faqir,Minor
کمہار,Male,Potter,Minor
قیصر,Male,Friend,Support
پارسی سٹور کا مالک,Male,Shopkeeper,Minor
خرانٹ دکاندار,Male,Shopkeeper,Minor
فلارسٹ,Male,Florist,Minor
ایرانی ٹیکسی ڈرائیور,Male,Taxi Driver,Minor
ڈاکٹر ہاشم,Male,Doctor,Support
داؤد,Male,Friend,Minor
بابا طفیل بخش,Male,Sufi/Faqir,Minor
مہاتما بدھ,Male,Religious Figure,Minor
فریدی,Male,Musician,Minor
مو (نائیجیرین),Male,Friend (Nigerian),Minor
کیتھرین,Female,Friend/Colleague,Minor
وانگ وا,Unknown,Acquaintance,Minor
معین,Male,Friend/Colleague,Minor
سیمسن,Male,Biblical Figure,Minor
ہومر,Male,Epic Poet,Minor
شاہ حسین,Male,Sufi Poet,Minor
اجمل,Male,Friend,Minor
انڈس ڈولفن,Unknown,Animal (Dolphin),Minor
