Character,Gender,TitleOrClass,Role
سنان,Male,سیاح,Protagonist
پاسکل,Female,مغربی لڑکی,Protagonist
سکاٹ,Male,شرابی مسافر,Minor
سنان کا باپ,Male,والد,Minor
سنان کی ماں,Female,والدہ,Minor
سنان کی بہنیں,Female,بہنیں,Minor
فخر,Male,دوست,Minor
سعادت,Male,دوست,Minor
ظہور,Male,دوست,Minor
مصطفیٰ,Male,دوست,Minor
پاسکل کی خالہ,Female,خالہ,Support
پاسکل کے والد,Male,والد,Minor
تین راہبائیں,Female,راہبائیں,Minor
کپتان,Male,کپتان,Minor
کاؤنٹر لڑکی,Female,ریسپشنسٹ,Minor
فرانسیسی ٹریفک سپاہی,Male,سپاہی,Minor
منیجر کیمپنگ گراؤنڈ,Male,منیجر,Minor
ہپی لڑکا,Male,ہپی,Minor
سیاح لڑکیاں,Female,سیاح,Minor
میڈم ڈی,Female,ہوٹل مالکن,Support
میڈم ڈی کی ماں,Female,بوڑھی خاتون,Minor
طوطے والی طوطا,Unknown,جانور,Minor
پال,Male,مصور,Support
لوئیس,Female,مصورہ,Support
جینی,Female,طوائف,Support
قہوہ خانہ پگال کا مالک,Male,دکاندار,Support
کہاری,Male,مصور,Support
تنویر,Male,استاد,Minor
مالک مکان کی بیٹی,Female,بیٹی,Minor
انڈونیشین مصور,Male,مصور,Minor
پال کی پہلی دوست لڑکی,Female,دوست لڑکی,Minor
رڈیارڈ کپلنگ,Male,مصنف,Minor
پیری,Male,سیاح,Minor
ڈوکی,Unknown,کتا,Minor
نپولین,Male,تاریخی شخصیت,Minor
جوزفین,Female,تاریخی شخصیت,Minor
وکٹر ہیوگو,Male,مصنف,Minor
لارڈ بائرن,Male,شاعر,Minor
آندرے ژید,Male,مصنف,Minor
سارتر,Male,فلسفی,Minor
زولا,Male,مصنف,Minor
موپساں,Male,مصنف,Minor
ہارڈی,Male,مصنف,Minor
ڈکنز,Male,مصنف,Minor
ملٹن,Male,شاعر,Minor
مونا لیزا,Female,علامتی کردار,Minor
محمد بکر,Male,قہوہ خانہ مالک,Support
مچھلی پکڑنے کا سامان فروش بوڑھا,Male,دکاندار,Minor
الجزائری قالین فروش,Male,قالین فروش,Minor
گھوڑے کے گوشت کا دکاندار,Male,قصاب,Minor
مجسمہ فروش بوڑھا,Male,مجسمہ فروش,Minor
نیوزی لینڈ سفارت خانے کا افسر,Male,افسر,Minor
وینس دی میلو,Female,دیوی,Minor
اپالو,Male,دیوتا,Minor
زئیس,Male,دیوتا,Minor
ڈائنا,Female,دیوی,Minor
داؤد,Male,مجسمہ,Minor
مریم,Female,مجسمہ,Minor
عیسیٰ,Male,مجسمہ,Minor
ویتنامی ویٹرس,Female,ویٹرس,Minor
فرانسوا,Female,بچی,Minor
فرانسوا کی دادی,Female,دادی,Minor
میلو کا سنگتراش,Male,سنگتراش,Minor
شاہ یونان,Male,بادشاہ,Minor
