Character_A,Character_B,Weight,Pages
"جینی","سنان",35,"67 68 69 70 72 80 86 90 91 93 94 95 96 109 110 112 120 131 133 135 136 140 171 174 177 205 214 215 216 217 218 242 243 244 250"
"جینی","میڈم ڈی",9,"67 68 70 95 96 136 177 205 218"
"جینی","پاسکل",25,"67 68 69 70 72 86 90 91 93 95 112 120 131 133 140 171 174 177 214 215 216 217 242 243 250"
"جینی","پال",3,"136 205 218"
"سنان","قہوہ خانہ پگال کا مالک",3,"51 77 78"
"سنان","لوئیس",8,"56 57 58 59 62 63 78 204"
"سنان","محمد بکر",1,"166"
"سنان","میڈم ڈی",27,"41 43 47 48 56 58 59 63 65 66 67 68 70 76 78 95 96 97 136 137 176 177 178 186 190 205 218"
"سنان","پاسکل",167,"2 3 4 5 6 7 8 9 10 12 20 21 23 24 25 26 27 29 31 32 33 35 36 37 38 39 40 41 44 45 46 47 48 51 57 59 62 64 67 68 69 70 72 75 78 86 87 88 90 91 92 93 95 100 102 103 104 105 106 107 108 111 112 113 114 115 116 117 118 120 121 122 123 124 125 126 127 128 129 130 131 132 133 137 138 139 140 161 162 163 164 165 166 167 168 169 170 171 172 173 174 177 178 179 181 182 183 184 185 186 187 188 189 190 193 194 195 196 197 198 199 200 204 206 207 208 209 210 211 212 213 214 215 216 217 220 221 222 223 224 225 226 227 230 231 232 233 234 235 236 237 238 239 240 241 242 243 245 246 247 248 249 250 251 252 253 254"
"سنان","پال",21,"56 57 58 59 61 62 63 66 76 77 78 79 136 201 202 203 204 205 208 218 219"
"سنان","کہاری",4,"73 74 75 79"
"قہوہ خانہ پگال کا مالک","لوئیس",1,"78"
"قہوہ خانہ پگال کا مالک","میڈم ڈی",1,"78"
"قہوہ خانہ پگال کا مالک","پاسکل",2,"51 78"
"قہوہ خانہ پگال کا مالک","پال",2,"77 78"
"لوئیس","میڈم ڈی",5,"56 58 59 63 78"
"لوئیس","پاسکل",5,"57 59 62 78 204"
"لوئیس","پال",8,"56 57 58 59 62 63 78 204"
"محمد بکر","پاسکل",1,"166"
"میڈم ڈی","پاسکل",14,"41 47 48 59 67 68 70 78 95 137 177 178 186 190"
"میڈم ڈی","پال",10,"56 58 59 63 66 76 78 136 205 218"
"پاسکل","پال",6,"57 59 62 78 204 208"
"پاسکل","کہاری",1,"75"
"پال","کہاری",1,"79"
