Character,Gender,TitleOrClass,Role
مشاہد,Male,Chaudhry Son / Traveller,Protagonist
مردان,Male,Army Officer / Friend,Support
آپا جی,Female,Household Elder,Support
چوہدری اللہ داد خان,Male,Landlord / Chaudhry,Support
باجی ہاں ہاں,Female,Household Woman,Support
بلقیس,Female,Household Woman,Support
سمیعہ,Female,Household Woman,Support
کمال,Male,Friend / Urban Middle Class,Support
پیٹر,Male,Foreign Friend,Minor
پال,Male,Foreign Friend,Minor
ہیری,Male,Foreign Friend,Minor
تاج,Male,Friend,Minor
سعادت حسن منٹو,Male,Writer / Intellectual,Minor
صفیہ,Female,Writer’s Wife,Minor
بلخ,Female,Older Woman,Minor
اکبر,Male,Friend / Literary Circle,Minor
باقر,Male,Friend / Comic Figure,Support
رتی پے ماسٹر,Female,Upper-Class Woman,Minor
روشن,Female,Minor Girl,Minor
جی۔ ایم۔ اثر,Male,Writer / Intellectual,Minor
جاوید اثر,Male,Writer’s Son,Minor
بیرٹ,Male,Foreign Gentleman,Minor
بیرٹ کی بیٹیاں,Female,Disabled Daughters,Minor
خورشید شاہد,Female,Actress,Minor
صادق,Male,Watchman,Support
مشتاق واہ واہ,Male,Poet / Adulator,Support
سعید,Male,Friend / Music Circle,Support
ملک معراج,Male,Politician,Minor
لاری صاحب,Male,Businessman,Support
جاوید لاری,Male,Businessman’s Son,Support
ہاتھی دانت,Male,Friend (Nickname),Support
نومی,Unknown,Foreign Acquaintance,Minor
ماموں ہیرس,Male,Maternal Uncle,Support
مظہر شاہ,Male,Film Actor,Minor
شاہ صاحب (سات پھولوں والے),Male,Healer / Pir,Support
کنیز,Female,Domestic Help,Support
کانی,Female,Working-Class Woman,Support
ساحِب (انگلو انڈین),Male,Anglo-Indian Employer,Support
مرزا بیٹریاں,Male,Shopkeeper / Electrician,Support
دارو,Male,Grandfather / Old Villager,Support
ایوا گارڈنر,Female,Film Star,Minor
سٹیورٹ گرینجر,Male,Film Actor,Minor
گریگوری پیک,Male,Film Actor,Minor
گروچو مارکس,Male,Film Comedian,Minor
صلاح الدین احمد,Male,Writer / Editor,Minor
امتیاز احمد,Male,Writer / Intellectual,Minor
پیٹر اسی نوف,Male,Film Actor,Minor
ہیمنگ وے کی فینی,Female,Literary Character,Minor
بندو رام,Male,Old Hindu Villager,Support
شاہ شہید,Male,Police Officer,Support
محمد غنی چیمہ,Male,Local Notable,Support
برکت مسیح,Male,Christian Labourer,Support
ماسی بہشت بی بی,Female,Old Woman / Helper,Support
چاچی مہراں,Female,Neighbour / Aunt,Support
اچھو ترکھان,Male,Carpenter,Support
