Character_A,Character_B,Weight,Pages
"آپا جی","اظہار اعوان",3,"50 93 286"
"آپا جی","باجی ہاں ہاں",1,"106"
"آپا جی","برکت مسیح",1,"119"
"آپا جی","برگیتا",1,"522"
"آپا جی","بیرٹ",1,"69"
"آپا جی","خیر دین تانگے والا",2,"114 115"
"آپا جی","راڈنی ایز برگ",1,"321"
"آپا جی","زاہد کالیا",1,"516"
"آپا جی","ساحِب (انگلو انڈین)",8,"52 69 80 93 98 114 516 522"
"آپا جی","سعادت حسن منٹو",5,"69 80 93 516 522"
"آپا جی","سمیعہ",3,"80 516 522"
"آپا جی","شاہ شہید",1,"93"
"آپا جی","شاہ صاحب (سات پھولوں والے)",1,"93"
"آپا جی","صفیہ",2,"516 522"
"آپا جی","فاطمہ",1,"522"
"آپا جی","لاری صاحب",1,"93"
"آپا جی","ماموں ہیرس",1,"93"
"آپا جی","مردان",9,"50 98 105 106 113 115 286 321 522"
"آپا جی","مشائلہ",1,"321"
"آپا جی","مشاہد",18,"50 52 69 80 86 88 93 98 104 106 113 115 118 119 286 321 516 522"
"آپا جی","مظہر شاہ",1,"93"
"آپا جی","پال",1,"52"
"آپا جی","پیٹر",2,"52 98"
"آپا جی","چاچا محمد بخش",1,"115"
"آپا جی","چاچی رابیاں",1,"113"
"آپا جی","چوہدری اللہ داد خان",13,"80 86 88 93 104 105 106 113 114 118 119 286 522"
"آپا جی","کمال",1,"50"
"آپا جی","ہاتھی دانت",1,"93"
"آپا جی","ہیری",1,"98"
"اظہار اعوان","بابو",3,"228 335 453"
"اظہار اعوان","بابو راؤ پٹیل",1,"335"
"اظہار اعوان","برگیتا",4,"53 122 201 219"
"اظہار اعوان","بیٹ مین بشیر",2,"122 476"
"اظہار اعوان","بیگم بابر",1,"140"
"اظہار اعوان","داؤد احمد",9,"137 340 341 342 353 357 358 472 480"
"اظہار اعوان","دانش",10,"134 136 340 341 342 351 353 354 358 472"
"اظہار اعوان","راڈنی ایز برگ",2,"322 335"
"اظہار اعوان","رحمان گل",16,"134 136 137 340 341 342 351 356 357 358 359 461 472 476 480 491"
"اظہار اعوان","زاہد کالیا",6,"145 183 201 219 353 403"
"اظہار اعوان","ساحِب (انگلو انڈین)",14,"93 122 145 183 201 219 332 340 353 356 395 476 480 482"
"اظہار اعوان","ستار نقوی",4,"134 136 342 358"
"اظہار اعوان","سعادت حسن منٹو",1,"93"
"اظہار اعوان","شاہ شہید",2,"93 395"
"اظہار اعوان","شاہ صاحب (سات پھولوں والے)",2,"93 395"
"اظہار اعوان","شوبھا مردان",14,"121 122 136 137 140 342 343 359 461 462 472 482 491 564"
"اظہار اعوان","صباحت بیگم",8,"134 332 341 353 355 357 358 480"
"اظہار اعوان","ظہیر الدین بابر",2,"20 140"
"اظہار اعوان","عارفین بابر",2,"482 564"
"اظہار اعوان","فاطمہ",2,"335 453"
"اظہار اعوان","لاری صاحب",1,"93"
"اظہار اعوان","ماموں ہیرس",1,"93"
"اظہار اعوان","مردان",14,"50 121 122 136 137 140 286 461 462 472 476 480 491 564"
"اظہار اعوان","مرزا بیٹریاں",1,"482"
"اظہار اعوان","مشائلہ",1,"322"
"اظہار اعوان","مشاہد",16,"20 50 53 93 121 122 210 219 228 238 286 322 335 395 403 453"
"اظہار اعوان","مظہر شاہ",1,"93"
"اظہار اعوان","نور الہدی",6,"134 136 343 354 356 480"
"اظہار اعوان","چوہدری اللہ داد خان",3,"53 93 286"
"اظہار اعوان","ڈاکٹر ارشد احمد",5,"122 145 183 219 403"
"اظہار اعوان","کمال",6,"50 183 201 219 332 476"
"اظہار اعوان","کمند علی خان",12,"134 340 342 343 353 354 355 356 357 358 476 480"
"اظہار اعوان","کیپٹن خانزادہ",1,"564"
"اظہار اعوان","ہاتھی دانت",1,"93"
"اقبال مسیح","برکت مسیح",2,"429 430"
"اقبال مسیح","برگیتا",1,"23"
"اقبال مسیح","ساحِب (انگلو انڈین)",2,"429 430"
"اقبال مسیح","سعید",1,"23"
"اقبال مسیح","مالی شریف",1,"430"
"اقبال مسیح","مردان",3,"23 349 430"
"اقبال مسیح","مشائلہ",1,"430"
"اقبال مسیح","مشاہد",3,"23 429 430"
"اچھو ترکھان","بابو",1,"101"
"اچھو ترکھان","برکت مسیح",1,"101"
"اچھو ترکھان","زاہد کالیا",1,"101"
"اچھو ترکھان","چاچی مہراں",1,"101"
"اچھو ترکھان","چراغ دین",1,"101"
"اکبر","باقر",2,"63 71"
"اکبر","بیرٹ",1,"71"
"اکبر","تاج",1,"71"
"اکبر","جاوید اثر",1,"71"
"اکبر","جی۔ ایم۔ اثر",1,"71"
"اکبر","خورشید شاہد",1,"71"
"اکبر","ساحِب (انگلو انڈین)",2,"63 71"
"اکبر","لاری صاحب",1,"71"
"اکبر","مشاہد",2,"63 71"
"اکبر","پال",1,"71"
"اکبر","پیٹر",1,"71"
"اکبر","کمال",1,"63"
"اکبر","ہاتھی دانت",2,"63 71"
"بابا نذیر احمد","برگیتا",2,"29 30"
"بابا نذیر احمد","ساحِب (انگلو انڈین)",1,"531"
"بابا نذیر احمد","شوبھا مردان",2,"127 130"
"بابا نذیر احمد","عارفین بابر",1,"127"
"بابا نذیر احمد","فاطمہ",2,"531 539"
"بابا نذیر احمد","مردان",5,"30 127 130 531 539"
"بابا نذیر احمد","مشاہد",4,"29 30 531 539"
"بابا نذیر احمد","نازنین بابر",1,"127"
"بابو","بابو راؤ پٹیل",7,"244 245 281 335 451 459 519"
"بابو","باجی ہاں ہاں",1,"227"
"بابو","برکت مسیح",1,"101"
"بابو","برگیتا",8,"442 455 495 501 519 535 540 541"
"بابو","بندو رام",1,"548"
"بابو","بیگم بابر",1,"535"
"بابو","تاج",1,"455"
"بابو","راڈنی ایز برگ",1,"335"
"بابو","زاہد کالیا",3,"101 540 541"
"بابو","ساحِب (انگلو انڈین)",2,"246 247"
"بابو","سمیعہ",1,"548"
"بابو","سور",1,"248"
"بابو","شوبھا مردان",1,"535"
"بابو","ظہیر الدین بابر",1,"535"
"بابو","عارفین بابر",1,"535"
"بابو","فاطمہ",26,"244 247 271 273 278 281 299 335 439 442 443 444 451 453 455 456 457 459 495 501 508 519 535 540 541 548"
"بابو","مردان",4,"501 508 535 540"
"بابو","مشاہد",45,"227 228 229 230 232 241 243 244 245 246 247 248 250 251 252 253 258 259 260 271 273 274 281 299 335 439 442 443 444 451 453 454 455 456 457 459 495 501 508 519 534 535 540 541 548"
"بابو","نوراں",1,"548"
"بابو","چاچی مہراں",1,"101"
"بابو","چراغ دین",1,"101"
"بابو","ڈاکٹر ارشد احمد",1,"495"
"بابو","کمال",1,"232"
"بابو","ہیری",1,"242"
"بابو راؤ پٹیل","برگیتا",1,"519"
"بابو راؤ پٹیل","راڈنی ایز برگ",1,"335"
"بابو راؤ پٹیل","فاطمہ",6,"244 281 335 451 459 519"
"بابو راؤ پٹیل","مشاہد",7,"244 245 281 335 451 459 519"
"باجی ہاں ہاں","برگیتا",1,"449"
"باجی ہاں ہاں","بلقیس",1,"68"
"باجی ہاں ہاں","راڈنی ایز برگ",2,"325 449"
"باجی ہاں ہاں","زاہد کالیا",1,"402"
"باجی ہاں ہاں","ساحِب (انگلو انڈین)",3,"68 325 579"
"باجی ہاں ہاں","ستار نقوی",1,"402"
"باجی ہاں ہاں","سمیعہ",1,"68"
"باجی ہاں ہاں","شوبھا مردان",1,"402"
"باجی ہاں ہاں","فاطمہ",1,"574"
"باجی ہاں ہاں","مردان",4,"106 325 402 449"
"باجی ہاں ہاں","مشائلہ",1,"325"
"باجی ہاں ہاں","مشاہد",8,"68 106 227 325 402 449 574 579"
"باجی ہاں ہاں","چوہدری اللہ داد خان",1,"106"
"باقر","بلخ",1,"64"
"باقر","بیرٹ",1,"71"
"باقر","تاج",3,"62 64 71"
"باقر","جاوید اثر",1,"71"
"باقر","جی۔ ایم۔ اثر",1,"71"
"باقر","خورشید شاہد",1,"71"
"باقر","ساحِب (انگلو انڈین)",4,"62 63 64 71"
"باقر","سعادت حسن منٹو",2,"62 64"
"باقر","صفیہ",1,"62"
"باقر","لاری صاحب",1,"71"
"باقر","مشاہد",4,"62 63 64 71"
"باقر","پال",1,"71"
"باقر","پیٹر",1,"71"
"باقر","چوہدری اللہ داد خان",1,"64"
"باقر","کمال",3,"62 63 64"
"باقر","ہاتھی دانت",2,"63 71"
"بخت نصیب","زاہد کالیا",5,"525 526 527 529 530"
"بخت نصیب","سور",1,"525"
"بخت نصیب","فاطمہ",1,"529"
"بخت نصیب","مشاہد",4,"525 526 527 529"
"بخت نصیب","ڈاکٹر ارشد احمد",1,"525"
"بخت نصیب","کمال",1,"530"
"برکت مسیح","برگیتا",2,"386 387"
"برکت مسیح","راڈنی ایز برگ",1,"388"
"برکت مسیح","زاہد کالیا",2,"101 386"
"برکت مسیح","ساحِب (انگلو انڈین)",8,"202 211 213 386 387 388 429 430"
"برکت مسیح","مالی شریف",1,"430"
"برکت مسیح","مردان",1,"430"
"برکت مسیح","مشائلہ",2,"388 430"
"برکت مسیح","مشاہد",7,"119 202 386 387 388 429 430"
"برکت مسیح","چاچی مہراں",1,"101"
"برکت مسیح","چراغ دین",4,"101 102 103 211"
"برکت مسیح","چوہدری اللہ داد خان",2,"119 388"
"برکت مسیح","کمال",3,"202 211 213"
"برگیتا","بندو رام",1,"549"
"برگیتا","بیٹ مین بشیر",3,"59 122 214"
"برگیتا","بیگم بابر",2,"535 538"
"برگیتا","تاج",1,"455"
"برگیتا","جی۔ ایم۔ اثر",1,"21"
"برگیتا","دارو",4,"301 307 308 396"
"برگیتا","دانش",2,"177 512"
"برگیتا","راڈنی ایز برگ",2,"384 449"
"برگیتا","روزی",1,"565"
"برگیتا","زاہد کالیا",22,"19 146 173 177 189 190 200 201 214 215 219 292 386 411 417 418 419 424 428 540 541 558"
"برگیتا","ساحِب (انگلو انڈین)",14,"21 22 122 177 201 219 302 386 387 408 418 522 543 578"
"برگیتا","سعادت حسن منٹو",2,"21 522"
"برگیتا","سعید",2,"23 301"
"برگیتا","سمیعہ",3,"21 517 522"
"برگیتا","شوبھا مردان",13,"58 59 122 401 404 408 424 520 535 536 537 538 562"
"برگیتا","صفیہ",2,"21 522"
"برگیتا","ظہیر الدین بابر",2,"535 538"
"برگیتا","عارفین بابر",3,"535 537 562"
"برگیتا","غفور",2,"302 304"
"برگیتا","فاطمہ",19,"441 442 455 492 495 496 500 501 512 518 519 520 521 522 535 540 541 543 549"
"برگیتا","مالی شریف",2,"509 543"
"برگیتا","مردان",38,"21 22 23 24 25 30 31 34 35 38 42 43 54 55 56 57 58 59 122 192 401 404 408 424 449 494 501 506 512 520 522 535 536 537 538 540 561 562"
"برگیتا","مشائلہ",2,"324 384"
"برگیتا","مشاہد",95,"8 9 14 18 19 21 22 23 24 25 29 30 31 34 38 42 51 53 54 56 57 58 122 146 173 177 189 190 192 196 200 214 219 269 292 300 302 304 305 307 308 314 316 324 384 385 386 387 396 401 404 408 411 418 419 424 427 428 441 442 449 455 481 490 492 493 494 495 496 497 498 499 500 501 502 506 509 515 517 519 520 521 522 535 536 537 538 540 541 543 549 558 561 562 578"
"برگیتا","موسیقار آقا نواز",1,"316"
"برگیتا","نمبردار اللہ دوایا",4,"408 417 419 424"
"برگیتا","نوراں",3,"305 307 308"
"برگیتا","چوہدری اللہ داد خان",5,"53 59 419 522 536"
"برگیتا","ڈاکٹر ارشد احمد",15,"19 122 189 190 192 200 214 215 219 292 404 424 493 494 495"
"برگیتا","کمال",6,"25 201 214 219 303 517"
"برگیتا","کنیز",1,"304"
"برگیتا","کیپٹن گل ریز",1,"562"
"بلخ","تاج",2,"64 65"
"بلخ","ساحِب (انگلو انڈین)",3,"64 65 66"
"بلخ","سعادت حسن منٹو",3,"64 65 66"
"بلخ","سمیعہ",1,"66"
"بلخ","صفیہ",1,"66"
"بلخ","مردان",1,"66"
"بلخ","مشاہد",2,"64 66"
"بلخ","چوہدری اللہ داد خان",1,"64"
"بلخ","کمال",1,"64"
"بلقیس","ساحِب (انگلو انڈین)",1,"68"
"بلقیس","سمیعہ",1,"68"
"بلقیس","مشاہد",1,"68"
"بندو رام","سمیعہ",2,"83 548"
"بندو رام","فاطمہ",3,"548 549 550"
"بندو رام","مشاہد",6,"83 90 92 548 549 550"
"بندو رام","نوراں",1,"548"
