Character,Gender,TitleOrClass,Role
مستنصر,Male,Writer-Narrator,Narrator
بیگم,Female,Housewife,Support
رینے کلاڈ,Male,Retired Architect-Tourist,Protagonist
مبشر,Male,Army Officer Cadet,Support
ارشد,Male,Friend,Minor
شیلا,Female,Student-Penfriend,Minor
پریم,Female,Student-Penfriend,Protagonist
اندرجیت,Male,Brother-Student,Minor
پریم کا پاپا,Male,Shopkeeper-Father,Support
پریم کی سوتیلی ماں,Female,Stepmother,Minor
پریم کی چھوٹی بہن,Female,Child,Minor
ننی,Female,Friend,Support
ماہیپ,Female,Friend,Support
پرو دیپ,Male,Friend,Minor
پوچی,Female,Friend,Support
چیکو,Male,Playboy-Friend,Support
بادل,Male,Playboy-Friend,Support
ناز,Female,Young Woman,Minor
شیان,Female,Friend,Minor
سگھند,Female,Young Woman,Support
بوٹا,Male,Friend,Minor
سونی,Female,Friend,Support
جوگی,Male,Friend,Minor
امیر,Female,Younger Sister Type,Support
مہینی,Female,Friend,Minor
پالین,Female,Friend,Minor
کہنی,Female,Friend,Minor
مہما نجیب,Female,College Friend,Minor
کیٹی,Female,Foreign Girl,Minor
ماریا,Female,Landlords Daughter,Minor
سوئی,Female,Friend,Minor
یاسمین,Female,Friend,Minor
لیزا,Female,Friend,Minor
گوگی,Female,Friend,Minor
میلینزا,Female,Friend,Minor
لارا,Female,Friend,Minor
راجو,Male,Young Man,Support
امبر,Female,Younger Girl,Minor
ساقی (والدِ چیکو و بادل),Male,Wealthy Father,Minor
لارنزو,Male,Khannabadosh Gypsy,Protagonist
لارنزو کی بیوی,Female,Gypsy Wife,Support
لارنزو کے بچے,Unknown,Gypsy Children,Minor
آرتورو,Male,Gypsy Son,Support
آندریس,Male,Gypsy Son,Support
آنے لا,Female,Gypsy Daughter,Support
فرانکو,Male,General-Dictator,Antagonist
نیشنل کالج جوڑا,Unknown,Art Students,Minor
سیکرڈ ہارٹ راہبائیں,Female,Nuns,Minor
محکمہ سیاحت کا گائیڈ,Male,Tourist Guide,Minor
مونا,Female,Friend in Pakistan,Support
کیپٹن ساجد نذیر,Male,Army Captain,Support
خالدہ,Female,Friend,Support
بابا بگلوس,Male,Prison Mystic,Protagonist
عنایت,Male,Prison Guard,Support
صابر,Male,Prison Guard,Support
بڑی سرکار,Male,Senior Prison Official,Support
بھاری بوٹ افسر,Male,Harsh Officer,Antagonist
ڈاکٹر (بندی خانہ),Male,Prison Doctor,Support
غلام دین,Male,Laborer,Support
غلام دین کی بیوی,Female,Housewife,Minor
لیبر انسپکٹر,Male,Government Inspector,Support
آئیون,Male,Prisoner-Laborer,Support
تاتاری محافظ,Male,Camp Guard,Support
درخت سفیدا,Unknown,Tree-Symbolic,Minor
لکڑہارا,Male,Woodcutter,Minor
سفیدے کے مسافر,Unknown,Travellers,Minor
آکٹوپس,Unknown,Symbolic Creature,Minor
زمان,Male,Former Student-Worker,Protagonist
کنگ آف سکاٹ لینڈ,Male,Old Man-Lodger,Protagonist
فرٹز,Male,German Neighbor,Support
گنتر,Male,German Neighbor,Support
میگی,Female,German Woman,Minor
جینی,Female,German Woman,Minor
میٹھی روٹی بیچنے والا,Male,Street Vendor,Minor
انتونیو مولینا,Male,Bullfighter,Protagonist
کارلوس,Male,Bullring Worker,Support
پادری پاورو,Male,Priest-Columnist,Support
موناکیت,Male,Bullfighter,Minor
ویخو,Male,Bullfighter,Minor
گوریتا,Male,Bullfighter,Minor
بسلے,Male,Bullring Announcer,Minor
مریم (ورجن مریم),Female,Religious Figure,Minor
سنیکا,Male,Philosopher-Reference,Minor
یونس کریانے والا,Male,Shopkeeper,Minor
یونس کریانے والے کی بیٹی,Female,Shopkeeper Daughter,Minor
نوزائیدہ بچہ (گیس چیمبر),Unknown,Infant-Narrator,Narrator
نوزائیدہ کی ماں,Female,Mother,Support
دودھ والا,Male,Milkman,Minor
چوہدری خان محمد,Male,Feudal Landowner,Protagonist
منور خان ٹھیکیدار,Male,Contractor,Support
امیر علی (چڑیا گھر کا افسر اعلیٰ),Male,Zoo Director,Support
بااعتماد کلرک,Male,Clerk,Minor
مستری غلام علی,Male,Mason-Worker,Minor
آسودہ حال خاتون,Female,Comfortable Lady,Minor
فرید,Male,Young Immigrant,Protagonist
جولی,Female,Young Immigrant Woman,Protagonist
ناصر,Male,Friend in England,Support
جولی کا سوتیلا باپ,Male,Stepfather,Antagonist
بوڑھی لینڈ لیڈی,Female,Landlady,Support
ڈیوڈ,Male,Friend-Helper,Support
سوشل ویلفیئر آفیسر,Male,Social Welfare Officer,Support
رجسٹرار شادی دفتر,Male,Registrar,Minor
ڈول ورتھ سٹور والی لڑکی,Female,Shop Girl,Minor
فادر کرسمس,Male,Mythic Gift Giver,Minor
مائیکل ولسن,Male,Foreign Official,Minor
بابا مجنوں,Male,Shrine Saint-Fakir,Protagonist
درزی (بابا مجنوں کا مرید),Male,Tailor-Disciple,Support
غیر ملکی سیاح,Unknown,Foreign Tourist,Minor
مردہ مینڈک آنکھوں والا شخص,Male,Strange Visitor,Minor
متولی عبادت خانہ,Male,Shrine Caretaker,Minor
بنگالی فقیر,Male,Fakir,Support
خواجہ صاحب,Male,Sufi Saint,Support
ڈاکٹر جیکل,Male,Fictional Character,Minor
مسٹر ہائڈ,Male,Fictional Character,Minor
