Character_A,Character_B,Weight,Pages
"آرتورو","آندریس",3,"7 9 20"
"آرتورو","آنے لا",1,"20"
"آرتورو","زمان",2,"9 12"
"آرتورو","لارنزو",2,"7 10"
"آندریس","آنے لا",2,"20 33"
"آندریس","زمان",1,"9"
"آندریس","لارنزو",1,"7"
"ارشد","امیر",1,"38"
"ارشد","زمان",1,"37"
"ارشد","پریم",2,"37 38"
"امیر","امیر علی (چڑیا گھر کا افسر اعلیٰ)",1,"196"
"امیر","اندرجیت",2,"40 51"
"امیر","بادل",5,"25 28 40 51 57"
"امیر","بوٹا",1,"40"
"امیر","راجو",1,"57"
"امیر","زمان",1,"139"
"امیر","سگھند",1,"51"
"امیر","فرٹز",1,"139"
"امیر","مستنصر",1,"25"
"امیر","ناز",2,"51 57"
"امیر","پریم",3,"38 40 51"
"امیر","پوچی",1,"25"
"امیر","چوہدری خان محمد",1,"196"
"امیر","چیکو",4,"25 28 40 57"
"امیر","گنتر",1,"139"
"امیر علی (چڑیا گھر کا افسر اعلیٰ)","زمان",1,"170"
"امیر علی (چڑیا گھر کا افسر اعلیٰ)","منور خان ٹھیکیدار",1,"172"
"امیر علی (چڑیا گھر کا افسر اعلیٰ)","چوہدری خان محمد",9,"170 172 182 191 193 194 196 197 198"
"انتونیو مولینا","جولی",1,"153"
"انتونیو مولینا","زمان",1,"151"
"انتونیو مولینا","پادری پاورو",9,"129 130 141 151 153 154 155 157 159"
"انتونیو مولینا","چوہدری خان محمد",1,"140"
"اندرجیت","بادل",2,"40 51"
"اندرجیت","بوٹا",1,"40"
"اندرجیت","بیگم",1,"46"
"اندرجیت","سگھند",1,"51"
"اندرجیت","ناز",1,"51"
"اندرجیت","پریم",3,"40 46 51"
"اندرجیت","چیکو",1,"40"
"بابا بگلوس","بابا مجنوں",1,"190"
"بابا بگلوس","بڑی سرکار",9,"60 61 63 65 71 76 77 78 79"
"بابا بگلوس","صابر",5,"63 64 65 66 72"
"بابا بگلوس","عنایت",8,"60 63 64 65 66 71 72 78"
"بابا بگلوس","پادری پاورو",1,"76"
"بابا بگلوس","چوہدری خان محمد",2,"61 71"
"بابا بگلوس","کنگ آف سکاٹ لینڈ",1,"76"
