book_id,edges_path,author
0,SNA_CSVs&NodeFeatures\AbdullahHussain\Bagh\Bagh_edges_w0.csv,AbdullahHussain
1,SNA_CSVs&NodeFeatures\AbdullahHussain\NadarLog\NadarLog_edges_w0.csv,AbdullahHussain
2,SNA_CSVs&NodeFeatures\AbdullahHussain\Nashaib\Nashaib_edges_w0.csv,AbdullahHussain
3,SNA_CSVs&NodeFeatures\AbdullahHussain\Qaid\Qaid_edges_w0.csv,AbdullahHussain
4,SNA_CSVs&NodeFeatures\AbdullahHussain\Raat\Raat_edges_w0.csv,AbdullahHussain
5,SNA_CSVs&NodeFeatures\AbdullahHussain\UdaasNaslain\UdaasNaslain_edges_w0.csv,AbdullahHussain
6,SNA_CSVs&NodeFeatures\AbdullahHussain\WapsiKaSafar\WapsiKaSafar_edges_w0.csv,AbdullahHussain
7,SNA_CSVs&NodeFeatures\AshfaqAhmed\Gadariya\Gadariya_edges_w0.csv,AshfaqAhmed
8,SNA_CSVs&NodeFeatures\AshfaqAhmed\khailTamasha\khailTamasha_edges_w0.csv,AshfaqAhmed
9,SNA_CSVs&NodeFeatures\AshfaqAhmed\Phulkari\Phulkari_edges_w0.csv,AshfaqAhmed
10,SNA_CSVs&NodeFeatures\AshfaqAhmed\Safar\Safar_edges_w0.csv,AshfaqAhmed
11,SNA_CSVs&NodeFeatures\AshfaqAhmed\Tlism\Tlism_edges_w0.csv,AshfaqAhmed
12,SNA_CSVs&NodeFeatures\AshfaqAhmed\TotaKahani\TotaKahani_edges_w0.csv,AshfaqAhmed
13,SNA_CSVs&NodeFeatures\BanoQudsia\aatishZerPa\aatishZerPa_edges_w0.csv,BanoQudsia
14,SNA_CSVs&NodeFeatures\BanoQudsia\AikDin\AikDin_edges_w0.csv,BanoQudsia
15,SNA_CSVs&NodeFeatures\BanoQudsia\AmarBail\AmarBail_edges_w0.csv,BanoQudsia
16,SNA_CSVs&NodeFeatures\BanoQudsia\HaasilGhaat\HaasilGhaat_edges_w0.csv,BanoQudsia
17,SNA_CSVs&NodeFeatures\BanoQudsia\MardEabresham\MardEabresham_edges_w0.csv,BanoQudsia
18,SNA_CSVs&NodeFeatures\BanoQudsia\piyaNaam\piyaNaam_edges_w0.csv,BanoQudsia
19,SNA_CSVs&NodeFeatures\BanoQudsia\RaheRawan\RaheRawan_edges_w0.csv,BanoQudsia
20,SNA_CSVs&NodeFeatures\BanoQudsia\Raja\Raja_edges_w0.csv,BanoQudsia
21,SNA_CSVs&NodeFeatures\BanoQudsia\Shehr\Shehr_edges_w0.csv,BanoQudsia
22,SNA_CSVs&NodeFeatures\IntazarHussain\AgaySamandarHai\AgaySamandarHai_edges_w0.csv,IntazarHussain
23,SNA_CSVs&NodeFeatures\IntazarHussain\Basti\Basti_edges_w0.csv,IntazarHussain
24,SNA_CSVs&NodeFeatures\IntazarHussain\ChandGehan\ChandGehan_edges_w0.csv,IntazarHussain
25,SNA_CSVs&NodeFeatures\IntazarHussain\ChiraghonKaDhuwan\ChiraghonKaDhuwan_edges_w0.csv,IntazarHussain
26,SNA_CSVs&NodeFeatures\IntazarHussain\DinAurDastaan\DinAurDastaan_edges_w0.csv,IntazarHussain
27,SNA_CSVs&NodeFeatures\IntazarHussain\Tazkira\Tazkira_edges_w0.csv,IntazarHussain
28,SNA_CSVs&NodeFeatures\MunshiPremchand\ChoganeHasti\ChoganeHasti_edges_w0.csv,MunshiPremchand
29,SNA_CSVs&NodeFeatures\MunshiPremchand\GaoBaan\GaoBaan_edges_w0.csv,MunshiPremchand
30,SNA_CSVs&NodeFeatures\MunshiPremchand\GaoDan\GaoDan_edges_w0.csv,MunshiPremchand
31,SNA_CSVs&NodeFeatures\MunshiPremchand\Ghaban\Ghaban_edges_w0.csv,MunshiPremchand
32,SNA_CSVs&NodeFeatures\MunshiPremchand\JalwaEEisar\JalwaEEisar_edges_w0.csv,MunshiPremchand
33,SNA_CSVs&NodeFeatures\MunshiPremchand\Nirmala\Nirmala_edges_w0.csv,MunshiPremchand
34,SNA_CSVs&NodeFeatures\MunshiPremchand\RoothiRani\RoothiRani_edges_w0.csv,MunshiPremchand
35,SNA_CSVs&NodeFeatures\MunshiPremchand\ShulaeHussn\ShulaeHussn_edges_w0.csv,MunshiPremchand
36,SNA_CSVs&NodeFeatures\MustansarHussainTarar\Bahao\Bahao_edges_w0.csv,MustansarHussainTarar
37,SNA_CSVs&NodeFeatures\MustansarHussainTarar\DakiaAurJolaha\DakiaAurJolaha_edges_w0.csv,MustansarHussainTarar
