book_id,author,node_features_path
0,AbdullahHussain,NodeFeatures\Bagh_Node_Features.csv
1,AbdullahHussain,NodeFeatures\NadarLog_Node_Features.csv
2,AbdullahHussain,NodeFeatures\Nashaib_Node_Features.csv
3,AbdullahHussain,NodeFeatures\Qaid_Node_Features.csv
4,AbdullahHussain,NodeFeatures\Raat_Node_Features.csv
5,AbdullahHussain,NodeFeatures\UdaasNaslain_Node_Features.csv
6,AbdullahHussain,NodeFeatures\WapsiKaSafar_Node_Features.csv
7,AshfaqAhmed,NodeFeatures\Gadariya_Node_Features.csv
8,AshfaqAhmed,NodeFeatures\khailTamasha_Node_Features.csv
9,AshfaqAhmed,NodeFeatures\Phulkari_Node_Features.csv
10,AshfaqAhmed,NodeFeatures\Safar_Node_Features.csv
11,AshfaqAhmed,NodeFeatures\Tlism_Node_Features.csv
12,AshfaqAhmed,NodeFeatures\TotaKahani_Node_Features.csv
13,BanoQudsia,NodeFeatures\aatishZerPa_Node_Features.csv
14,BanoQudsia,NodeFeatures\AikDin_Node_Features.csv
15,BanoQudsia,NodeFeatures\AmarBail_Node_Features.csv
16,BanoQudsia,NodeFeatures\HaasilGhaat_Node_Features.csv
17,BanoQudsia,NodeFeatures\MardEabresham_Node_Features.csv
18,BanoQudsia,NodeFeatures\piyaNaam_Node_Features.csv
19,BanoQudsia,NodeFeatures\RaheRawan_Node_Features.csv
20,BanoQudsia,NodeFeatures\Raja_Node_Features.csv
21,BanoQudsia,NodeFeatures\Shehr_Node_Features.csv
22,IntazarHussain,NodeFeatures\AgaySamandarHai_Node_Features.csv
23,IntazarHussain,NodeFeatures\Basti_Node_Features.csv
24,IntazarHussain,NodeFeatures\ChandGehan_Node_Features.csv
25,IntazarHussain,NodeFeatures\ChiraghonKaDhuwan_Node_Features.csv
26,IntazarHussain,NodeFeatures\DinAurDastaan_Node_Features.csv
27,IntazarHussain,NodeFeatures\Tazkira_Node_Features.csv
28,MunshiPremchand,NodeFeatures\ChoganeHasti_Node_Features.csv
29,MunshiPremchand,NodeFeatures\GaoBaan_Node_Features.csv
30,MunshiPremchand,NodeFeatures\GaoDan_Node_Features.csv
31,MunshiPremchand,NodeFeatures\Ghaban_Node_Features.csv
32,MunshiPremchand,NodeFeatures\JalwaEEisar_Node_Features.csv
33,MunshiPremchand,NodeFeatures\Nirmala_Node_Features.csv
34,MunshiPremchand,NodeFeatures\RoothiRani_Node_Features.csv
35,MunshiPremchand,NodeFeatures\ShulaeHussn_Node_Features.csv
36,MustansarHussainTarar,NodeFeatures\Bahao_Node_Features.csv
37,MustansarHussainTarar,NodeFeatures\DakiaAurJolaha_Node_Features.csv
38,MustansarHussainTarar,NodeFeatures\Jipsy_Node_Features.csv
39,MustansarHussainTarar,NodeFeatures\KhasOKhashaakZamany_Node_Features.csv
40,MustansarHussainTarar,NodeFeatures\Moorat_Node_Features.csv
41,MustansarHussainTarar,NodeFeatures\pyarKaPehlaShehr_Node_Features.csv
42,MustansarHussainTarar,NodeFeatures\QilaJungee_Node_Features.csv
43,MustansarHussainTarar,NodeFeatures\QurbatEMargMeinMohabbat_Node_Features.csv
44,MustansarHussainTarar,NodeFeatures\raakh_Node_Features.csv
45,MustansarHussainTarar,NodeFeatures\siyahAnkhMainTasveer_Node_Features.csv
46,MirzaHadiRuswa,NodeFeatures\AfshaERaaz_Node_Features.csv
47,MirzaHadiRuswa,NodeFeatures\AkhtariBegum_Node_Features.csv
48,MirzaHadiRuswa,NodeFeatures\LailaMajnoon_Node_Features.csv
49,MirzaHadiRuswa,NodeFeatures\ShareefZada_Node_Features.csv
50,MirzaHadiRuswa,NodeFeatures\UmraoJan_Node_Features.csv
51,MirzaHadiRuswa,NodeFeatures\ZaatEShareef_Node_Features.csv
