book_id,author,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
0,AbdullahHussain,1.7314838,1.5877352,0.28622758,2.664827,-0.03209819,0.22496799,0.20624003,0.19127193,1.3132229,2.7892675,-0.28663963,1.3304108,-0.01537168,0.9352877,0.4553808,1.0891836,0.32269824,0.17526922,0.14004065,0.579531,0.12066683,0.28547886,1.8890609,0.08732252,1.8975877,1.1366737,1.8328902,1.0746894,0.50884646,2.5714214,-0.008967807,1.201134,0.8634909,0.39793622,0.1861206,2.2367103,0.12888175,0.9838781,1.2459601,1.0019556,0.364208,1.1154381,0.4104536,0.10633816,0.052580323,0.83697444,0.05587945,0.20139098,1.2927767,-0.0050776373,0.7368851,1.3956342,2.2445292,1.4522176,0.4403468,0.57894963,0.2758837,0.36426818,0.37562305,0.89270014,1.2069165,0.81163317,1.5468829,0.36089468
1,AbdullahHussain,-0.506803,-0.043742437,-0.8584406,-0.30928743,-0.7746081,1.5877836,-0.84017193,-0.3507968,1.2320211,1.0068632,0.5573598,-0.49075633,-0.30476204,0.98525417,0.89068764,0.88318,-0.78153366,1.012802,0.81083345,4.217124,2.8346827,3.3369014,-0.062917106,1.1510006,-0.25899607,-0.2935338,1.2733004,0.7877109,-0.3650577,1.0022444,-0.727071,2.8744094,-0.4969781,-0.8700472,-0.7919865,1.8333604,2.2345288,2.1197743,-0.22060087,-0.18851219,3.3276732,1.3965621,3.6431785,1.1789769,0.16745776,3.125221,-0.5747343,-0.7923852,-0.59094214,-0.028670473,5.033281,1.0164526,-0.70603126,1.7136854,-0.7833753,0.86120176,1.0957712,-0.9008694,-0.84658396,-0.24098569,-0.48386675,0.7487692,0.18213166,1.255711
2,AbdullahHussain,0.6498341,0.41265696,0.6520861,1.2264775,1.2661393,1.4858311,0.6079044,0.52048177,0.47262305,0.9367467,0.24324125,0.72946304,1.9091396,0.73653185,-0.28998816,0.62476605,0.5179253,0.061163235,0.61977756,0.93097174,1.6857365,1.0684998,0.72305244,0.9140952,0.67146033,0.6638111,0.44028986,0.16376214,0.14632195,0.9015444,0.523606,0.17690133,0.5323589,0.60133004,0.33451164,0.5753667,-0.11026468,-0.018450242,0.49305886,0.3691745,0.5576393,0.0637016,0.93011564,0.09533817,2.7056782,0.369316,1.890023,1.4496547,0.2846058,1.707924,1.4110404,0.62387615,0.6168266,0.1276279,0.68398035,0.45721954,0.52938884,0.8066676,0.74599105,0.1603777,0.5838481,0.07011278,0.36107963,0.10769814
3,AbdullahHussain,1.0425056,1.0585543,0.55779874,1.7893758,0.65399927,0.58144677,0.9556938,1.1405689,0.85900116,1.9078286,-0.4975171,1.1425304,0.5890095,0.64923894,0.42403558,0.69542044,0.7116447,0.8909945,0.93592584,0.27142027,-0.087839246,0.17091638,1.2780708,0.5025561,1.2296345,1.0378128,1.1499108,0.6529852,0.5142872,1.6705043,0.14206256,0.7312421,0.7605973,0.7181856,1.0195235,1.5239547,-0.14772305,0.88683033,0.820468,0.64297336,0.01898501,0.7207405,0.12003848,0.51643205,0.8530443,0.4232075,0.9107601,1.0336812,0.91537076,0.31167495,0.54462373,0.9244583,2.488981,0.9592374,0.70474875,0.24761648,1.107087,1.2514664,0.4911291,0.43913296,1.0886531,0.5582794,1.0019379,0.49738047
4,AbdullahHussain,1.0201979,0.9416129,1.6736041,1.7771112,1.4358044,0.7682397,1.5420836,0.9133032,0.61850995,1.6402301,-0.55743635,1.7686492,0.9282594,0.59561,0.18571453,0.67180467,1.5552086,0.56529737,0.35918513,-0.71518874,-0.26354736,-0.31983334,1.3403672,0.3523592,1.1703255,1.5791765,0.9275575,0.40157485,0.712227,1.4676096,0.76086116,0.186803,1.4117016,1.546735,0.8944332,1.264492,-0.6390663,0.2634766,0.70561934,0.93484354,-0.7281944,0.45234028,-0.64332426,0.4678981,1.3425074,-0.19852193,1.5183256,1.6614587,0.8769922,0.23198618,-0.39269897,0.7597942,2.117316,0.60239655,1.6320783,0.09595407,1.0045576,1.656013,1.6190923,0.4114472,1.5376972,0.5732624,0.8719518,0.29678267
5,AbdullahHussain,0.20619836,0.32150272,-0.102246225,0.48583415,0.544784,1.8952131,0.07997212,0.29907495,0.73593265,0.99001515,0.1781225,0.027090885,1.0310934,1.0069345,-0.17093529,0.8134767,-0.14006287,0.23822841,0.9763207,1.8542237,1.7652344,1.3607097,0.20948151,0.7490203,0.32604337,0.09941107,0.4359531,0.3589139,-0.18456188,0.7482872,0.017442623,0.8907808,-0.06991743,-0.06789003,0.059060708,0.61878437,0.28571057,0.561455,0.424032,-0.09965024,1.2968597,0.28885686,1.65938,0.34560382,1.9506555,1.1275986,1.0264428,0.6042644,-0.08992628,0.9273462,2.020847,0.9158367,0.20351416,0.46410185,-0.009486496,0.7103416,0.5994238,0.24818918,-0.04068593,-0.017724395,-0.034104813,0.025355916,0.32563114,0.45683295
6,AbdullahHussain,4.6182547,3.716824,-0.7005133,4.8642087,-0.9122195,1.5525827,-0.84922653,-0.8507938,3.2228434,5.9478154,-0.465151,0.12419651,-0.92657655,2.806554,-0.4937839,3.2207308,-0.66585803,-0.74281675,-0.23524779,0.88411283,-0.860872,-0.94006103,1.9142917,-0.9342324,4.487358,0.19603932,2.4898746,2.1005342,0.88013476,4.859314,-0.5557918,1.5846146,-0.23344953,-0.6974003,-0.75718004,2.0914435,-0.5489577,2.1065652,3.0191238,0.9549161,1.1970725,1.8053064,0.58334684,-0.002295191,-0.93818665,1.2497247,-0.91958916,-0.8991351,2.1500037,-0.9188506,-0.96789217,3.999335,-0.35950053,1.9864767,-0.59543514,1.6534965,-0.8814825,-0.8629802,-0.60079354,2.456299,0.024750942,1.118479,3.552187,1.7679443
7,AshfaqAhmed,0.6903688,0.6195755,0.76341903,1.6791973,0.64919555,0.13258149,0.36976656,0.028481785,0.57107097,1.188385,0.42939168,1.6130273,0.8456054,0.32514518,0.54434836,0.56071883,0.7117129,-0.0847246,-0.34318808,-0.049417052,0.6397301,0.2915186,1.5009217,0.124157906,0.88835704,1.2217605,1.0383126,0.35657784,0.43456444,1.3406047,0.082877755,0.46342063,1.1627113,0.50450623,0.07903513,1.5248833,-0.045287095,0.2793478,0.4312104,1.2491145,0.032367405,0.79523814,0.13078345,0.08935486,0.74508685,0.47043166,0.7870695,0.7838147,0.6838943,0.8707172,0.2766192,0.5944527,1.6840116,0.783878,0.63432664,0.25596958,0.0030733347,0.36995715,0.60085076,0.3605383,1.50329,0.82239467,0.58181983,0.047175404
8,AshfaqAhmed,2.8345969,2.4340458,0.08440612,3.9934163,-0.5958917,-0.10670207,-0.4249914,-0.52597106,1.6646467,3.9712405,-0.28616893,1.785882,-0.6337405,1.2017345,0.33481166,1.3685881,0.16038679,-0.26264495,-0.44911143,-0.052207816,-0.37127057,-0.28578892,2.7463567,-0.5152953,2.9813879,1.6319286,2.365204,1.4284495,0.937449,3.6080692,0.13990961,1.0710077,1.2363248,0.0742638,-0.4586839,2.6196907,-0.062802546,0.87441593,2.0356977,1.5321997,-0.12856664,1.1152985,-0.12717214,-0.14164394,-0.6640929,0.44965965,-0.5870071,-0.5316798,1.7115636,-0.5820792,-0.10887155,1.8549105,1.1668769,1.5358285,0.40963703,0.73098296,-0.33974147,-0.48207548,0.43463996,1.5589135,1.4843013,0.966746,2.3578298,0.33859137
9,AshfaqAhmed,0.393906,0.63095665,0.24640103,0.9927949,0.69961065,0.07244288,0.17419325,-0.008825631,0.36582392,1.2745911,1.2542897,0.59914154,1.2672492,0.067189954,0.84738916,0.17606753,0.19549099,-0.09580922,-0.27192256,1.6641057,1.9275652,1.5901413,0.8873374,0.6766562,0.6915644,0.42849827,0.99537563,0.37284455,-0.0051180557,1.266229,-0.13607389,1.4386054,0.34814087,0.19567895,-0.01634773,1.3659682,1.3040894,0.38771477,0.18359548,0.55789524,1.3755355,0.621033,1.6580555,-0.1788337,1.3015876,1.4969124,1.0830348,0.8431392,0.37018868,1.6090488,2.1107686,0.34055755,1.1112598,0.9024032,0.19781338,0.44440344,-0.006429828,0.27889985,0.1614133,0.38338652,0.5665871,0.46731716,0.6878636,-0.18259852
