book_id,author,gender_prop_Male,gender_prop_Female,gender_prop_Unknown,role_prop_Protagonist,role_prop_Antagonist,role_prop_Support,role_prop_Major_Support,role_prop_Narrator,role_prop_Minor,role_prop_Inactive,n_nodes,n_edges,density,deg_mean,deg_std,deg_max,clustering,transitivity,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
0,AbdullahHussain,0.65789473,0.20175439,0.14035088,0.00877193,0.01754386,0.23684211,0.0,0.0,0.7368421,0.0,114.0,163.0,0.025306629,2.8596492,5.9188623,28.0,0.20373498,0.6273913,0.66224194,0.30542943,0.4826111,0.14315319,0.249698,-0.12734947,-0.059165295,0.03384851,-0.14598334,0.45646372,0.6188964,0.2962,1.5132642,0.042325456,0.9183912,0.14416263,0.96570414,0.56289244,-0.25438952,0.42994016,-0.0393437,0.7992707,0.7855717,-0.33776453,-0.13887484,0.2574185,0.45525602,1.711976,0.8948055,0.78561664,-0.5827255,0.7008952,-0.070295274,0.70790714,0.09798008,0.25355592,0.56724256,1.3643514,-0.3285844,0.25500482,-0.09679733,0.1798529,0.108297266,0.2168196,0.27828944,0.4574696,0.40012175,-0.6698022,1.6807349,0.23180208,0.5928578,-0.46037287,0.44318262,0.49757102,-0.23972017,0.4334978,0.3937169,-0.26519755,1.447758,0.6886913,-0.043283384,0.2652106,-0.13582923,0.63538194
1,AbdullahHussain,0.8597561,0.1097561,0.030487806,0.0121951215,0.042682927,0.5304878,0.0,0.0,0.41463414,0.0,164.0,1415.0,0.10586563,17.256098,19.356295,129.0,0.6827075,0.37976733,-0.6276121,1.6402823,0.93676174,0.7250825,-0.70487326,0.91661155,1.3135296,-0.84085774,0.60900366,-0.75398403,-0.83205414,-0.8342192,-0.73170835,2.4968946,2.4176986,-0.4423231,-0.4172963,1.2862086,-0.9303546,2.3350062,-0.8027493,-0.81392866,-0.8200833,0.38087416,0.26389635,0.51991177,3.869626,-0.6704001,-0.7632727,1.4020616,-0.842397,-0.8373312,-0.7271331,0.6695659,3.3092034,0.54130757,-0.61174923,-0.71074355,-0.38304704,3.398689,-0.18358333,1.3301781,1.2867059,2.1885526,1.7370688,3.4427505,4.1337557,-0.58999634,-0.68740916,-0.08483436,-0.750716,-0.9258017,-0.7843186,-0.79340976,0.7192764,-0.79322505,1.5807147,0.80179036,-0.72022897,-0.7889396,-0.06829742,0.44742203,0.21607703,0.4958578
2,AbdullahHussain,0.59477127,0.28104576,0.12418301,0.03267974,0.013071896,0.34640524,0.0,0.03267974,0.5751634,0.0,153.0,572.0,0.049191605,7.477124,11.832207,71.0,0.46960157,0.38189387,0.09794222,0.8493131,0.8470101,0.3726081,-0.22137862,0.5052024,0.5013762,-0.37198567,0.1507333,-0.12292045,-0.01116468,-0.17660731,0.46126136,1.1301893,1.3710018,0.08846609,0.21913905,0.785923,-0.5435223,1.4866812,-0.42610404,0.080412626,0.002192131,-0.022997385,0.2647559,0.24944209,1.876702,0.5850673,0.10871972,0.8728245,-0.64597803,0.027665332,-0.34876853,0.6679018,1.5551662,0.32919464,0.026026607,0.31794167,-0.26448032,1.254324,-0.092315935,0.6577415,0.66510004,1.0490009,0.903775,1.8715585,1.9049875,-0.55534464,0.59088385,0.1421276,-0.07660942,-0.60811484,-0.10698756,-0.20000178,0.17842989,-0.16240741,0.8753628,0.29619545,0.38528752,0.036301874,0.29847002,0.38469917,0.15882137,0.31130758
3,AbdullahHussain,0.7209302,0.27906978,0.0,0.046511628,0.023255814,0.25581396,0.0,0.0,0.6744186,0.0,43.0,45.0,0.049833886,2.0930233,3.6011236,13.0,0.2767864,0.6859756,0.43677104,0.4280698,0.409161,0.18728529,0.09169845,-0.0625461,-0.0649143,-0.10832609,-0.18230653,0.3564399,0.52819574,-0.074325316,1.1559129,0.30695486,0.82538986,0.33204997,0.7845014,0.6753676,-0.25271845,0.5979594,-0.13197054,0.49869862,0.6010286,-0.44898123,-0.1610719,0.028370453,0.71280086,1.3504821,0.5818679,0.69027084,-0.54778093,0.65987754,-0.14970489,0.6104248,0.36830667,0.12312814,0.4237718,1.1104093,-0.3077459,0.36942425,0.04405063,0.24615538,0.4451157,0.37128592,0.30988723,0.75748783,0.7287845,-0.6790859,1.3218654,0.24566919,0.4947101,-0.52728724,0.18949395,0.40277287,-0.34020177,0.35647354,0.46899435,-0.12543395,1.2264096,0.3415435,0.1367985,0.44612566,0.105644405,0.3653855
4,AbdullahHussain,0.71875,0.25,0.03125,0.0625,0.0,0.28125,0.0,0.0,0.65625,0.0,32.0,28.0,0.05645161,1.75,2.524876,8.0,0.3032738,0.68292683,0.38687146,0.25802863,0.8683424,0.055334978,0.020219298,0.19848362,-0.17798072,-0.18013223,-0.12069558,0.23538212,0.34264928,-0.11396111,0.96258366,0.015905371,0.6835481,0.41019398,0.6465149,0.6892693,-0.37687814,1.2049105,-0.18258467,0.35327044,0.42038593,-0.31977051,0.23115042,-0.0055717677,0.41921014,1.1260335,0.45284784,0.5287441,-0.5847334,0.4215736,-0.21581134,0.44260627,0.4148845,0.03314164,0.3283578,0.91636014,-0.35466567,0.20063193,-0.1372729,0.60243607,1.1010369,0.47371843,0.23391339,0.7175236,0.7145596,-0.6837353,1.1015667,0.3355904,0.35307866,-0.5740819,0.1267267,0.27767888,-0.3577703,0.22536352,0.4351761,0.047383014,0.99050164,0.26756293,0.28929204,0.60653186,0.5943212,0.22893211
5,AbdullahHussain,0.765625,0.2109375,0.0234375,0.03125,0.015625,0.2578125,0.0,0.0078125,0.6875,0.0,128.0,549.0,0.06754429,8.578125,10.895534,69.0,0.56645334,0.34444633,-0.29175186,1.6410607,-0.4269568,0.61595726,-0.45760387,0.81984013,1.118922,-0.6371456,0.7869021,-0.433762,-0.473324,-0.6113163,-0.24049273,2.2571108,2.080668,-0.5067453,-0.057679273,0.5773997,-0.7540684,0.8745743,-0.60666394,-0.4630276,-0.46202576,-0.19046283,-0.43548316,0.5004691,3.4612973,-0.12161869,-0.39199978,1.2152026,-0.70442826,-0.45116612,-0.54003286,0.8039938,2.3731172,0.5978808,-0.27771705,-0.22518417,-0.27055737,2.0343952,-0.08868157,-0.5128903,-0.30442432,1.4341435,1.5088073,2.8373916,2.6168094,-0.43186978,-0.14421031,-0.32363987,-0.40232348,-0.79779434,-0.49767333,-0.4700694,0.45900095,-0.46620294,1.560518,0.54847705,-0.2125923,-0.4780641,0.3402809,-0.06533228,-0.5733575,-0.093683094
6,AbdullahHussain,0.8780488,0.085365854,0.036585364,0.0,0.0,0.048780486,0.0,0.0121951215,0.9390244,0.0,82.0,245.0,0.07377296,5.97561,8.596619,75.0,0.7449512,0.28877383,-0.059407003,2.5738132,-0.7702161,2.248965,-0.41444573,0.92201877,2.2927542,-0.70662785,1.7928327,-0.5004421,-0.77156144,-0.7588538,-0.62249315,2.0855207,3.4881473,-0.77177215,0.23355661,-0.2901527,-0.8789924,-0.24224614,-0.6542094,-0.7645093,-0.76081246,0.18985167,-0.68428814,1.6002724,4.081854,-0.4815356,-0.6177392,2.5103586,-0.5996715,-0.7588259,-0.074315555,1.1299484,1.8570834,1.1991144,0.10008225,-0.576449,0.31205654,2.1478918,-0.27979502,-0.84417456,-0.77132696,1.6417562,3.76297,2.6398983,2.0500884,0.02547371,-0.5163884,-0.58354664,-0.5338057,-0.87187445,-0.5609693,-0.65215784,0.355004,-0.5814401,2.401231,0.26826736,-0.6173332,-0.75980157,-0.07794101,-0.3102555,-0.8193179,-0.2116916
7,AshfaqAhmed,0.6769231,0.30769232,0.015384615,0.015384615,0.015384615,0.42307693,0.0,0.03076923,0.5153846,0.0,132.0,397.0,0.045917187,6.0151515,10.332345,56.0,0.35317174,0.4468297,0.23691751,0.31004792,0.9626466,0.08981082,-0.07016423,0.26230487,0.012202639,-0.23399995,-0.17251985,0.123670824,0.2991753,-0.13882284,0.816148,0.5910894,0.8826449,0.25451693,0.52346766,0.9424846,-0.38373446,1.5232465,-0.25831825,0.28970817,0.31560963,-0.24355507,0.20490062,-0.009197084,1.1156027,1.0260054,0.3803008,0.6933522,-0.64878315,0.38287377,-0.26118526,0.5676657,1.1400223,0.055094037,0.24056026,0.7804132,-0.44083083,0.9203979,-0.15966691,0.8566517,1.0084592,0.8523298,0.36020476,1.3489898,1.5627285,-0.72549385,0.9983434,0.28641796,0.24912637,-0.5846554,0.057782028,0.12875353,-0.046790313,0.1317953,0.40153003,0.17824124,0.8696718,0.17875208,0.11416214,0.55692387,0.39305794,0.4033395
8,AshfaqAhmed,0.6,0.09090909,0.3090909,0.018181818,0.018181818,0.09090909,0.0,0.009090909,0.8636364,0.0,125.0,129.0,0.016645161,2.064,4.603901,29.0,0.192044,0.46374828,1.0264822,0.5478567,0.30473298,0.62988746,0.38934952,-0.21549578,0.30737817,0.09502015,0.30376306,0.40972406,0.46046957,0.64783067,1.5602723,0.2790373,1.4924147,-0.2384184,1.2791119,0.44629055,-0.4286416,-0.20775919,0.03497817,0.90118927,0.70409924,-0.27955514,-0.30721146,0.98391616,0.6700121,1.8687793,1.1206282,1.2263736,-0.6208393,0.3904408,0.041929062,0.98597544,0.17237721,0.7340653,0.7502901,1.4302917,-0.25990096,0.6085508,-0.3141838,-0.20597824,-0.48071554,0.35980952,0.8696057,0.35281718,0.2744838,-0.5852603,1.7935596,-0.04258415,0.6283372,-0.46545747,0.67531013,0.43289876,-0.17775656,0.3953075,0.36467025,-0.15263106,1.409801,0.91539884,-0.38907763,0.032583438,-0.5249152,0.7788318
9,AshfaqAhmed,0.6056338,0.31690142,0.07746479,0.049295776,0.03521127,0.43661973,0.0,0.0070422534,0.471831,0.0,142.0,353.0,0.035261214,4.971831,8.084016,76.0,0.42042777,0.34707052,0.039590526,0.71381336,0.18099746,0.016217954,-0.2129279,0.46290654,0.29152447,-0.36845163,0.016837237,-0.05481892,0.08518853,-0.29135776,0.4869382,1.1205798,1.1783525,0.0072326325,0.23793177,0.72265047,-0.47046247,1.0368738,-0.39536056,0.06819863,0.07562111,-0.41749904,-0.21161206,-0.011380129,1.9394732,0.6422484,0.107597716,0.6443746,-0.6248117,0.17099166,-0.37938324,0.6611341,1.362473,0.1678059,0.029426474,0.42152962,-0.39304754,0.9874818,0.059608042,-0.08211585,0.2773686,0.83197,0.44157785,1.6485823,1.6361732,-0.6151545,0.63633937,-0.0048931562,0.011380805,-0.6010797,-0.13189906,-0.08579775,0.1533253,-0.06417375,0.82300085,0.2896926,0.50787514,-0.018584533,0.30099037,0.25458026,-0.18311648,0.16691661
